FullModel,Simplif_1,Simplif_2,Simplest
Transient Killers,Killers Whales,Killers Whales,Toothed whales
Sperm and Beaked Whales,Toothed Whales,Toothed Whales,Toothed whales
Resident Killers,Killers Whales,Killers Whales,Toothed whales
Porpoises,Porpoises,Porpoises,NA
Belugas,NA,NA,NA
Gray Whales,Gray Whales,Gray Whales,NA
Humpbacks,Baleen whales,Baleen whales,Baleen whales
Fin Whales,Baleen whales,Baleen whales,Baleen whales
Sei whales,Baleen whales,Baleen whales,Baleen whales
Right Whales,Baleen whales,Baleen whales,Baleen whales
Minke Whales,Baleen whales,Baleen whales,Baleen whales
Bowhead Whales,Baleen whales,Baleen whales,Baleen whales
Sea Otters,Sea Otters,NA,NA
Walrus Bd Seals,Walrus Bd Seals,Walrus Bd Seals,Walrus Bd Seals
N. Fur Seal juv,N. Fur Seal,N. Fur Seal,Seals
N. Fur Seal adults,N. Fur Seal,N. Fur Seal,Seals
Steller Sea Lion juv,Steller Sea Lion,Steller Sea Lion,Steller Sea Lion
Steller Sea Lion adults,Steller Sea Lion,Steller Sea Lion,Steller Sea Lion
Resident seals,Resident seals,Seals,Seals
Wintering seals,Wintering seals,Seals,Seals
Shearwater,Mobile Seabirds,Seabirds,Pisc. birds
Murres,Mobile Seabirds,Seabirds,Pisc. birds
Kittiwakes,Mobile Seabirds,Seabirds,Pisc. birds
Auklets,Mobile Seabirds,Seabirds,Pisc. birds
Puffins,Inshore Seabirds,Seabirds,Pisc. birds
Fulmars,Inshore Seabirds,Seabirds,Pisc. birds
Storm Petrels,Inshore Seabirds,Seabirds,Pisc. birds
Cormorants,Inshore Seabirds,Seabirds,Pisc. birds
Gulls,Inshore Seabirds,Seabirds,Pisc. birds
Albatross Jaeger,Mobile Seabirds,Seabirds,Pisc. birds
Sleeper shark,Sleeper shark,Sleeper shark,NA
W. Pollock juv,W. Pollock ,W. Pollock ,W. Pollock 
W. Pollock adults,W. Pollock ,W. Pollock ,W. Pollock 
P. cod juv,P. cod ,P. cod ,O.Dem.Fish
P. cod adults,P. cod ,P. cod ,O.Dem.Fish
Herring juv,Herring ,Herring ,Shallow Pelagics
Herring adults,Herring ,Herring ,Shallow Pelagics
Arrowtooth juv,Arrowtooth ,Arrowtooth ,Large Flatfish
Arrowtooth adults,Arrowtooth ,Arrowtooth ,Large Flatfish
Kamchatka fl. juv,Kamchatka fl. ,Flatfish,Small Flatfish
Kamchatka fl. adult,Kamchatka fl. ,Flatfish,Small Flatfish
Gr. Turbot juv,Gr. Turbot ,Flatfish,Small Flatfish
Gr. Turbot adults,Gr. Turbot ,Flatfish,Small Flatfish
P. Halibut juv,P. Halibut ,Flatfish,Large Flatfish
P. Halibut adults,P. Halibut ,Flatfish,Large Flatfish
YF. Sole juv,YF. Sole ,Flatfish,Small Flatfish
YF. Sole adults,YF. Sole ,Flatfish,Small Flatfish
FH. Sole juv,FH. Sole ,Flatfish,Small Flatfish
FH. Sole adults,FH. Sole ,Flatfish,Small Flatfish
N. Rock sole juv,N. Rock sole ,Flatfish,Small Flatfish
N. Rock sole adults,N. Rock sole ,Flatfish,Small Flatfish
AK Plaice,Flatfish,Flatfish,Small Flatfish
Dover Sole,Flatfish,Flatfish,Small Flatfish
Rex Sole,Flatfish,Flatfish,Small Flatfish
Misc. Flatfish,Flatfish,Flatfish,Small Flatfish
Alaska skate,Skates,Skates,NA
Other skates,Skates,Skates,NA
