Prey \ predator,Transient orca,Toothed whales,Baleen whales,SSL embryo,SSL pups,SSL juveniles,SSL Adults,Small mammals,Sea otters,Birds,Shark mammal eater,Shark and skates,Salmon,Large pelagics,Small pelagics,Atka mackerel,Sandlance,Herring,Juvenile pollock,Adult pollock,POP,Rockfish,Sablefish,Pacific cod,Halibut,Arrowtooth,Flatfish,Dem S M,Large pred demersals,Deep L,Myctophids,Shrimps,Benthic inverts,Epiben carnivores,Cephalopods,Large zooplankton,Small zooplankton,Phytoplankton,Macrophytes,Detritus
Transient orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013146
Toothed whales,0,0,0,0,0,0,0,0,0,0,0.000218096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02881464
Baleen whales,6.50E-05,0,0,0,0,0,0,0,0,0,0.000685444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2125764
SSL embryo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002244603
SSL pups,0.0006498,0,0,0,0,0,0,0,0,0,6.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03400546
SSL juveniles,0.0025992,0,0,0,0,0,0,0,0,0,0.001090479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241842
SSL Adults,0.0019494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7785978
Small mammals,0.0009747,0,0,0,0,0,0,0,0,0,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103196
Sea otters,0.00019494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06938431
Birds,6.50E-05,0,0,0,0,0,0,0,0,0,0.000124626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02317736
Shark mammal eater,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009808705
Shark and skates,0,0.000143949,0,0,0,0.008343396,0.02645216,0,0,0,0.004829262,0.006200999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766189
Salmon,0,0.02288789,0.001925745,0,0,0.1418377,0.4005613,0.009996043,0,0.003590938,0.000685444,0.09094799,0,9.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.685619
Large pelagics,0,0,0,0,0,0,0,0,0,0,0.00081007,0,0,1.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001207615
Small pelagics,0,0.00719745,0.1455458,0,0,0,0,0.04248318,0,0.02490489,0.000218096,0.018603,0,0.000441902,0,0,0,0,0,0,0,0,0,0.08094674,0.00049297,0.0377907,0,0.2126609,0,0,0,0,0,0,1.498368,0,0,0,0,2.096886
Atka mackerel,0,0.002159235,0.1355116,0,0,0.3897557,1.613582,0.05048002,0.013824,0.002548407,0,0.08474699,0,0,0,0,0,0,0,0.4284592,0,0,0,0.8256568,0.07887516,0.1957365,0.02432381,0,0.7372757,0,0,0,0,0,0,0,0,0,0,4.597065
Sandlance,0,0,0.03739999,0,0,0,0.0188944,0.01749308,0.013824,0.01447959,0,0.018603,0,0.000261652,0,0,0,0,0,0,0,0.008620181,0,0.0323787,0.01133831,0,0.04378285,0,0,0,0,0,0,0,0.3745919,0,0,0,0,0.5994528
Herring,0,0.001151592,0.00182439,0,0,0,0,0.02099169,0,0.003822611,0.000218096,0.04133999,0,0.000540748,0,0,0,0,0,0,0,0,0,0,0,0.001937985,0,0.3493715,0,0,0,0,0,0,0,0,0,0,0,0.5597508
Juvenile pollock,0,0,0.00182439,0,0,0.01072722,0.02645216,0.01849268,0,0.004401794,0.000124626,0.068211,0,5.81E-05,0,0.2295,0,0,0,0.01224169,0,0.008620181,0,0,0.001478909,0.09593023,0,0.07595032,0.07829476,0,0,0,0,0,0,0,0,0,0,0.8073463
Adult pollock,0,0.001583439,0.08909104,0,0,0.005959568,0.09825089,0.03798496,0,0,0.000654287,0.068211,0,5.81E-05,0,1.17045,0,0,0,0.04896677,0,0,0,0.2266509,0.04486025,0.01356589,0.01459429,0,0,0,0,0,0,0,0,0,0,0,0,2.434162
POP,0,0,0,0,0,0,0,0,0,0.000115837,6.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0107929,0,0,0.02918857,0,0,0,0,0,0,0,0,0,0,0,0,0.1549406
Rockfish,0,0.000143949,0.001317615,0,0,0.02026253,0.06046209,0.00699723,0,0.000115837,0.000560818,0.014469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2524482
Sablefish,0,0.000143949,0,0,0,0,0,0.002998813,0,0,0.000218096,0.08474699,0,0,0,0,0,0,0,0,0,0,0,0.0107929,0.008380488,0.01065892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4676656
Pacific cod,0,0.000431847,0.00222981,0,0,0.1013127,0.2380695,0.02049189,0,0.004054285,0.000249252,0.022737,0,0,0,0,0,0,0,0,0,0,0,0.0107929,0.003450789,0.001937985,0,0,0,0,0,0,0,0,0,0,0,0,0,1.494087
Halibut,0,0,0,0,0,0,0,0,0,0,0.000467348,0.049608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1080023
Arrowtooth,0,0,0,0,0,0.01668679,0.0377888,0,0,0,0.004922732,0.028938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2595959
Flatfish,0,0,0,0,0,0.04648463,0.1020298,0.01299486,0,0,0.000342722,0.08061299,0,0,0,0,0,0,0,0,0,0,0,0.01618935,0.001971879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238817
Dem S M,0,0.00431847,0.03739999,0,0,0.2932107,0.6121786,0.06097586,0.10368,0,0.00152667,0.053742,0,0,0,0.04540059,0,0,0.1072452,0.01224169,0,0.007388726,0,0.8850178,0.02415552,0.03972869,0.04378285,0.5468422,0.01304913,0,0,0,0,0,0,0,0,0,0,3.196293
Large pred demersals,0,0,0,0,0,0.07628247,0.1776074,0,0,0,0.000747757,0.070278,0,4.65E-05,0,0,0,0,0,0,0,0,0,0.08094674,0.009366427,0.03197674,0,0.3493715,0.3523264,0,0,0,0,0,0,0,0,0,0,1.370158
Deep L,0,0,0,0,0,0,0,0,0,0,0.00081007,0.014469,0,0,0,0,0,0,0,0,0.00226236,0,0,0.09173965,0.009366427,0.03197674,0.03405333,0,0,0,0,0,0,0,0,0,0,0,0,0.2041173
Myctophids,0,0.00287898,0,0,0,0.01191914,0.06046209,0.01499406,0,0.009498609,0.000467348,0.047541,0,0.000110475,0,0.2043027,0,0,0.00315427,3.048182,0.018853,0.001231454,0,0.215858,0.01331019,0.2577519,1.0216,0.03038013,0.006524564,0.005837761,0.05551415,0,0,0,0.7491839,0,0,0,0,5.855601
Shrimps,0,0,0,0,0,0,0,0.004998021,0,0,6.23E-05,0.363792,0,0.000180249,0,0.1135015,0,0,0.3122727,0.5019094,0.00075412,0.4617954,0,1.527195,0.009366427,0.1802326,0.6372838,0.8658336,0.2153106,0.636316,0,0,0,0.04058885,0.3745919,0,0,0,0,6.903457
Benthic inverts,0,0.00287898,0,0,0,0,0,0.004998021,0.20736,0.001274204,0.000186939,0.285246,0,0.000779142,0,1.225816,0,0,0.3469697,0.9915771,0.01809888,0.2906232,0.0370594,0.4209231,0.008873456,0.0368217,1.999417,9.311508,0.5741616,0.0807557,0.7771981,13.14944,1.767494,27.68159,3.745919,0,0,0,0,47.5014
Epiben carnivores,0,0,0,0,0,0,0,0.004998021,0.006912,0,0.000124626,0.08474699,0,0,0,0.5221068,0,0,0.01261708,0.02448339,0,0.0701929,0,0.3399763,0.08873457,0,0.1945905,1.944328,1.631141,0,0,0,0,1.826498,2.996736,0,0,0,0,8.638524
Cephalopods,0,0.09500635,0.01195989,0,0,0.06913099,0.3060893,0.1674337,0,0.04204872,0.006885593,0.28938,0.5033607,0.000575635,0,2.383531,0,0,0,0.3305257,0.0037706,0.01477745,0.1797381,0.3885444,0.16268,0.004844961,0.3989105,0.1974708,0.03914738,0.2490778,0,0,0,0,0,0,0,0,0,3.304361
Large zooplankton,0,0.00143949,0.33062,0,0,0,0,0.000499802,0,0.003011754,0,0.12402,2.265123,0.001918783,8.945805,8.172108,2.557406,2.599211,1.138691,4.33356,0.1334792,0.2241247,1.63432,0.0215858,0,0.05329458,0.3453981,1.336726,2.720743,0,23.89884,6.574721,0,5.235961,4.495103,1.35137,0,0,0,49.17718
Small zooplankton,0,0.00143949,0.2168997,0,0,0,0,0,0,0.001853387,0,0.008268,0.5033607,0.000732626,0,8.853115,0,0.08601319,1.23332,2.31368,0.5761477,0.1416173,0,0.00539645,0,0,0.07297143,0,0,0,1.60991,0,0,0.5682439,0,90.0913,105.7247,0,0,222.6078
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.7856,687.2105,0,0,1405.536
Macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,1.761763,0,0.9939783,0,0.2841562,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387854,0,4.197798,1.177076,0.7491839,0,0,0,0,94.96628
