Group,ID
Transient orca,1
Toothed whales,2
Baleen whales,3
SSL embryo,4
SSL pups,5
SSL juveniles,6
SSL Adults,7
Small mammals,8
Sea otters,9
Birds,10
Shark mammal eater,11
Shark and skates,12
Salmon,13
Large pelagics,14
Small pelagics,15
Atka mackerel,16
Sandlance,17
Herring,18
Juvenile pollock,19
Adult pollock,20
POP,21
Rockfish,22
Sablefish,23
Pacific cod,24
Halibut,25
Arrowtooth,26
Flatfish,27
Dem S M,28
Large pred demersals,29
Deep L,30
Myctophids,31
Shrimps,32
Benthic inverts,33
Epiben carnivores,34
Cephalopods,35
Large zooplankton,36
Small zooplankton,37
Phytoplankton,38
Macrophytes,39
Detritus,40
