Prey \ predator,Spring phytopla,Other phytoplan,Bacteria,Microzooplankto,Mesozooplankton,Mysids/Invert.C,Meiofauna,Macrofauna,Juv. Sprat,Juv. Herring,Juv. Cod,Sprat,Herring,Cod,Salmon,Seals,Detritus
Spring phytopla,0,0,0,63.99999,0,13.51688,0,203.4266,0,0,0,0,0,0,0,0,1119.057
Other phytoplan,0,0,0,96,900,20.27533,0,0,0,0,0,0,0,0,0,0,1083.725
Bacteria,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,208
Microzooplankto,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,380
Mesozooplankton,0,0,0,0,0,33.79221,0,0,60.82851,62.48808,0,49.18257,45.91408,0,0,0,377.7946
Mysids/Invert.C,0,0,0,0,0,0,0,0,0,4.860184,0,0,5.27748,0,0,0,23.24904
Meiofauna,0,0,0,0,0,0,0,27.12354,0,0,0,0,0,0,0,0,47.37246
Macrofauna,0,0,0,0,0,0,0,0,0,2.082936,1.796559,0,1.583244,0.31974,0,0,384.9131
Juv. Sprat,0,0,0,0,0,0,0,0,0.05480046,0,0.5154685,0.04430862,0,0.14892,0.06260221,0.000774906,11.20627
Juv. Herring,0,0,0,0,0,0,0,0,0,0,0.8717483,0,0,0.43216,0.02652637,0.001278867,11.95458
Juv. Cod,0,0,0,0,0,0,0,0,0.00608894,0,0,0.00492318,0,0.20148,0,0.000379325,0.8809308
Sprat,0,0,0,0,0,0,0,0,0,0,0.5230489,0,0,0.24236,0.01379371,0.001316799,9.402921
Herring,0,0,0,0,0,0,0,0,0,0,0.08717483,0,0,0.11534,0.003183163,0.001796374,10.39086
Cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197791,0.293977
Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44E-06,0.02513447
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000866975
Detritus,0,0,1040,0,0,0,149.6,468.8499,0,0,0,0,0,0,0,0,0
