Prey \ predator,Phytoplankton,Benth.producers,Microzooplank.,Mesozooplank.,Macrozooplank.,Gelatinous zoo.,Anchovy,Sardine,Redeye,Othersmallpel,Chubmackerel,Juv.hmack.,Ad.hmack.,Mesopelagic,Snoek,Otherlargepel,Cephalopods,SmallM.capens,LargeM.capens,SmallM.parad,LargeM.parad,Pelagicdemers,Benthicdemers,Pelagicchond,Benthicchond,Apexchond,Seals,Cetaceans,Seabirds,Meiobenthos,Macrobenthos,Detritus
Phytoplankton,0,0,1080.884,433.2327,139.2675,0,2.76873,1.582774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10221.49
Benth.producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.31126,29.23591,49.54717
Microzooplank.,0,0,135.1105,433.2327,69.63376,0,2.214984,1.582774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979.5508
Mesozooplank.,0,0,0,0,139.2675,4.854787,31.56352,1.434389,19.998,2.9484,0.035784,1.8,6.3102,38.36602,0,0,0,0,0,0,0,0.1479031,0.1748801,0,0,0,0,0.0259,0.0159743,0,0,316.2599
Macrozooplank.,0,0,0,0,0,0.9102726,18.82736,0.3462317,13.332,0.5824,2.052468,0.6,8.413601,57.54903,0.1271269,0.0608888,3.6828,4.141186,0.36212,13.18499,0.8301678,9.539751,0.8744007,0,0,0,0,0.0259,0.1703925,0,0,76.77129
Gelatinous zoo.,0,0,0,0,0,0.3034242,0,0,0,0.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.758777
Anchovy,0,0,0,0,0,0,0,0,0,0,0.043452,0,0.3236,0,0.3561041,0.1811992,0.1364,0.1150329,0.4635136,0.3385108,0.04743816,0.1922741,0.08744007,0.0529038,0,0,0.5135396,0.222,0.6478466,0,0,19.88515
Sardine,0,0,0,0,0,0,0,0,0,0,0,0,0.08090001,0,0.02378984,0.07336001,0,0,0,0,0,0.02958063,0,0.0264519,0,0,0.07189555,0.0518,0.1419938,0,0,1.821838
Redeye,0,0,0,0,0,0,0,0,0,0,0.023004,0,1.0517,0,0.04683624,0.05722081,0.1364,0.2875824,0.3150444,0.846277,0,1.479031,0.4372004,0.1296143,0,0,0.1412234,0.0222,0.04259814,0,0,13.01057
Othersmallpel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242088,0,0,0.036212,0.01692554,0.07906359,0,0,0.0529038,0,0,0.007703094,0.0148,0.1064953,0,0,1.298688
Chubmackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249424,0,0,0.072424,0,0,0,0,0.0264519,0,0,0.03338008,0,0.00709969,0,0,0.6913019
Juv.hmack.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01040805,0.0374136,0,0,0.108636,0,0,0,0,0,0,0,0.02567698,0,0.01419938,0,0,0.867666
Ad.hmack.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5721496,0,0,0,0,0.2380671,0.0873,0.007904722,0.05648936,0.1998,0,0,0,5.155889
Mesopelagic,0,0,0,0,0,0,0,0,0,0,0.401292,0,0,0,0.03494132,0.014672,1.364,0.4486285,0.36212,1.354043,1.438957,2.218547,0.8744007,0.6612974,0.0873,0,0.01797389,0.0296,0.182817,0,0,33.66618
Snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007242401,0,0.00395318,0,0,0.00264519,0,0.003161889,0.002567698,0,0.003549845,0,0,0.1489095
Otherlargepel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007336,0,0,0,0,0,0,0,0.01587114,0,0.001580944,0.002567698,0,0,0,0,0.1618466
Cephalopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003717162,0.1034376,0.682,0.2990857,0.162954,0.1692554,0.4111307,0.2958062,0.3497603,0.529038,0.2619,0,0.5982736,0.1184,0.1153699,0,0,3.378863
SmallM.capens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01263835,0.007336,0.30008,0,0.416438,0,0,0.05916125,0.01748802,0,0,0,0.2567698,0.0037,0.06744704,0,0,2.014227
LargeM.capens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126742,0,0,0,0.03497603,0.1058076,0.0873,0,0.05648936,0.00666,0,0,0,0.8163691
SmallM.parad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04534937,0.0249424,1.06392,0.1207846,0.54318,0,0.592977,0.236645,0.1399041,0,0,0,0.2567698,0.01332,0.2378396,0,0,5.927323
LargeM.parad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592977,0,0.03497603,0.1322595,0,0,0.04621856,0.00592,0,0,0,0.7913088
Pelagicdemers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08252099,0.0630896,0,0.2818307,0.036212,0.846277,0.1185954,0.4437094,0.3497603,0.1322595,0.4365,0.003161889,0.1001402,0,0.01242446,0,0,2.987643
Benthicdemers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05751647,0.036212,0.1692554,0.3715989,0.1479031,0.3497603,0.2750997,1.746,0.003161889,0.2131189,0,0,0,0,3.532579
Pelagicchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264519,0,0.02213322,0,0,0,0,0,0.5313858
Benthicchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08744007,0,0.4365,0.1675801,0,0,0,0,0,1.91648
Apexchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006829679,0,0,0.00709969,0,0,0.5145602
Cetaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009485667,0,0,0,0,0,0.1584943
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000887461,0,0,0.4614566
Meiobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.77745,43.0845
Macrobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234752,6.2744,0,0,0,0,0,13.67563,0,5.5872,0,0.1669004,0,0,0,40.93027,61.98013
Detritus,0,0,1486.215,0,0,1.517121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.914,467.7746,0
