Group,ID
Phytoplankton,1
Benth.producers,2
Microzooplank.,3
Mesozooplank.,4
Macrozooplank.,5
Gelatinous zoo.,6
Anchovy,7
Sardine,8
Redeye,9
Othersmallpel,10
Chubmackerel,11
Juv.hmack.,12
Ad.hmack.,13
Mesopelagic,14
Snoek,15
Otherlargepel,16
Cephalopods,17
SmallM.capens,18
LargeM.capens,19
SmallM.parad,20
LargeM.parad,21
Pelagicdemers,22
Benthicdemers,23
Pelagicchond,24
Benthicchond,25
Apexchond,26
Seals,27
Cetaceans,28
Seabirds,29
Meiobenthos,30
Macrobenthos,31
Detritus,32
