Prey \ predator,phytoplankton,infauna,amphipods,epibenthic,micro-zoop,copepods,euphausiids,carniv-zoops,small jellies,large jellies,pandalid shp,benthic shp,dungeness,tanner crb,cephalopods,forage fish,mesopelagics,benthic fish,macrourids,sardine,mackerel,salmon,hake,skates,dogfish,sablefish,juv rock,POP,canary,widow,yellowtail,black,shelf rock,slope rock,ssthorny,lsthorny,juv thorny,juv round,lingcod,juv flat,english,petrale,small flat,rex,dover,arrowtooth,halibut,albacore,coastal sharks,shearwaters,murres,gulls,orcas,toothed whales,sperm whales,harbor seals,sea lions,fur seals,grey whales,baleen whales,fishery offal,pelagic detritu,Detritus
phytoplankton,0,0,21.84521,0,1088.51,1139.279,1208.949,2.715196,21.81859,0,0,0,0,0,0,0,0,0,0,0.5839491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567.15,1567.15
infauna,0,0,0,60.55525,0,0,0,0,0,0,4.741463,8.973534,1.28136,1.521767,0,0,0,3.155788,0.0702,0,0,0,0,0.03291255,0,0.0634679,0.03735952,0,0,0,0,0,0,0,0.03141997,0.1008,0,0,0,2.474247,0.4437,0,1.605076,0.5104581,3.610035,0.001183239,0.001130843,0,0,0,0,0,0,0,0,0,0,0,0.001840525,0,0,0,85.71701
amphipods,0,0,0,2.816523,0,0,0,1.810131,0,0,0.379317,0.8973534,0.080085,0,0,2.092911,0.7702316,1.893473,0.0234,0,0.01716,0.002135536,0,0.03291255,0,0.003173395,0.02490634,0.01217,0.0012112,0.1724876,0.003898886,0.001748228,0.01121389,0.01250992,0.03141997,0.0189,0,0.01206173,0,0.9036381,0.32625,0.00326,1.07005,0.2784317,0.127413,0.001183239,0,0,0,0,0,0,0,0,0,0,0,0,0.06993995,0,0,0,25.32059
epibenthic,0,0,0,0,0,0,0,0,0,0,0.9482926,8.973534,0.64068,0.2267279,0.1239113,0,0,4.207717,0.0702,0,0,0,0.18864,0.3291255,0.125,0.1586697,0.09132326,0.01217,0,0,0.003898886,0.0437057,0.08971111,0.02501984,0.01885198,0.126,0,0,0.07648467,0.8606077,0.4698,0.0978,4.066191,0.1113727,0.42471,0,0.00942369,0,0,0,0,0.00244,0,0,0,0.0012208,0.00193284,0,0.001840525,0,0,0,33.79828
micro-zoop,0,0,0,0,0,284.8197,67.16382,2.715196,10.9093,0.446912,0,0,0,0,0,20.92911,0,0,0,0.04171065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.0258
copepods,0,0,0,0,0,0,67.16382,45.25327,0,4.46912,1.896585,0,0,0,2.065188,94.18098,8.215804,0,0,0.834213,0.08580001,0.002135536,0,0,0,0,1.618912,0,0,0.009856436,0,0,0,0,0,0,0.2376121,0.8969545,0,0,0.0522,0,0.8560402,0,0,0,0,0,0,0,0.01161,0,0,0,0,0,0,0,0,0.005685,0,0,341.7837
euphausiids,0,0,0,0,0,0,0,31.67729,0,8.93824,3.79317,0,0,0,5.23181,83.71642,13.35068,0,0,0.6256598,1.0296,0.2135536,54.234,0,0.5,0.1904037,1.826465,1.89852,1.114304,1.478465,1.072194,0.0874114,0.7849723,1.000793,0,0,0.5940304,0.1348721,0,0,0,0.00326,1.07005,0,0,0.04732956,0,0,0,0.01242,0.01161,0.00244,0,0,0,0,0,0,0,0.28425,0,0,322.3863
carniv-zoops,0,0,0,0,0,0,0,0,0,0.2979413,0.5689756,0,0,0,2.065188,5.232276,1.026976,0,0,0,0.12012,0.4271072,2.73528,0,0,0.03173395,0.01660423,0.17038,0.009689601,0.9856436,0.04873607,0.0874114,0.02242778,0.06254959,0.006283995,0,0.2970152,0.03179912,0,0,0,0,0.2140101,0,0,0.001183239,0,0.01022,0,0.00621,0,0.00244,0,0,0,0,0,0,0,0.0028425,0,0,21.72157
small jellies,0,0,0,0,0,0,0,4.525327,0,0.7448533,0,0,0,0,0,2.092911,1.155347,0,0,0,0,0.004271073,0,0,0,0.1269358,0.004151057,0,0.0012112,1.57703,0.09747214,0.06992912,0,0,0.003141997,0.0063,0.05940304,0,0,0,0,0,0,0.004640528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0731
large jellies,0,0,0,0,0,0,0,1.810131,0,0,0,0,0,0,0,0,0.5134878,0,0,0,0.01716,0.004271073,0,0,0.125,0.1586697,0,0,0,0.1971287,0.01949443,0.01748228,0,0.006254959,0,0,0,0,0,0,0,0,0.107005,0,0,0,0,0,0,0.00207,0,0,0,0,0,0,0,0,0,0,0,0,3.724266
pandalid shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688396,0,0,0.1051929,0.00468,0,0,0,1.8864,0.03291255,0.0025,0.04760092,0.1245317,0.07302,0.036336,0.004928218,0.03898885,0.000874114,0.2691333,0.03752976,0.03141997,0.0063,0,0,0.01529693,0,0,0.01304,0.107005,0,0.042471,0.04732956,0.004711845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.551805
benthic shp,0,0,0,0,0,0,0,0,0,0,0,0,0.64068,0,0.0688396,0,0,0.4207717,0.01872,0,0,0,0.66024,0.3291255,0,0.00634679,0.3113293,0,0,0,0,0.03671278,0.02242778,0.01250992,0.09425993,0.1575,0,0,0.01529693,0.06454558,0.006525,0.163,0.6420302,0.01856211,0.042471,0.002366478,0.004711845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42151
dungeness,0,0,0,0,0,0,0,0,0,0,0,0,0.016017,0,0,0,0,0.05259646,0,0,0,0,0,0.08228138,0.05,0.003173395,0,0,0,0,0,0.000874114,0,0,0,0,0,0,0.07648467,0,0.006525,0.00326,0.05350251,0,0,0.002366478,0.004711845,0,0.0007,0,0,0,0,0,0,0.001526,0,0,0,0,0,0,0.7590354
tanner crb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02103859,0,0,0,0,0,0.04114069,0,0.00634679,0.04981269,0,0,0,0,0,0,0,0.1256799,0.063,0,0,0,0,0,0,0,0,0,0,0.000188474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4611415
