Prey \ predator,Cetacea,Harp seals,Hooded seals,Grey seals,Harbour seals,Seabirds,Large cod,Small cod,L. Greenland halibut,S. Greenland halibut,American plaice,Flounders,Skates,Redfish,L. demersals,S. demersals,Capelin,Sand lance,Arctic cod,L. pelagics,S. pisciv. pelagics,S. plankt. pelagics,Shrimp,Large crustacea,Echinoderms,Molluscs,Polychaetes,Other bent. invert.,Large zooplankton,Small zooplankton,Phytoplankton,Detritus
Cetacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4911016
Harp seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8711673
Hooded seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185852
Grey seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06494136
Harbour seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006411498
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042588
Large cod,0.0019584,0.05016369,0.007052415,0.03835991,0.000561682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.898254
Small cod,0.026112,0.1366223,0.006546866,0.03125868,0.001662668,0.000306416,0.8558683,0.03925375,0,0,0.003319856,0,0.004738653,0.03006824,0.01921956,0,0,0,0,0.004964847,0,0,0,0,0,0,0,0,0,0,0,0.7684716
L. Greenland halibut,0,0.03511459,0.001535606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859615
S. Greenland halibut,0,0.06285215,0.01572891,0.000663666,0,0.000515336,0.006483851,0,0.00057456,0,0.005216916,0,0.000161808,0,7.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08806189
American plaice,0,0.03865555,0,0.008494929,0,0.000515336,0.2178574,0,0.00057456,0,0.001106619,0,0.000161808,0,0.001210681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3210171
Flounders,0,0.01888515,0.006787002,0.02535205,0.000546017,0.000515336,0.1121706,0,0.00057456,0,0.000316177,0,0.01735965,0,0.000378338,0,0,0,0,4.10E-05,0,0,0,0,0,0,0,0,0,0,0,0.1493179
Skates,0,0,0,0.003384698,2.91E-05,0.000515336,0,0,0,0,0,0,0.005224075,0,0.03760678,0,0,0,0,0.000273545,0,0,0,0,0,0,0,0,0,0,0,0.04396199
Redfish,0.0009792,0.2800314,0.007924489,8.85E-05,9.62E-05,0,1.242306,0,0.03060288,0,0.000316177,0,0.03293941,0.3280172,0.02307861,0,0,0,0,6.84E-05,0,0,0,0,0,0,0,0,0,0,0,1.911803
L. demersals,0.0403104,0.0348195,0.001244916,0.02212221,0.000798886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1914485
S. demersals,0.0479808,0.04101619,0.004651055,0.0325639,0.000848117,0.0114906,0.05187081,0.06074001,0.04463424,0.04438798,0.007430153,0.01227065,0.03416453,0.09931632,0.06847915,0.020482,0,0,0,0.005409358,0,0,0,0.00359996,0,0,0,0,0,0,0,0.5063983
Capelin,0.8605536,1.185929,0.000334927,0.02497597,0.00180141,0.05702123,0.9427519,2.157717,0.1053864,0.2855926,0.3036878,0.0104783,0.008390881,1.011386,0.05440499,0.02191574,0.7024608,0,0.002648197,0.005115297,0,0,0,0,0,0,0,0,0,0,0,11.16395
Sand lance,0.0855168,0.2257366,0,0.02039668,0,0.03533534,0.005835466,0,0,0,0.1462317,0.01151235,0.03679968,0.4774472,0.04282785,0.020482,1.07799,0,0,0.004322015,0,0,0,0,0,0,0,0,0,0,0,7.435821
Arctic cod,0,0,0.005877013,0,0,4.18E-05,0,0,0,0,0.001422795,0,0.000161808,0,0,0.010241,0,0,9.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.02278415
L. pelagics,0.0026112,0.004426208,0,0.001238844,0.002300434,5.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01670524
S. pisciv. pelagics,0.2257056,0.1437042,0.00130179,0.002721032,0.004905206,0.01729858,0.1517221,0,0.00293328,0.00533078,1.58E-04,0,0.004507498,0.01731202,0.04388719,0.0040964,0,0,0,0.01295921,0,0,0,0,0,0,0,0,0,0,0,1.090253
S. plankt. pelagics,0.0580992,0.001180322,0.004215019,0.00940194,0.007060184,0.002674176,0.3682827,0,0.0424872,0,0.000316177,0,0.000508538,0.02460129,0.03473141,0.0061446,0,0,0,0.005163167,0,0,0,0,0,0,0,0,0,0,0,0.901206
Shrimp,0.0014688,0.0197704,0,2.21E-05,0.001613437,0.001169952,0.1458866,0.1900708,0.06462288,0.05821634,0.028614,0.005859578,0.003166807,0.7699292,0.0522863,0.020482,0,0,0,0.006770245,0.009877414,0,0,0.009391201,0,0,0,0,0,0,0,1.488902
Large crustacea,0,0.01652451,0,0.000154856,8.95E-05,0,0.2775088,0.005371565,0,0.00010556,0.001106619,0.001585533,0.0357826,0,0.007869428,0.020482,0,0,0,2.74E-05,0,0,0,0,0,0,0,0,0,0,0,0.3432716
Echinoderms,0,0,0,0,0,0,0.1277319,0,6.05E-05,0.00010556,0.6054784,0.02088767,0.001294461,0,0.07112751,0.1458318,0,0,0,0.001053149,0,0,0,0.07606872,0,0,0,0,0,0,0,57.42902
Molluscs,0,0,0,0,4.48E-05,5.57E-05,0.02528702,0.003305579,0,0,0.12157,0.063766,0.002612038,0.001822318,0.04804891,0.2396394,0,0,0,0,0.009877414,0,0,0.5849153,0,0,0,0,0,0,0,130.8546
Polychaetes,0,0,0,0,0,0,0.04084826,0.07354913,0,0,0.1008604,0.3710836,0.03869514,0,0.06053406,0.471086,0,0,0,0.000116257,0,0,0.1327834,0.304901,0,0,0,0,0,0,0,33.20539
Other bent. invert.,0,0.1469501,0,0,2.24E-05,0.001211736,0.01620962,0.1880048,9.07E-05,0.0002639,0.1569818,0.1711686,0.001756769,0.001822318,0.09178476,0.9307021,0,0.0098784,0,0.0110991,0,0.2123793,0.1274985,0.3772132,0,0,0,0,0,0,0,15.33729
Large zooplankton,0.1553664,0.5087188,0,0,0,0.01025101,1.224151,1.320579,0.009828,0.133639,0.09659199,0.02054299,0.002635153,4.883811,0.09246577,0.07353038,15.24207,5.104663,0.03192915,0.0101075,2.126113,0.4834099,1.090013,0.1435288,0,0,0,0,0,0,0,55.31095
Small zooplankton,0.1253376,0,0,0,0,0.000306416,0.6717269,0.09420899,3.02E-05,0.00015834,0.000474265,0.000344681,0.000138692,1.466966,0.006583079,0.06308456,27.15298,19.56911,0.05957029,0.000909538,2.793332,2.390811,2.176062,0.0109564,0,0,0,0,57.60093,139.1241,0,386.8309
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012348,0,0,0,0,0.7749001,0,0,19.32491,0,0,73.35211,726.7318,0,1044.176
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305543,0.05462548,125.776,226.5391,67.935,47.346,17.50296,388.6441,0,0
