Prey_\_predator,Baleen_whales,Toothed_whales,Beaked_whales,Seabirds,Pelagic_sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg_Plank_fish,Lg_Epi_fish,Md_Epi_fish,Sm_Epi_fish,Lg_Meso_fish,Sm_Meso_fish,Sm_Bathyp_fish,Md_Bathyp.fish,Lg_Bathyp_fish,Sm_Bathyd_slp,Lg_Bathyd_slp,Sm_Bathyd_abs,Lg_Bathyd_abs,Sm_Squids,Lg_Squids,Benth_ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het_bacteria,Sm_Zoop_shlw,Lg_Zoop_shlw,Sm_Zoop_deep,Lg_Zoop_deep,Detritus
Baleen_whales,0,0.000516526,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03656068
Toothed_whales,0,0.000516526,0,0,0.000320692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1050716
Beaked_whales,0,5.22E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159502
Seabirds,0,5.22E-06,0,0,6.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001843739
Pelagic_sharks,0,0,0,0,0.000576094,0,0,0,0,0,0,2.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01467439
Yellowfin,0,0,0,0,6.40E-07,0,0,0,0,0,0,0,0,6.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000580966
Bluefin,0,0,0,0,6.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79E-06
Skipjack,0,0,0,0,0.000383422,0.000384786,0,0,0.000180805,0,0,0,0,9.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03764778
Albacore,0,0,0,0,6.40E-05,0,0,0,0,0,0,0,0,3.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134631
Bigeye,0,0,0,0,0.001559294,0,0,0,0,0,0,0,0,0.000218393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1010139
Swordfish,0,0,0,0,6.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001196569
Billfishes,0,0,0,0,6.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31E-05
Lg_Plank_fish,0,0,0,0,6.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002633571
