Prey \ predator,Large Bigeye,Small Bigeye,Large Yellowfin,Small Yellowfin,Large Albacore,Small Albacore,Large Blue Shar,Small Blue Shar,Blue Marlin,Large Sharks,Brown Sharks,Swordfish,Other Billfish,Mahimahi,Small Scombrids,Flying Squid,Skipjack,Lg Leatherback,Small Leatherba,Lg Loggerhead T,Small Loggerhea,Jellyfish,Lance,Squids,Flyingfishes,Meso Fish Nekto,Epi Fish Nekton,Epi Micronekton,Meso Micronekto,Phytoplankton,Detritus
Large Bigeye,0,0,0,0,0,0,0,0,0,0.00316698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18623
Small Bigeye,0.005104395,0,0.17724,0,0.06424002,0,0,0,0.08124513,0.0323032,0.2105224,0.134985,0.1087169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.30914
Large Yellowfin,0,0,0,0,0,0,0,0,0.04513618,0.00950094,0.04678277,0,0.004026554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.58236
Small Yellowfin,0.25577,0,0.17724,0,0.3212,0,0,0,0.3091829,0.127946,0.08420897,0.4484985,0.4066819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.689072
Large Albacore,0,0,0,0,0,0,0,0,0,0.00316698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64383
Small Albacore,0.05115401,0,0.17724,0,0.06424002,0,0,0,0.03159533,0.01013434,0.03742621,0.004354354,0.03221243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75004
Large Blue Shar,0,0,0,0,0,0,0,0,0,0.00633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.738866
Small Blue Shar,0,0,0,0,0,0,0.01368104,0,0,0.05700565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3139133
Blue Marlin,0,0,0,0,0,0,0,0,0,0.00633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544466
Large Sharks,0,0,0,0,0,0,0,0,0,0.00633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1888464
Brown Sharks,0,0,0,0,0,0,0,0,0,0.01203452,0.04678277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.049153
Swordfish,0,0,0,0,0,0,0,0,0.02256809,0.00633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052328
Other Billfish,0,0,0,0,0,0,0,0,0.02256809,0.01266792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9388383
Mahimahi,0.25577,0,1.94964,0,0.3212,0,0,0,0.2256809,0.0316698,0.08888724,0.03918919,0.1852215,0.3060988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29964
Small Scombrids,2.250776,0.2252997,63.45193,6.183784,6.809441,3.8976,0,0,0.6544747,0.152015,0.7532025,0.2569069,0.6684079,28.45868,0,0,70.48801,0,0,0,0,0,0,0,0,0,0,0,0,0,591.334
Flying Squid,7.212715,2.298057,0,0,8.929361,11.6928,4.788365,0.1225,0,0.01266792,0.2245573,1.423874,0,7.652469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.9458
Skipjack,2.966932,0.9913187,1.94964,0.3963964,2.762321,0,0,0,0.4197665,0.063973,0.5005755,0,0.5798237,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,65.01025
Lg Leatherback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02042
Small Leatherba,0,0,0,0,0,0,0,0,0,0.000316698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04873331
Lg Loggerhead T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102785
Small Loggerhea,0,0,0,0,0,0,0,0,0,0.000633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1362566
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.15,0.1425,0.2535,0,0,0,0,0,0,0,0,0,3235.899
Lance,2.097314,2.298057,0,0,3.40472,2.33856,0,0,0,0.01456811,0.13567,0.1219219,0,0,0,0,0,0,0,0,0,0,7.05219,0,0,0,0,0,0,0,33.41003
Squids,10.2308,9.237288,18.78744,6.183784,13.61888,19.488,2.736209,0.55125,0.1128405,0.0316698,1.333309,0.762012,1.127435,7.652469,503.6263,316.2609,26.928,0,0,0,0,0,28.20876,0,0,0,0,0,0,0,12102.13
Flyingfishes,0,0,18.25572,6.183784,0,0,0,0,0,0,0,0,0,62.56839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.99132
Meso Fish Nekto,12.7885,13.1575,19.67364,6.302702,10.98504,7.7952,3.365537,0.30625,0,0.02660263,0.3274794,0.8186186,0,0.7648948,251.8131,63.25219,13.464,0,0,0,0,0,70.5219,2427.981,0,3086.626,25.01961,0,0,0,28092.23
Epi Fish Nekton,4.552707,3.244316,33.85284,6.104505,8.736642,19.488,1.368104,0.1225,0.3949416,0.05320527,0.7578808,0.3396396,0.9100011,22.65131,503.6263,94.87827,70.75201,0,0,0.1425,0.2535,0,7.05219,1618.654,0,0,0,0,0,0,9532.249
Epi Micronekton,2.404238,6.713932,9.393721,4.122523,3.40472,5.45664,0.6840522,0.06125,0,0.00633396,0.08888724,0,0,15.30494,881.346,474.3914,54.12,0,0,0,0,13516.46,0,16186.54,408.8607,58645.9,24994.59,0,0,0,670105.6
Meso Micronekto,4.757322,6.939231,9.393721,4.122523,4.818001,7.7952,0.6840522,0.06125,0,0.00633396,0.04678277,0,0,7.652469,377.7197,632.5219,26.928,0,0,0,0,0,28.20876,20233.17,0,0,0,0,0,0,66316.71
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530337,243176.2,0,4170762
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
