Group,ID
Large Bigeye,1
Small Bigeye,2
Large Yellowfin,3
Small Yellowfin,4
Large Albacore,5
Small Albacore,6
Large Blue Shar,7
Small Blue Shar,8
Blue Marlin,9
Large Sharks,10
Brown Sharks,11
Swordfish,12
Other Billfish,13
Mahimahi,14
Small Scombrids,15
Flying Squid,16
Skipjack,17
Lg Leatherback,18
Small Leatherba,19
Lg Loggerhead T,20
Small Loggerhea,21
Jellyfish,22
Lance,23
Squids,24
Flyingfishes,25
Meso Fish Nekto,26
Epi Fish Nekton,27
Epi Micronekton,28
Meso Micronekto,29
Phytoplankton,30
Detritus,31
