Prey \ predator,Piscivorous birds,Non-piscivorous seabirds,Spot,Striped bass YOY,Striped bass resident,Striped bass migratory,reef assoc. fish,Bluefish YOY,Bluefish adult,Weakfish YOY,Weakfish Adult,Summer flounder,Atl. croaker,Menhaden YOY,Menhaden adult,black drum,Littoral forage fish,Alewife and herring,American eel,American shad,bay anchovy,Channel and other catfish,Other flatfish,White perch YOY,White perch adult,other elasmobranchs,gizzard shad,blue catfish,non reef assoc. fish,sandbar shark,Hard clam,other suspension feeders,Other in/epi fauna,Mesozooplankton,Microzooplankton,ctenophores,sea nettles,Blue crab YOY,Blue crab adult,Oyster YOY,Oyster 1+,soft clam,Phytoplankton,SAV,benthic algae,Detritus
Piscivorous birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454245
Non-piscivorous seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.447415
Spot,0,0,0,0,0.6583804,0.07624897,0,0.003588576,0.7594357,0,0.04004008,0.04435476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01613421,0,0,0,2.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62123
Striped bass YOY,0.009045046,0,0,0,0,0.003507452,0,0,0,0,0.001334669,0,0.00901782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2546203
Striped bass resident,0.004522523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21984
Striped bass migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.286212
reef assoc. fish,0,0,0,0,0.07500535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01372252,0,0,0,0,0,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0.1861222
Bluefish YOY,0,0,0,0,0,0,0,0,0,0,0,0.0159968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1010605
Bluefish adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4010694
Weakfish YOY,0.02261261,0,0,0,0.008333929,0,0,0.000256327,0,0,0,0.1163403,0,0,0,0,0,0,0.004528555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1813727
Weakfish Adult,0,0,0,0,0.06667143,0.06099917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1340147
Summer flounder,0,0,0,0,0,0,0,0,0,0,0.06539879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2128912
Atl. croaker,0,0,0,0,0.09167322,0.6938655,0,0,0.2594666,0.08605111,0.04537876,0.03417498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005039013,0,0,0,5.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853517
Menhaden YOY,0.1175856,0,0,0,0.1750125,0,0,0.03588577,1.621086,0,0.5925932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.8402
Menhaden adult,0.1809009,0,0,0,0.5167035,1.097985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87471
black drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05262632
Littoral forage fish,0.1401982,0,0,0.2119472,0.5750411,0,0.06123879,0.0733095,0.094419,0,0,0,0.3153532,0,0,0,0.2253055,0,0.4528555,0,0,0,0,0.003513143,0.125218,0,0,0,0,0,0,0,0,0,0,0,0.61798,0,0,0,0,0,0,0,0,3.963466
Alewife and herring,0.2261261,0,0,0,0,0.09149876,0,0,0,0,0,0,0,0,0,0,0,0,0.4528555,0,0,0,0,0,0,0,0,0.0029392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.575747
American eel,0.04522523,0,0,0,0.1250089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.132139
American shad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1998608
bay anchovy,0.5969731,0,0,0.06949089,0.03333572,0.007624897,0.08835883,0.1396982,0.2845873,0.5044829,0.5472144,0.09452652,0.45044,0,0,0,0,0,0,0,0,0,0,0,0.1432288,0.0342606,0,0,1.495236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.550542
