Group,ID
Piscivorous birds,1
Non-piscivorous seabirds,2
Spot,3
Striped bass YOY,4
Striped bass resident,5
Striped bass migratory,6
reef assoc. fish,7
Bluefish YOY,8
Bluefish adult,9
Weakfish YOY,10
Weakfish Adult,11
Summer flounder,12
Atl. croaker,13
Menhaden YOY,14
Menhaden adult,15
black drum,16
Littoral forage fish,17
Alewife and herring,18
American eel,19
American shad,20
bay anchovy,21
Channel and other catfish,22
Other flatfish,23
White perch YOY,24
White perch adult,25
other elasmobranchs,26
gizzard shad,27
blue catfish,28
non reef assoc. fish,29
sandbar shark,30
Hard clam,31
other suspension feeders,32
Other in/epi fauna,33
Mesozooplankton,34
Microzooplankton,35
ctenophores,36
sea nettles,37
Blue crab YOY,38
Blue crab adult,39
Oyster YOY,40
Oyster 1+,41
soft clam,42
Phytoplankton,43
SAV,44
benthic algae,45
Detritus,46
