Prey \ predator,Baleen whales,Toothed whales,Sperm whales,Beaked whales,Walrus&Bearded seals,Seals,Steller sea lions,Pisc. birds,Adult pollock2+,Juv. pollock0-1,O.Dem.Fish,Large Flatfish,Small Flatfish,Shallow Pelagics,Deep Pelagics,Deepwater fish,Jellyfish,Cephalopods,Benth.P.Feeders,Infauna,Epifauna,Large Zoops,Herb. Zoops.,Phytoplankton,Discards,Detritus
Baleen whales,0,0.000235944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904702
Toothed whales,0,0.000117972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02365643
Sperm whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4001434
Beaked whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002123
Walrus&Bearded seals,0,0.000117972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1259528
Seals,0,0.000235944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3313564
Steller sea lions,0,0.000117972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07429942
Pisc. birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768
Adult pollock2+,0.01903978,0.000943776,0.003997534,2.10E-05,0.001258308,0.003302324,0.000736774,0,0,0,0.3987656,0.0714259,0,0,0,0.0503478,0,0,0,0,0,0,0,0,0,3.209161
Juv. pollock0-1,0.06663921,0.001533636,0.003997534,6.31E-05,0.001258308,0.02972091,0.01068322,0.0342,1.452,0,0.1595063,0.239991,0.07595111,0.07695284,0,0.03524346,0.000192,0,0,0,0,0,0,0,0,25.23743
O.Dem.Fish,0,0.006606432,0.09993836,0,0.01006646,0.08586042,0.01142,0.03816,0.10164,0,0.8573463,0.02571332,0.07595111,0,0,0.00755217,0,0,0,0,0,0,0,0,0,6.545783
Large Flatfish,0,0.006252516,0,0,0.008179002,0.07595345,0.001105161,0,0.01452,0,0,0,0.02531704,0,0,0.04531302,0,0,0,0,0,0,0,0,0,0.862367
Small Flatfish,0,0.0058986,0,0,0.00629154,0.06604648,0.001105161,0,0,0,2.392594,0.02857036,0.2531704,0,0,0.251739,0,0,0,0,0,0,0,0,0,5.258992
Shallow Pelagics,1.73262,0.03763307,0.111931,0.00180858,0.02768278,0.4755346,0.3175496,0.20592,1.90212,0,1.515309,0.2942747,0.5316578,0,0,0.8961909,0.000768,7.839999,0,0,0,0,0,0,0,16.23178
Deep Pelagics,0,0,0,0,0,0,0,0,0,0,3.987657,1.714222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater fish,0,0.006252516,0.09993836,0.003501495,0.008179002,0.07595345,0,0,0,0,0,0.005714072,0,0,0,0.005034781,0,0,0,0,0,0,0,0,0,0.7023044
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000768,0,0,0,0,0,0,0,0,0.060432
Cephalopods,1.427983,0.02713356,1.678964,0.0033648,0,0.01486046,0.02578709,0.0144,0,0,0.1993828,0.01142814,0,0,0,0.2769129,0,7.093333,0,0,0,0,0,0,0,7.893116
Benth.P.Feeders,0.08567899,0.01946538,0,0.001756005,0.150997,0.4441625,0,0,0.45012,0,3.449323,0.1342807,1.36712,0,0,0.367539,0.012288,0,0,0,6.47024,0,0,0,0,74.55903
Infauna,0,0,0,0,0.2516616,0,0,0.00036,0.1452,0,3.987657,0.005714072,15.19022,0.3847642,0,0.2567738,0,0,66.903,0,13.8648,0,0,0,0,546.2598
Epifauna,0.1427983,0,0,0,0.1572885,0,0,0,0.01452,0,1.435556,0.02571332,2.126631,0,0,0.0503478,0,0,8.25137,0,0.369728,0,0,0,0,16.22565
Large Zoops,3.198682,0.005426712,0,0,0,0.3797673,0,0.06696,5.269628,20.50086,1.27605,0.2999888,4.835555,69.56537,11.40376,0.2743955,0.013344,22.4,76.71545,0,2.033504,2.904,0,0,0,225.5013
Herb. Zoops.,2.846447,0,0,0,0.00629154,0,0,0,5.16912,38.07302,0.279136,0,0.8354623,6.925756,17.10563,0,0.06864,0,3.79117,0,0.369728,193.6,0,0,0,302.9296
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.64,1210,0,0,3.359985
Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.34901,1020,23.108,64.856,0,0,0,0
