Group name,Killers Whales,Toothed Whales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N Fur Seal,Steller Sea Lion,Seals,Seabirds,Sleeper shark,W Pollock,P cod,Herring,Arrowtooth,Flatfish,Skates,Sablefish,Eelpouts,Deepwater Fish,POP,Demersal fish,Atka mackerel,Sculpins,Misc fish shallow,Cephalopods,Salmon,Mesopelagics,Forage fish,Crustaceans,Sea stars,Urchins dollars cucumbers,Snails,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Worms,Scyphozoid,Large Zooplankton,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Microbes
Killers Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed Whales,0.112630551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porpoises,0.033264808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Whales,0.300284751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,4.669086837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Otters,0.006897186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walrus Bd Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31E+18,0,0,0,0
N Fur Seal,0.317618765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steller Sea Lion,0.014883495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0.123628658,0,0,0,0,0,0.01564429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0.013121881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeper shark,0,0.004127648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Pollock,2.795723587,0.751735494,1.272251235,0,0.692560407,12.18054318,0,17.43520349,12.44666533,5.945886052,9.775486349,0.5999802,0.398870833,0.824356614,0,1.610451432,0.523475342,0.855120686,0.455256853,0.007912751,0,0,0,0,0.112278621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999351,0,0,0,0,0,0
P cod,0.345861408,0.223858337,0.055473654,0,0,0.056994662,0,0.406821358,2.648226713,0.459252975,2.07253319,0,0.002805773,0.016149945,0,6.77E-06,0.010943744,0.010257994,0,0,0,0,0,0,0.020609083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring,0.084177726,0.004047017,0.006849246,0,0.003728442,0.366751036,0,3.487040127,1.134954144,0.66438437,1.143396756,0,0.002570373,0.00599459,0,0.024509621,0.003718658,0.001912697,0.000362608,0.001483502,0,0,0,0,0.003355586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999351,0,0,0,0,0,0
Arrowtooth,0.140238563,0,0,0,0,0,0,0,0,0,0,0.360512203,0.002406485,0.002019546,0,0.00624802,0.000203341,0.026293538,0.000170778,0,0,0,0,0,4.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flatfish,1.637573002,0,0,0,0,0.01305177,0,4.649387598,4.539818913,1.188847252,0,0.239468024,0.002366188,0.076024571,0,0.02515796,0.025348998,0.157898597,0,1.48E-05,0,0,0,0,0.054620098,0.014784288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0.059951744,0,0,0,0,0,0,0,0,0,0,0,1.87E-06,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0,0.002954313,0,0,0,0,0,0.290586668,0,0,0,0,0,0,0,0,0.000229433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eelpouts,0,0.778945369,1.07252091,0,0,0,0,0,0.378318048,1.062933141,0,0,0.002011293,0.112131384,0,0.079038139,0.036193626,0.118845024,0.000334458,0.036916269,0,0,0,0,0.016663205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater Fish,0,0.075662446,0,0,0,0,0,0,0,0,0,0.5999802,2.28E-06,0,0,9.20E-06,1.39E-06,0,0,0,0,0.007387333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0.01291789,0,0,0,0,0,0.044457203,0.115758655,0.03151459,0.052531844,0,0,0.000312593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal fish,0,0.003968934,0,0,0,0.005278974,0,0.013658542,0.03556928,0.009683043,0.016138707,0,0,1.70E-06,0,0,1.86E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atka mackerel,0,0,0,0,0,0,0,0.290586668,0.037831805,0.10354905,3.40E-05,0,0,0.005535296,0,0.000758181,0.001094445,0,0,0,0,0,0,0,2.58E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sculpins,0,0.262851544,0.444854996,0,0,0,0,0.058117345,2.269908288,1.238876849,0,0,0.001567426,0.06154912,0,0.063399008,0.013555231,0.02539764,0,0.027021815,0,0,0.00143073,0,0.339681882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc fish shallow,0,0.17481504,0.295860443,0,0.064538797,0,0,0,1.134954144,2.299048985,0,0.05999802,0.000404663,0.012212779,0,0.003597179,0.008574307,0.037173862,7.21E-05,0.001973194,0,0,0.000412421,0,0.034441951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopods,0,3.061709999,5.58411,0,0.098646094,3.6507425,0.156442895,17.49332084,7.944679763,1.388982481,17.79791098,0.65997822,0.008006613,0.020725824,0,0.016171101,0.075179174,2.88E-05,0.247791073,0,1.0000715,0.000799832,0.147309069,0,0.007217367,0,0,1.261202,0,0,0,0,0,0,0,0,0,0,0,0,0.002999351,0,0,0,0,0,0
Salmon,0.022109634,0.055398541,0.093757579,0,0.041390356,0,0,1.1623469,0.378318123,0.051774516,6.82E-07,0.14999505,0,0.004624211,0,0,0,0.025547283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesopelagics,0.09787297,0,0.415037848,0,0,0,0,2.324693799,0,0,3.097175616,0,0.01276724,4.27E-06,0,0.006236568,0.032289621,0,0.018775314,0,0,0.034255295,0.000950283,0,0,0,0.089487675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005998702,0,0,0,0,0,0
Forage fish,0.454538267,1.138904412,1.927503992,0,0.850918575,1.980353593,0,9.47312826,3.783180481,1.339991948,37.91008623,0,0.013768836,0.125516821,0,0.079835706,0.070885243,0.032261798,0.305494008,0.024667137,0,0,0,0,0.039811639,0,0.447438375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014996755,0,0,0,0,0,0
Crustaceans,0,0,0,0.75166813,0.015049557,21.03128501,0.469328532,0,0.756636134,2.242523306,0.881553868,0.022499258,0.216350893,1.534112087,0,0.984674561,0.688758675,0.53126469,0.006617285,0.240937521,1.0000715,0.000594401,0.318828424,0.027374497,0.890497523,0.451796523,0.7159014,0,0,0,0.146040159,0.075348088,0,0,0,0.422627,2.23417375,0.34069125,0.808809,0,0,0,0,0,0,0,0
