Group,ID
Killers Whales,1
Toothed Whales,2
Porpoises,3
Gray Whales,4
Baleen whales,5
Sea Otters,6
Walrus Bd Seals,7
N Fur Seal,8
Steller Sea Lion,9
Seals,10
Seabirds,11
Sleeper shark,12
W Pollock,13
P cod,14
Herring,15
Arrowtooth,16
Flatfish,17
Skates,18
Sablefish,19
Eelpouts,20
Deepwater Fish,21
POP,22
Demersal fish,23
Atka mackerel,24
Sculpins,25
Misc fish shallow,26
Cephalopods,27
Salmon,28
Mesopelagics,29
Forage fish,30
Crustaceans,31
Sea stars,32
Urchins dollars cucumbers,33
Snails,34
Benthic Amphipods,35
Coral-like,36
Urochordata,37
Sea Pens & Sponges,38
Bivalves,39
Worms,40
Scyphozoid,41
Large Zooplankton,42
Pelagic Amphipods,43
Gelatinous filter feeders,44
Pteropods,45
Copepods,46
Microbes,47
Macroalgae,48
Phytoplankton,49
Outside Production,50
Discards,51
Detritus,52
Outside Detritus,53
