Prey \ predator,Pursuit Birds,Grazing Birds,Baleen Whales,Toothed Whales,Spotted Dolphin,Meso Dolphin,Sea Turtles,Lg Yellowfin,Lg Bigeye,Lg Marlins,Lg Sailfish,Lg Swordfish,Lg Dorado,Lg Wahoo,Lg Sharks,Rays,Skipjack,Albacore,Auxis,Bluefin,Sm Yellowfin,Sm Bigeye,Sm Marlins,Sm Sailfish,Sm Swordfish,Sm Dorado,Sm Wahoo,Sm Sharks,Misc. Pisc,Flying fish,Misc Epi Fish,Misc Meso Fish,Cephalopods,Crabs,Mesozooplankton,Microzooplankton,Lg Phytoplankton,Sm Producers,Detritus
Pursuit Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.248,0,0,0,0,0,0,0,0,0,0,0,0,4.9464,0,0,0,0,0,0,0,0,0,0,12257
Grazing Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4732,0,0,0,0,0,0,0,0,0,0,2601.929
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28319.2
Toothed Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65487.33
Spotted Dolphin,0,0,0,0,0,0,0,0,0,13.40633,0,0,0,0,9.372,0,0,0,0,0,0,0,0,0,0,0,0,4.9464,0,0,0,0,0,0,0,0,0,0,18011.78
Meso Dolphin,0,0,0,0,0,0,0,0,0,53.62532,0,0,0,0,53.108,0,0,0,0,0,0,0,0,0,0,0,0,19.7856,0,0,0,0,0,0,0,0,0,0,79090.98
Sea Turtles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.5893
Lg Yellowfin,0,0,0,0,0,0,0,0,0,89.37553,0,0,0,0,31.24,0,0,0,0,0,0,0,13.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40201.33
Lg Bigeye,0,0,0,0,0,0,0,0,0,89.37553,0,0,0,0,31.24,0,0,0,0,0,0,0,13.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40933.26
Lg Marlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.405
Lg Sailfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0538
Lg Swordfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.44022
Lg Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.26045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626.479
Lg Wahoo,0,0,0,0,0,0,0,0,0,0,2.036139,0,0,0,0,0,0,0,0,0,0,0,13.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.719
Lg Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.67
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.502
Skipjack,0,0,0,8370,57.75,0,0,507,0,974.1933,4.072278,0,0,472.384,434.236,0,568.5386,102.5719,3581.291,53.75999,300.12,0,65.26045,7.434546,0,0,0,314.0964,0,0,0,0,0,0,0,0,0,0,200390
Albacore,0,0,0,1046.25,0,0,0,101.4,117.27,22.34388,0,1.293618,0,0,15.62,0,0,0,0,0,0,0,1.305209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15711.8
Auxis,0,0,0,12555,3349.5,2805,0,54958.8,2345.4,983.1307,42.75892,0.2587236,166.8938,2447.808,159.324,0,43777.47,5128.594,179064.5,53.75999,15006,0,264.9574,87.97546,0,2904.4,3704.178,113.7672,10226.12,0,0,0,0,0,0,0,0,0,1199732
Bluefin,0,0,0,209.25,0,0,0,101.4,0,26.81266,0,0.2587236,4.768393,32.208,6.248,0,0,0,0,0,150.06,0,1.305209,0,0,0,0,22.2588,127.8266,0,0,0,0,0,0,0,0,0,5916.86
Sm Yellowfin,0,0,0,1046.25,0,0,0,101.4,0,1121.663,0,5.433196,66.7575,1213.168,299.904,0,568.5386,0,3581.291,0,150.06,0,77.00733,0,0,0,0,981.8603,1150.439,0,0,0,0,0,0,0,0,0,44691.93
Sm Bigeye,0,0,0,4185,0,0,0,0,0,0,0,5.69192,0,75.152,31.24,0,0,0,0,0,0,0,65.26045,0,0,0,0,22.2588,0,0,0,0,0,0,0,0,0,0,43415.36
Sm Marlins,0,0,0,0,0,0,0,0,0,22.34388,2.036139,0,0,0,9.372,0,0,0,0,0,0,0,13.05209,0,0,0,0,7.419599,0,0,0,0,0,0,0,0,0,0,409.6906
Sm Sailfish,0,0,0,0,0,0,0,0,0,22.34388,2.036139,0,0,0,9.372,0,0,0,0,0,0,0,13.05209,0,0,0,0,7.419599,0,0,0,0,0,0,0,0,0,0,365.0367
Sm Swordfish,0,0,0,0,0,0,0,0,0,4.468777,0.4072279,0,0,0,3.124,0,0,0,0,0,0,0,1.305209,0,0,0,0,2.4732,0,0,0,0,0,0,0,0,0,0,269.4726
Sm Dorado,0,0,0,2092.5,635.25,0,0,405.6,0,107.2506,18.73248,0,85.83106,236.192,59.356,0,0,0,0,0,0,0,130.5209,38.41182,0,1479.6,840.4438,44.51759,0,0,0,0,0,0,0,0,0,0,16504.71
Sm Wahoo,0,0,0,3138.75,0,0,0,0,0,107.2506,12.62406,0,0,10.736,124.96,0,0,0,0,0,0,0,65.26045,26.02091,0,0,0,86.56199,0,0,0,0,0,0,0,0,0,0,10532.85
Sm Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.526045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782.5719
Misc. Pisc,0,0,0,10462.5,577.5,0,0,1723.8,7388.01,111.7194,101.807,0.5174473,233.6512,601.216,124.96,0,0,1333.434,0,304.64,1050.42,3050,195.7814,123.9091,0,4055.2,2303.439,89.03519,1278.266,0,0,0,0,0,0,0,0,0,41486.58
Flying fish,21681,0,0,4185,4042.5,0,0,5070,0,26.81266,0,0,2627.385,1631.872,34.364,0,6822.463,2564.297,107438.7,0,10804.32,5337.5,0,0,0,24057.2,4669.132,24.732,6391.328,0,0,0,232010.3,0,0,0,0,0,1472278
Misc Epi Fish,1971,404.055,9440.341,18832.5,5082,49368,45.57933,28899,10906.11,268.1266,29.72763,70.63155,305.1772,1395.68,1224.608,134.895,177384,27540.55,895322.6,3584,55822.32,33245,169.6772,247.8182,581.5322,6466.399,14941.22,455.0688,54965.42,0,969583.2,0,1933419,119695,0,0,0,0,8958975
Misc Meso Fish,1971,2424.33,0,7951.5,9124.5,151750.5,0,4867.2,10554.3,0,150.2671,1.293618,696.1853,783.728,34.364,0,100062.8,512.8594,35812.91,0,37815.12,87687.5,0,519.1791,0,6630.799,933.8264,0,8947.859,0,0,0,3248144,83786.52,0,0,0,0,7744837
