Group,ID
Pursuit Birds,1
Grazing Birds,2
Baleen Whales,3
Toothed Whales,4
Spotted Dolphin,5
Meso Dolphin,6
Sea Turtles,7
Lg Yellowfin,8
Lg Bigeye,9
Lg Marlins,10
Lg Sailfish,11
Lg Swordfish,12
Lg Dorado,13
Lg Wahoo,14
Lg Sharks,15
Rays,16
Skipjack,17
Albacore,18
Auxis,19
Bluefin,20
Sm Yellowfin,21
Sm Bigeye,22
Sm Marlins,23
Sm Sailfish,24
Sm Swordfish,25
Sm Dorado,26
Sm Wahoo,27
Sm Sharks,28
Misc. Pisc,29
Flying fish,30
Misc Epi Fish,31
Misc Meso Fish,32
Cephalopods,33
Crabs,34
Mesozooplankton,35
Microzooplankton,36
Lg Phytoplankton,37
Sm Producers,38
Detritus,39
