Prey \ predator,Barramundi,Juv Mangrove Jack,Sea birds,Large sharks/rays,Inshore Finfish,Large groupers,Adult Mangrove Jack,Cephalopods,Scombrids/jacks,Large schooling fish,adult small school fish,juv small schooling fish,Coral Trout,Large fish carniv.,Other prawns,P.longistylus,P.esculentus,M.endeavouri,Small fish omniv.,Crustaceans,Sea turtles (large),Echinoderms,Benthic molluscs/worms,Zooplankton,Sessile animals,Dugong,Fish herbivore,Decomposer/microfauna,Phytoplankton,Benthic autotrophs,Detritus/discards,Detritus
Barramundi,2.617668,0,0,1.23E-05,2.58219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.883032
Juv Mangrove Jack,0,0,0,0,1.010808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34017,1.34017
Sea birds,0,0,0,0.006761067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03484761
Large sharks/rays,0,0,0,1.31E-04,0,7.57E-06,2.56E-05,0,7.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9774379
Inshore Finfish,3.771559,0.6074367,0,0.000313329,4.627731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.863916
Large groupers,0,0,0,0.002221089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01538566
Adult Mangrove Jack,0,0,0,0.06286703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5912973
Cephalopods,0,0,0,0.02706209,0,0,0.04965348,0.1449959,0.1094739,0,0,0,0.00799316,0.0497359,0.02978349,0,0,0,0,0.1674352,0,0.08001003,0,0,0,0,0,0,0,0,0,0.4390935
Scombrids/jacks,0,0,0.02469794,0.06540045,0,0,0.07163505,0,0.1539824,0.001169568,0,0,0.03503823,0.1628926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644497
Large schooling fish,0,0,0.02745729,0.01127593,0,0,0,0,0,0.002339136,0,0,0.01001094,0.02051943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1967863
adult small school fish,0,7.202325,0.04351231,0.12422,0,0,0.7558308,0.1683149,2.029707,0.04090149,0.6448964,0.007383579,0.065655,0.402359,0,0,0,0,0.1132046,0.8164987,0,0,0,0,0,0,0,0,0,0,0,25.02399
juv small schooling fish,0,0,0,0,0,0,0.03433404,0.0157878,0.09513545,0.001169568,0,0,0.000250523,0.01544342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4193535
Coral Trout,0,0,0,0.04510371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479852
Large fish carniv.,0,0,0.02222819,0.3067024,0,0.04706371,0.178537,0,0.4440291,0,0,0,0.01251368,0.07721718,0.07445883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.011748
Other prawns,0.703006,0,0,1.23E-05,0,0,0,2.08E-04,0,0,8.96E-06,2.05E-07,0,0,0,0,1.46E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.594762
P.longistylus,0,0,0.0012349,0.03382782,0,0,0.004509041,0,0.0124855,0,0,0,0,0,0,0,0,0,0.06150483,0,0,0,0,0,0,0,0,0,0,0,0,0.304239
P.esculentus,0,0,0.004939598,0.07667559,0,0,0.01674785,0,0.04459112,0,0,0,0,0,0,0,0,0,0.123003,0,5.15E-05,0,0,0,0,0,0,0,0,0,0,0.5166903
M.endeavouri,0,0,0.007409402,0.07667559,0,0,0.0135271,0,0.03567293,0,0,0,0,0,0,0,0,0,0.08610684,0,5.15E-05,0,0,0,0,0,0,0,0,0,0,0.6203148
Small fish omniv.,6.162325,0.2217302,0.006101551,0.1102865,0.6287773,0,0.1490574,0.04134215,0.4013765,0,0,0,0.01565967,0.03884466,0.01817481,0,0,0,0.5719184,0.04247548,0,0,0,0,0,0,0,0,0,0,0,11.86224
Crustaceans,6.160597,3.830503,0,0.04730465,20.05028,0.00763792,0.0396568,0.2659137,0.1060321,0.001997271,0.1523468,0.003484375,0.07965259,0.05286896,0.1974185,0.1076171,0.2106769,0.1612829,0.9411545,1.815045,0.001020823,0.02825414,0.4533317,0,0,0,0,0,0,0,0,43.07592
Sea turtles (large),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004751999
Echinoderms,0,0,0,0.04735886,0,0,0,0,0,0,0,0,0.3228523,2.007642,1.935931,0,0,0,5.826823,5.433468,0.00105136,2.454702,0.2684431,0,0,0,0,0,0,0,0,8.479374
Benthic molluscs/worms,0,0,0,0.3698472,2.667848,0,0.06523463,0.9251648,0.1712437,0.1169569,0,0,0.1251368,3.088684,4.467533,0.3687464,0.7700747,0,12.53082,14.04657,0.001182781,2.163463,8.724396,0,0,0,0.2664942,0,0,0,0,26.81091
Zooplankton,0,0,0.01234897,0,0,0,0,0.6094086,0.2378385,0.7616953,87.26754,1.997508,0.2477705,1.853215,1.131773,0.01843731,0.03850376,0.5091468,6.578672,21.72797,0,0.1248152,0.8053303,0,11.31213,0,1.065977,0,0,0,0,224.8985
Sessile animals,0,0,0,0.02480702,0,0,0,0,0,0,0.5375871,0.01230498,0.1251368,1.081041,0.5212119,0.3687464,0.7700747,0.5091468,1.879623,13.57237,0.005256806,3.962515,6.256262,0,0,0.03669261,0,0,0,0,0,93.18834
