Group,ID
Barramundi,1
Juv Mangrove Jack,2
Sea birds,3
Large sharks/rays,4
Inshore Finfish,5
Large groupers,6
Adult Mangrove Jack,7
Cephalopods,8
Scombrids/jacks,9
Large schooling fish,10
adult small school fish,11
juv small schooling fish,12
Coral Trout,13
Large fish carniv.,14
Other prawns,15
P.longistylus,16
P.esculentus,17
M.endeavouri,18
Small fish omniv.,19
Crustaceans,20
Sea turtles (large),21
Echinoderms,22
Benthic molluscs/worms,23
Zooplankton,24
Sessile animals,25
Dugong,26
Fish herbivore,27
Decomposer/microfauna,28
Phytoplankton,29
Benthic autotrophs,30
Detritus/discards,31
Detritus,32
