Prey \ predator,Phytoplankton,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Mesopelagics,Macrobenthos polychaetes,Macrobenthos crustaceans,Macrobenthos molluscs,Macrobenthos other,Megabenthos filter,Megabenthos oither,Shrimp,Larval fish,Small pelagics commercial,Small pelagics other,Small pelagic squid,Small pelaglics anadromous,Medium pelagics,Demersal benthivores,Demersal omnivores,Demersal piscivores,Sharks pelagic,Highly migratory tuna etc,Baleen whales,Odontocetes,Seabirds,Discards,Detritus
Phytoplankton,0,594.7589,292.4351,1201.631,417.7376,16.49177,22.5045,0.002327782,25.55177,48.34913,59.79974,151.6054,44.88313,0,0.02774187,1.767408,0.337081,0.3384618,0,0.005843285,0,0,0,0,0,0,0,0,0,1392.206,0
Bacteria,0,0,217.2809,0,0,3.835294,0,0.001356626,61.51342,42.70842,27.61202,162.7977,5.203841,12.53952,0.1643962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.7345,0
Microzooplankton,0,0,162.5978,132.7082,33.53044,9.588236,0,0.005937018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.3704,0
Small copepods,0,0,0,107.8254,133.337,63.28237,42.74945,0.02791774,0,4.432005,0,0,0,0,0,12.91567,4.504625,0.2479179,0,0.02801187,0,0,0,0,0,0,0.111291,0,0,586.2779,0
Large copepods,0,0,0,0,93.53694,69.03529,45.20641,0.04306397,0,8.461099,0,0,0,0,0,7.477488,13.05422,1.230967,0.4468407,0.4498239,0,0,0,0,0.000712977,0,0.8864906,0,0.000513475,332.6711,0
Gelatinous zooplankton,0,0,0,0,40.6236,4.027057,0,0,0,0,0,0,0,0,0,0,2.451497,0.2198924,0,0,0.000747061,0.02283424,0.01571477,0.131195,0.000237659,0.000926863,0.001918811,0.005039569,0,71.35391,0
Micronekton,0,0,0,0,0,0,5.724829,0.001163891,0,0,0,0,0,0,0.05548374,2.039316,4.933638,0.09054394,1.584253,0.01009295,0,0.004566849,0.07857386,0.006559751,0,0,0.5545363,0.04199642,0.002105248,73.81716,0
Mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002241182,0,0,0.03279875,0.000163776,0,0,0,0,0.01988197,0
Macrobenthos polychaetes,0,0,0,0,0,0,0,0,3.067378,3.343825,0,12.15478,0,5.531871,0,0.2916237,0.2673092,0,0,0.000245497,0,0.4658187,0.3771545,0.0655975,0,0,0,0,0,102.715,0
Macrobenthos crustaceans,0,0,0,0,0.1467869,0,0,0,0.1963778,1.849554,0,17.93431,0,7.001229,0.004012133,0.1964152,0.7404549,0.001473571,0.3452859,0.001029,0.008964729,0.5480219,0.1885772,0.0655975,0.000237659,0,0.111291,0,0,117.453,0
Macrobenthos molluscs,0,0,0,0,0,0,0,0,0.1155677,1.934763,0.5968158,11.56586,0,2.29618,0,0.1424001,0.2673092,0.001031485,0,0,0,0.4658187,0.1885772,0.09839626,0,0,0.01136591,0,0,85.13552,0
Macrobenthos other,0,0,0,0,0.07827434,0,0,0,0.7061331,6.010226,0.4840131,40.37204,0,21.00369,0.005666424,0.1553107,0.337081,0.000515591,0.0609328,0,0.007470608,0.5617223,0.1885772,0.5838179,0.000237659,0,0.04413265,0,0,361.7966,0
Megabenthos filter,0,0,0,0,0,0,0,0,0.7097715,4.106222,1.735613,4.054841,0,3.448366,0,0,0,0,0,0,0.002241182,0.4384175,0.204292,1.220114,0,0,0,0,0,47.44957,0
Megabenthos oither,0,0,0,0,0,0,0,0,0.03852258,0.06589579,0.05898125,2.284007,0,3.185024,0,0,0,0,0,0,0.01270003,0.5617223,0.8171682,0.0918365,0,0,0.006630117,0,0,22.21898,0
Shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244792,0,0,0,0.03858674,0,0.000718534,0.02576572,0.02925223,0.05733067,0,0,0,0,0.000158166,0.1627141,0
Larval fish,0,0,0,0,0,1.917624,0,0,0,0,0,0,0,0,0,1.569939,2.883395,0.01509066,0.6093282,0.004249662,0.001494122,0,0.03771546,0.0655975,0,0,0,0,0,6.286003,0
Small pelagics commercial,0,0,0,0,0,1.017024,0,0,0,0,0,0,0,0,0,0,0,0,0.05687062,0,0.3996775,0.4612518,0.3771545,1.593156,0.004990842,0.001216844,0.111291,0.5913096,0.004672624,5.01595,0
Small pelagics other,0,0,0,0,0,0.322939,0,0,0,0,0,0,0,0,0,0,0,0,0.0609328,0,0.03062949,0.004566849,0.006285908,0.157434,0.001901273,0.006685097,0.00692483,0.3191725,0.004022223,0.8543549,0
Small pelagic squid,0,0,0,0,0,0.08029526,0,0,0,0,0,0,0,0,0,0,0,0,0.2675581,0,0.07918844,0.04068961,0.06163568,0.07215726,0.003802546,0.000194995,0.005160111,0.4266836,0.001044066,0.6486637,0
Small pelaglics anadromous,0,0,0,0,0,0.003021424,0,0,0,0,0,0,0,0,0,0,0,0,0.000356614,0,0.007185336,0,0,0.0448747,2.32E-05,0.00E+00,0.000234404,0.003216753,1.54E-05,1.09E-01,0
Medium pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007475446,0,0,0.006558361,0.00285191,0,0,0.00049127,8.33E-06,1.18E-01,0
Demersal benthivores,0,0,0,0,0,0,0,0,0,0.1948327,0,0.6020308,0,0.2287001,0,0,0.02715362,0,0,0,0.06798252,0.318378,0.13829,0.1902328,0.001188296,0,0,0,0,1.468953,0
Demersal omnivores,0,0,0,0,0,0,0,0,0,0.1171042,0,0.2989777,0,0.1304753,0,0,0.02715362,0,0,0,0.00971179,0.1225795,0.01257182,0.03279875,0.001901273,0,0,0.105831,0.000633286,1.15377,0
Demersal piscivores,0,0,0,0,0,0,0,0,0,0,0,0.000172459,0,1.71E-05,0.00E+00,0,0.1238158,0,0,0,0.0550747,0.07659093,0.06993426,0.4281688,0.001663614,0,0,0.06175602,0.000206618,0.8566958,0
Sharks pelagic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327551,0,0,0,0,0.003912317,0
Highly migratory tuna etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237659,0,0,0,0,0.003094402,0
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237659,0,0,0,0,0.3906523,0
Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000475318,0,0,0.003505548,0,0.3123287,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712853,0,0,0,0,0.002401887,0
Discards,0,0,0,0,0,0,0,0,1.182952,2.014548,0.7889149,7.122401,0,3.448366,0.02774187,0,0,0,0,0,0,0.04566848,0.03142954,0,0,0,0,0,0.00193409,0,3951.941
Detritus,0,1883.403,682.3485,216.6875,45.40627,19.17647,22.70191,0.000357966,106.4656,104.7564,47.3349,295.0707,14.96104,12.53952,0.1643962,1.767408,0,0.001506338,0,0.000703775,0.000747061,0.04566848,0.03142954,0.006559751,0.001188296,0,0.02302573,0,0,499.5247,0
