Prey \ predator,Transient Orcas,Dolphins (Res. Orca),Seals Sealions,Halibut,Lingcod,Dogfish Shark,A. Hake,J. Hake,A. Res. Coho,J. Res. Coho,A. Res. Chinook,J. Res. Chinook,Demersal Fishes,Sea Birds,Small Pelagics,Eulachon,A. Herring,J. Herring,Jellyfish,Predatory Invertebrates,Shellfish,Grazing Invertebrates,C. Zoolplankton,H. Zoolplankton,Kelp/Sea Grass,Phytoplankton,Detritus
Transient Orcas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045
Dolphins (Res. Orca),0.000444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088556
Seals Sealions,0.0214674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6505327
Halibut,0,0.000439104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001680896
Lingcod,0,0.004391043,0.07032646,0,0.02087389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153739
Dogfish Shark,0,0.000439104,0,0,0.02087389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.878687
A. Hake,0,0.08755741,0.819478,0,0.8625717,0.7348497,0,0,0,0,0,0,0.8501761,0,0,0,0,0,0,0,0,0,0,0,0,0,8.250867
J. Hake,0,0,0.2126149,0,0.006709179,0.8288134,1.93425,0,0,0,0.002203678,0,0.346368,0,0,0,0.1005986,0,0,0,0,0,0,0,0,0,6.502323
A. Res. Coho,0,0.0201988,0.09021734,0,0.006686602,0.01551953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1330817
J. Res. Coho,0,0,0.226733,0,0.06689094,0.06500497,0.38685,0,0.001282016,0,0.007224793,0,0,0,0,0,0.2013984,0,0,0,0,0,0,0,0,0,2.279296
A. Res. Chinook,0,0.0201988,0.1301194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3770318
J. Res. Chinook,0,0,0.3578284,0,0,1.461755,0,0,0.000769824,0,0.002203678,0,0,0,0,0,0.1005986,0,0,0,0,0,0,0,0,0,2.828505
Demersal Fishes,0,0.06960813,0.8425233,0.001217947,2.273445,2.61645,0,0,0.000769824,0,0.01322207,0,0.31488,0.1374126,0,0,0.1005986,0,0.1636364,0,0,0,0,0,0,0,6.318236
Sea Birds,6.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001832168,0,0,0,0,0,0,0,0,0,0,0,0,0.3709012
Small Pelagics,0.000222,0.08386893,0.2679539,0.003383186,0.1530752,0,0.38685,0.522225,0.1667285,0,0.1804812,0,2.998858,0.1410769,0,0,0.502993,0.03963444,0,0,0,0,0,0,0,0,10.608
Eulachon,0,0.000878209,0.02940957,3.38E-05,0.1391592,0.07759763,0.193425,0,0.01154274,0,0.03068181,0,1.499429,0.007328671,0,0,1.005986,0.03963444,0.9818181,0,0,0,0,0,0,0,7.822432
A. Herring,0,0.02195522,0.1862606,0.001319239,2.017809,0.07759763,0.038685,0,0.0384758,0,0.1985293,0,0,0.03481119,0,0,0,0,0,0,0,0,0,0,0,0,21.04456
J. Herring,0,0,0,3.38E-05,0.06262166,0,0.038685,0.104445,0.1282527,0.006111289,0.6497324,0.04608358,0,0.01832168,0,0,1.005986,0,0.9818181,0,0,0,0,0,0,0,9.072629
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.490909,0,0,0,0,0,0,0,71.50909
Predatory Invertebrates,0,0.06391691,0,0,0.2783185,0.1551953,0,0,0,0.07333547,0,0.4608359,4.528275,0,0,0,0,0,0,2.7027,0,0,0,0,0,0,22.76842
Shellfish,0,0,0.00326773,0,0,0.7914959,0,0,0,0,0,0,4.498287,0.2894825,0,0,0,2.100625,0,22.1221,0,55.70828,0,0,0,0,271.6965
Grazing Invertebrates,0,0.06454834,0.00326773,0,0,0,5.145105,0,0,0.07333547,0,0.1843343,8.966584,0.9838741,5.160648,0,0,0,0,25.2252,0,724.2077,0,0,0,0,2469.985
C. Zoolplankton,0,0,0,0.000811965,0.5357632,9.425721,28.6269,2.50668,0.2436801,4.473464,0.7116421,5.530031,5.997716,0,25.80324,17.12478,19.31493,8.4025,18.98182,0,0,0,0,0,0,0,111.4075
H. Zoolplankton,0,0,0,0,0.2644026,0,1.93425,17.75565,0.05001855,1.491155,0.01082887,2.765015,1.499429,0.05496503,20.64259,19.02754,38.52927,25.2075,133.0364,0,116.9491,0,207.2697,0,0,0,936.158
Kelp/Sea Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.037639,11.14166,0,0,0,0,75.74969
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009160839,0,1.902754,0,3.804906,16.36364,0,811.0494,2841.122,77.72615,4073.806,0,0,5217.189
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1557343,0,0,0,0,0,30.03,303.7639,5567.82,233.1784,452.6451,0,0,0
