Prey \ predator,Whales,Harp Seals,Hooded Seals,Seabirds,Cod > 35cm,Cod <= 35 cm,G.halibut>40cm,G.halibut<=40cm,Aplaice>35cm,Aplaice<=35cm,Flounders,Skates,Redfish,L.Dem.Feeders,S.Dem.Feeders,Capelin,Sand lance,Arctic cod,L.Pel.Feeders,Pisc. SPF,Plankt. SPF,Shrimp,Large Crustacea,Echinoderms,Molluscs,Polychaetes,O.Benthic Inver,L.Zooplankton,S.Zooplankton,Phytoplankton,Detritus
Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6171588
Harp Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6585296
Hooded Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09278601
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1334
Cod > 35cm,0,0.04169119,0.04138083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9899079
Cod <= 35 cm,0.03555908,0.1090385,0,0.003285,0.08094239,0.01171354,0.03905109,0.01898566,0,0.01170439,0,0.0371262,0.006385381,0.01622214,0,0,0,0,0.000176852,0.04709707,0,0,0,0,0,0,0,0,0,0,0.3569696
G.halibut>40cm,0,0.01282806,0.01601838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1404304
G.halibut<=40cm,0,0.1443157,0.129037,0,0.0269808,0.003346724,0.06525642,0.01054759,0.001942058,0.005852195,0,0.000742524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4432519
Aplaice>35cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747984
Aplaice<=35cm,0,0.03207015,0,0,0.0764456,0,0.00051383,0,0.001942058,0.06144806,0,0.000742524,0,0.02507059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850572
Flounders,0,0.1603508,0.09611029,0,0.0044968,0,0.00102766,0,0,0.02340879,0,0.005197668,0,0.01622214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8060449
Skates,0,0,0,0,0,0,0.00051383,0,0,0,0,0,0,0.00147474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1833042
Redfish,0,0.01603507,0.0218028,0,0.0404712,0,0.1315405,0,0,0.002926098,0,0.06385706,0.02234883,0.02359585,0,0,0,0,0.000176852,0,0,0,0,0,0,0,0,0,0,0,0.6648778
