Prey_\_predator,Bacteria,Microzooplankton,Small_copepods,Large_Copepods,Gelatinous_Zooplankton,Micronekton,Macrobenthos_polychaetes,Macrobenthos_crustaceans,Macrobenthos_molluscs,Macrobenthos_other,Megabenthos_filterers,Megabenthos_other,Shrimp_et_al.,Larval-juv_fish_all,Small_Pelagics_commercial,Small_Pelagics_other,Small_Pelagics_squid,Small_Pelagics_anadromous,Medium_Pelagics_(piscivores_&_other),Demersals_benthivores,Demersals_omnivores,Demersals_piscivores,Sharks_pelagics,HMS,Pinnipeds,Baleen_Whales,Odontocetes,Sea_Birds,Discard,Detritus-POC
Primary_Producers,897.6531,250.7348,962.2549,827.0635,16.11527,32.44587,41.13777,11.46775,54.14688,58.97628,22.77565,0,0.1494587,0.5475386,0.1206622,0.4110093,0,0.003597563,0,0,0,0,0,0,0,0,0,0,4.336689,429.3322
Bacteria,0,233.4744,0,0,3.747738,0,97.94701,11.66212,26.41311,58.97628,3.420996,5.483528,0.8856811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.754099,470.6559
Microzooplankton,0,114.8926,150.6703,56.13306,9.369344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390421,137.6517
Small_copepods,0,0,42.52715,143.6492,61.83768,39.27658,0,0.462648,0,0,0,0,0,4.001245,1.283407,0.2004514,0,0.01714623,0,0,0,0,0,0,0,0.04348574,0,0,3.605829,356.9771
Large_Copepods,0,0,0,167.0867,67.45929,65.17634,0,2.332424,0,0,0,0,0,2.31651,4.672919,1.678069,0.05529334,0.2755618,0,0,0,0,6.15E-05,0,0,0.7215229,0,0.000643221,4.339228,429.5836
Gelatinous_Zooplankton,0,0,0,31.32113,9.11762,0,0,0,0,0,0,0,0,0,0.206868,0.05402662,0,0,0.000642052,0.02404142,0.02991075,0.1750685,0,0.001308107,0,0.006904558,0.0028,0,0.6952943,68.83414
Micronekton,0,0,0,0,0,8.253773,19.58941,4.567663,4.622295,19.7744,0,0,0.2989174,0.6317753,2.336459,0.1099515,0.2764667,0.006213973,0,0.1649307,0.01183459,0.08955215,0,0,0.02453682,0.4503674,0.009292686,0.002637208,0.5269777,52.17079
Macrobenthos_polychaetes,0,0,0,0,0,0,8.85889,11.46774,0,19.26861,0,3.061637,0,0.1948474,0.1206622,0,0,0.000474457,0,0.3947521,0.05984922,0.04477607,0,0,0,0,0,0,1.705746,168.8689
Macrobenthos_crustaceans,0,0,0,0.4293275,0,0,1.625903,2.808987,0,2.918597,0,2.561424,0.01614206,0.1184672,0.5869228,0.00179028,0.08294,0.000663113,0.000401536,0.4947921,0.05984922,0.04477607,2.05E-05,0,0,0.06333953,0,0,0.4393672,43.49735
Macrobenthos_molluscs,0,0,0,0,0,0,0.2119229,1.863745,0.5802168,6.577112,0,9.184913,0,0.04647097,0.08644438,0.001789525,0,0,0,0.3298614,0.05984922,0.1343282,0,0,0,0.01870038,0,0,0.8422134,83.37913
Macrobenthos_other,0,0,0,2.288482,0,0,6.982208,11.42172,3.023574,10.66495,0,9.184913,0.2075815,0.1948474,0.1206622,0.005487966,0.009215554,0,0.000401536,0.4947921,0.03989948,0.4436903,2.05E-05,0,0,0.03584238,0,0,1.525837,151.0579
Megabenthos_filterers,0,0,0,0,0,0,0.3491105,0.4072141,0.4039934,0.3364731,0,0.3766129,0,0,0,0,0,0,0,0.1405967,0.01453964,0.04477607,0,0,0,0,0,0,0.2044831,20.24383
Megabenthos_other,0,0,0,0,0,0,0.4654804,0.375125,0.09958042,1.840507,0,1.606047,0,0,0,0,0,0,0.006357656,0.2568593,0.03989948,0.08955215,0,0,0,0.005705735,0,0,0.1225215,12.12963
Shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0.002491595,0,0,0,0.01298184,0,0.000563367,0.04550244,0.001087967,0.4907862,0,0,0,0,0,0.000404856,0.007504974,0.7429925
Larval_juv_fish_all,0,0,0,0,0.7604529,0,0,0,0,0,0,0,0,0.6949528,1.162745,0.01832526,0.09215553,0.001814013,0.000401536,0,0.004057575,0.04477607,0,0,0,0,0,0,0.01712513,1.695388
Small_Pelagics_commercial,0,0,0,0,0.0671614,0,0,0,0,0,0,0,0,0,0,0,0.004141628,0,0.01191224,0.1295525,0.01570421,1.099049,0.000430651,0.002497534,0.1475525,0.01036673,0.07801372,0.005853317,0.0200745,1.987376
Small_Pelagics_other,0,0,0,0,0.08521403,0,0,0,0,0,0,0,0,0,0,0,0.004153482,0,0.001204608,0.005407564,0.000676263,0.227951,0.000102536,0.009711145,0.04907364,0.004469124,0.07062441,0.005038568,0.009255076,0.9162526
Small_Pelagics_squid,0,0,0,0,0.01720244,0,0,0,0,0,0,0,0,0,0,0,0.0117136,0,0.000848394,0.009729666,0.000608514,0.1793372,0.000328115,0.000343766,0,0.004081813,0.09441371,0.000597207,0.001335712,0.1322355
Small_Pelagics_anadromous,0,0,0,0,0.008190017,0,0,0,0,0,0,0,0,0,0,0,0.000553798,0,0.000630341,0,0,0.006518649,4.10E-05,0,0.01786481,0.001113222,0.001939361,0.000378711,0.000529914,0.05246153
Medium_Pelagics_piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-05,0,0,0,5.75E-05,0,0.000181828,0,2.36E-05,6.63E-06,6.36E-05,0.006294745
Demersals_benthivores,0,0,0,0,0,0,0,0.1364091,0,0.533948,0,0.1120731,0,0,0.01956766,0,0,0,0.0039819,0.1000399,0.004395706,0.04477607,0.000102536,0,0.02453682,0,0,0,0.01007774,0.9976964
Demersals_omnivores,0,0,0,0,0,0,0,0.02664334,0,0.03404321,0,0.03338811,0,0,0.01956766,0,0,0,0.001391345,0.01622269,0.003381312,0.01628221,0.000164058,0,0.01726681,0,0.004532105,0.000248212,0.001591663,0.1575747
