Group,ID
Primary_Producers,1
Bacteria,2
Microzooplankton,3
Small_copepods,4
Large_Copepods,5
Gelatinous_Zooplankton,6
Micronekton,7
Macrobenthos_polychaetes,8
Macrobenthos_crustaceans,9
Macrobenthos_molluscs,10
Macrobenthos_other,11
Megabenthos_filterers,12
Megabenthos_other,13
Shrimp,14
Larval_juv_fish,15
Small_Pelagics_commercial,16
Small_Pelagics_other,17
Small_Pelagics_squid,18
Small_Pelagics_anadromous,19
Medium_Pelagics_piscivores,20
Demersals_benthivores,21
Demersals_omnivores,22
Demersals_piscivores,23
Sharks_pelagics,24
HMS,25
Pinnipeds,26
Baleen_Whales,27
Odontocetes,28
Sea_Birds,29
Discard,30
Detritus_POC,31
