Prey \ predator,0-12 Snook,3-12 Snook,12-48 Snook,48-90 Snook,90+ Snook,0-3 Red Drum,3-8 Red Drum,8-18 Red Drum,18-36 Red Drum,36+ Red Drum,0-3 Sea Trout,3-18 Sea Trout,18+ Sea Trout,0-3 Sand Trout,3-12 Sand Trout,12+ Sand Trout,0-6 Mullet,6-18 Mullet,18+ Mullet,Mackrel 0-3,Mackrel 3+,Ladyfish 0-10,Ladyfish 10+,Grouper 0,Grouper 1-3,Grouper 3+,Jacks,Bay Anchovy,Pin Fish,Spot,Silver Perch,Scaled Sardine,Mojarra,Threadfin Herring,juv Menhaden,Menhaden,Menidia (silverside),Catfish,Bumper,Caridan Shrimp,Shrimp,Stone Crab,Blue Crab,Cyprinodontids,Poecilids,Pigfish,Gobies,Rays,Pompano,Lobster,red snapper 0-6,red snapper 6-24,red snapper older,Atlantic croaker,LCsharks,Benthic Invertebrates,Macro Zooplankton,Micro Zoolplankton,Infauna,Attached Microalgae,Sea Grass,Phytoplankton,Detritus
0-12 Snook,0,9.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000516537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001582618
3-12 Snook,0,0,0,0.00029498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05988682
12-48 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2918216
48-90 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05542409
90+ Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172
0-3 Red Drum,0,0,5.37E-06,1.47E-05,0,0,0,0,4.41E-05,0,0,0,3.52E-05,0,0,2.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000853062
3-8 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02353279
8-18 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05489842
18-36 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10794
36+ Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6799499
0-3 Sea Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577299
3-18 Sea Trout,0,0,0,0.003657754,4.68E-05,0,0,0,0,0,0,0,0.001056161,0,0,0,0,0,0,0,1.02E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05233117
18+ Sea Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000449975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1739424
0-3 Sand Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225469
3-12 Sand Trout,0,0,0,0,0.000215822,0,0,0,0,0,0,0,0,0,0,0.001079924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006162954
12+ Sand Trout,0,0,0,0,9.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072506
0-6 Mullet,0,0.000579752,0.000536722,0.00029498,0.00120132,0,0,0.000579841,0.001036277,0.005700569,0,0,0.04224645,0,0,0,0,0,0,2.69E-06,0,0,0.00054462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3933617
6-18 Mullet,0,0,0,0,0.000215822,0,0,0.001256322,0.001918214,0.07942793,0,0,0.000352054,0,0,0,0,0,0,0,7.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216016,0,0,0,0,0,0,0,2.48948
18+ Mullet,0,0,0,0,0.000988099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2148159,0,0,0,0,0,0,0,5.504182
Mackrel 0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000681186
Mackrel 3+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3749
Ladyfish 0-10,0,0,0.000536722,0,0.000756676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01027942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05075269
Ladyfish 10+,0,0,0,0,9.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006920795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2321829
Grouper 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388702
Grouper 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08621652
Grouper 3+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7579698
Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005549696,0,0,0,0,0,0.001390944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1764142
Bay Anchovy,0,0,0.000536722,0.01461627,0.0050055,0,0,0.001836162,0.009921798,0.06973696,0,0.005187648,0.0549908,0,0.009447263,0.1161998,0,0,0,0.000448377,0.2578359,0.01746268,0.1329418,0,0,0,0.1309523,0,0,0,0.8138421,0,0,0,0,0,0,0.1128633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2148159,0,0,0,0,0,0,0,4.993873
Pin Fish,0,0.000579752,0.02688978,0.03362774,0.00050445,0,0,0.000579841,0.004894753,0.04028402,0,0,0.03559263,0,0,0.000539962,0,0,0,2.69E-06,1.65E-05,0,0,0,0.003313139,0.01107613,0.06632428,0,0,0,0.2758787,0,0,0,0,0,0,0.000645671,0,0,0,0,0,0,0,0.09570191,0,0,0,0,0,0,2.243181,0,0.0648048,0,0,0,0,0,0,0,4.941552
