Prey \ predator,Rastrelliger spp.,Scomberomorus,Carangidae,Pomfret,Small pelagics,False trevally,L. piscivores,Scianidae,Saurida spp.,Lutianidae,Plectorhynchidae,Priacanthus spp.,Sillago,Nemipterus spp.,Ariidae,Rays,Sharks,Cephalopod,Shrimps,"Crab, Lobster",Trashfish,Small demersal,Dem.piscivore,Dem.benthivore,Shellfish,Jellyfish,Sea cucumber,Seaweeds,Coastal tuna,Sergestid shrimp,Mammals,Pony fishes,Benthos,Zooplankton,Juv pelagic,Juv caranx,Juv saurida,Juv Nemipterus,Phytoplankton,Detritus
Rastrelliger spp.,0,0.00294559,0.02341637,0,0,0,0.01806638,0,0,0,0,0,0,0,0,0,0,0.0208,0,0,0,0,0,0,0,0,0,0,0.009933573,0,0.3,0,0,0,0,0,0,0,0,0.4839405
Scomberomorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003092869
Carangidae,0,0.00294559,0,0,0,0,0.01204425,0,0,0.0039275,0,0,0,0,0,0,0.004999999,0,0,0,0,0,0,0,0,0,0,0,0.01158917,0,0.06000001,0,0,0,0,0,0,0,0,0.09951957
Pomfret,0,0,0,0,0,0,0.006022125,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.001655596,0,0,0,0,0,0,0,0,0,0,0.00793327
Small pelagics,0,0.001472795,0.09366547,0.003777748,0,0.006677278,0.01083983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01655596,0,1.05,0,0,0,0,0,0,0,0,1.159294
False trevally,0,0,0,0,0,0,0.001204425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004138989,0,0,0,0,0,0,0,0,0,0,0.007011142
L. piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0.000827798,0,0,0,0,0,0,0,0,0,0,0.0268492
Scianidae,0,0,0,0,0,0,0.003613275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04820415
Saurida spp.,0,0,0,0,0,0,0.003613275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1819867
Lutianidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01992
Plectorhynchidae,0,0,0,0,0,0,0.001204425,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.000827798,0,0,0,0,0,0,0,0,0,0,0.005009299
Priacanthus spp.,0,0,0,0,0,0,0,0,0,0.0039275,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2288725
Sillago,0,0,0,0.000377775,0,0,0.001204425,0,0,0.0007855,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0.004966787,0,0,0,0,0,0,0,0,0,0,0.03463286
Nemipterus spp.,0,0,0,0.001511099,0,0,0.01204425,0,0,0.0039275,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0.005794585,0,0,0,0,0,0,0,0,0,0,0.07254455
Ariidae,0,0,0,0,0,0,0,0,0.01088,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03622
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01508
Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
Cephalopod,0,0.001472795,0,0,0,0,0.006022125,0,0.1088,0.007855,0,0,0,0,0,0,0,0.0416,0,0,0,0,0.0084,0,0,0,0,0,0.004138989,0,0.15,0,0,0,0,0,0,0,0,0.4567111
Shrimps,0,0.001472795,0.04683274,0.003777748,0,0,0,0.03443154,0,0.007855,0.00238538,0.0707,0.01649184,0.033516,0.01775,0.0072,0.0025,0.0416,0,0,0,0.04329855,0.042,0.096222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6139049
"Crab, Lobster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009622199,0,0,0,0,0.000827798,0,0,0,8.25,0,0,0,0,0,0,7.479508
Trashfish,0,0.000736397,0.09366547,0.007555495,0,0,0.008430975,0.03443154,0.136,0.023565,0,0.26866,0,0,0,0,0.0025,0.208,0,0,0,0,0.084,0.009622199,0,0,0,0,0,0,0.4500001,0,0,0,0,0,0,0,0,1.748781
Small demersal,0,0.000736397,0.04683274,0.005666621,0,0,0.01204425,0.02295435,0.1088,0.010997,0,0,0,0,0,0,0.004999999,0,0,0,0,0,0.105,0,0,0,0,0,0.004138989,0,0.15,0,0,0,0,0,0,0,0,0.4600471
Dem.piscivore,0,0,0,0,0,0,0.01806638,0,0,0.007855,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0.008277978,0,0,0,0,0,0,0,0,0,0,0.09530064
Dem.benthivore,0,0,0,0,0,0,0.006022125,0,0.09792001,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0.0714,0,0,0,0,0,0.002483393,0,0,0,0,0,0,0,0,0,0,0.1985625
Shellfish,0,0,0,0,0,0,0,0,0,0,0.00119269,0,0,0,0.008875,0,0,0,0,0,0,0,0,0.048111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5351449
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Sea cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99928
