Group,ID
Rastrelliger spp.,1
Scomberomorus,2
Carangidae,3
Pomfret,4
Small pelagics,5
False trevally,6
L. piscivores,7
Scianidae,8
Saurida spp.,9
Lutianidae,10
Plectorhynchidae,11
Priacanthus spp.,12
Sillago,13
Nemipterus spp.,14
Ariidae,15
Rays,16
Sharks,17
Cephalopod,18
Shrimps,19
"Crab, Lobster",20
Trashfish,21
Small demersal,22
Dem.piscivore,23
Dem.benthivore,24
Shellfish,25
Jellyfish,26
Sea cucumber,27
Seaweeds,28
Coastal tuna,29
Sergestid shrimp,30
Mammals,31
Pony fishes,32
Benthos,33
Zooplankton,34
Juv pelagic,35
Juv caranx,36
Juv saurida,37
Juv Nemipterus,38
Phytoplankton,39
Detritus,40
