Prey_\_predator,Microzooplankton,mesozooplankton,macrozooplankton,gelatinous_zooplankton,macrobenthos,sardine,anchovy,mesopelagics,jumbo_squid,other_cephalopods,other_small_pelagics,horse_mackerels,mackerels,other_large_pelagics,small_hake,medium_hake,large_hake,flatfishes,small_demersals,benthic_elasmobranchs,butter_fishes,conger,medium_demersal_fish,medium_sciaenids,sea_robin,catfish,chondrichtlyans,seabirds,pinnipeds,cetaceans,Detritus
Diatoms,6292.826,3311.175,491.021,0,0,4.449396,1152.459,0,0,0,23.41234,0,0.144296,0,0,0,0,0,65.22251,0,0.054144,0,0,0,0,0,0,0,0,0,2814.477
Dino_and_silicoflagellates,2097.608,194.775,98.2042,0,0,0.317814,6.66344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.3214
Microzooplankton,4195.217,389.55,392.8168,0,0,3.919706,0.3165134,0,0,0,0,0,7.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457.418
mesozooplankton,0,0,0,0.03132006,0,74.58035,468.1066,2.023308,1.000466,0,50.72673,0,2.092292,0,0,0,0,0,43.48167,0,0.023808,0,0,0,0,0.013848,0,0,0,0,1967.904
macrozooplankton,0,0,0,0.005872511,0,22.67073,38.31478,94.32469,2.961379,68.75278,0,77.73695,62.18537,0,1.200028,0.01347156,0.0505296,0,0,0.009879999,0.003584,0,0.4505601,0.001137799,13.07767,0.373896,0,0,0,0.372,216.5403
gelatinous_zooplankton,0,0,0,0.001957504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007340639,0,0,0,0,0,0,0.01761753
macrobenthos,0,0,0,0,14.5103,0,0,0,0,0,0,4.16448,0,0,1.542893,0.002290165,0.000237336,0.01621333,0,0.293566,0.022912,0.01083,0.67408,1.176081,0.335325,1.980264,0,0,0,0,41.60334
sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028595,0,0,0,0,0.01612,0,0,0,0.02385708,0,0,0,0,0,0,38.63453
anchovy,0,0,0,0,0,0,0,0,0.5736004,0,0,27.7632,0,3.499543,6.137284,2.898586,0.001914,0.04053333,0,0.04056,0,0,0.176,0.3376694,0,0.6854759,0.01863324,3.52554,1.781287,0.124,671.5591
mesopelagics,0,0,0,0,0,0,0,0,5.162403,0,0,0,0.36074,0,0,0,0.0042108,0,0,0,0,0,0,0.001780105,0,0,0,0,0.0132192,0,37.81424
jumbo_squid,0,0,0,0,0,0,0,0,1.600745,0,0,0,0,0.3554615,1.920044,0,0,0,0,0.01144,0,0,0,0.009175799,0,0,0.05835878,0,0,0.248,2.947524
other_cephalopods,0,0,0,0,0,0,0,0,1.027145,0,0,16.65792,7.359096,0.440572,1.200028,0,0.0007656,0,0,0.05928,0,0.003515,0.07568001,0.01468128,0,0,0.00078732,0,0,0,17.59262
other_small_pelagics,0,0,0,0,0,0,0,0,0.5869399,0,0,5.552639,0,0.0050065,0.08571626,0.2469786,0,0,0,0.00104,0,0,0.00176,0.06790091,0,0.003462,0,0.14472,0.0297432,0,27.7046
horse_mackerels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005044,0,0,0,0,0,0,0,0.0603,0.049572,0.248,60.65782
mackerels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,24.9078
other_large_pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183516,0,0,0,0,0,0,1.250115
small_hake,0,0,0,0,0,0,0,0,0.4268654,0,0,0,0,0,0,0,0.1479063,0,0,0,0,0,0,0,0,0,0.008660519,0,0.0429624,0,6.970231
medium_hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02548,0,0.02071,0,0,0,0,0.00096228,0,0,0,1.30653
large_hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79E-05,0,0,0,0.1169021
flatfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0.000855,0.00176,0,0,0,0,0,0,0,0.01871833
small_demersals,0,0,0,0,0,0,0,0,0,4.044281,0,5.552639,0.006204728,0.7059165,2.828637,0.2065639,0.044022,0,0,0.05148,0,0.002945,0.32736,0.05688995,0,0,0,0.28944,1.354968,0,22.55612
benthic_elasmobranchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151
butter_fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001009338,0,0,0,0,0,0,0.05019066
conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011484,0,0,0.0002496,0,0,0,0,0,0,0,0,0,0,0.0215164
medium_demersal_fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02432,0,0.00468,0,0.03078,0.0528,0.005505479,0,0,0,0,0.0198288,0,0.3530858
medium_sciaenids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608652,0,0,0.00364,0,0,0,0.09175799,0,0,0,0,0.0132192,0,0.4058235
sea_robin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200028,1.12263,0.0608652,0,0,0,0,0.022135,0,0,0,0,0,0,0,0,2.959542
catfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0.394668,0,0,0,0,0.747992
chondrichtlyans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023618
seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80668
pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866448
cetaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2542
Detritus,8390.434,0,0,0.009787519,165.832,0,0,0,0,0,0,1.38816,0,0,0,0,0,0,0,0,0.023552,0.00323,0,0.03853836,0,0.010386,0,0,0,0,0
