Group,ID
Diatoms,1
Dino_and_silicoflagellates,2
Microzooplankton,3
mesozooplankton,4
macrozooplankton,5
gelatinous_zooplankton,6
macrobenthos,7
sardine,8
anchovy,9
mesopelagics,10
jumbo_squid,11
other_cephalopods,12
other_small_pelagics,13
horse_mackerels,14
mackerels,15
other_large_pelagics,16
small_hake,17
medium_hake,18
large_hake,19
flatfishes,20
small_demersals,21
benthic_elasmobranchs,22
butter_fishes,23
conger,24
medium_demersal_fish,25
medium_sciaenids,26
sea_robin,27
catfish,28
chondrichtlyans,29
seabirds,30
pinnipeds,31
cetaceans,32
Detritus,33
