Prey \ predator,Toothed Whales,Baleen Whales,Seals,Seabirds,Basking Sharks,Bass,Adult Cod 2+,Juvenile Cod Age 1,Adult Haddock 2+,Juvenile Haddock Age 1,Adult Plaice 2+,Juvenile Plaice Age 1,Whiting,Sole,Seatrout,Sandeels,Small Flatfish,Medium Flatfish,Large Flatfish,Dragonets,Other Large Demersals,Gurnards,Mackerel,Monkfish,Mullet,Other Large Gadoids,Other Small Demersal,Other Small Gadoids,Small Pelagic Planktivorous Fish,Small Sharks,Large Sharks,Skates and Rays,Epifaunal Macrobenthos,Epifaunal Mesobenthos,Infauna (Polycheate),Infaunal Macrobenthos,Infaunal Mesobenthos,Lobster and Large Crabs,Nephrops,Cephalopods,Prawns and Shrimp,Sessile Epifauna,Meiofauna,Gelatinous Zooplankton,Carnivorous Zooplankton,Omnivorous Zooplankton,Herbivorous Zooplankton,Seaweed,Microflora,Phytoplankton,Particulate Organic Matter,Dissolved Organic Matter,Discards
Toothed Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01E-05,7.01E-05,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003429,0.0003429,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016335,0.016335,0
Seabirds,0,0,0,0.04228359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4287281,0.4287281,0
Basking Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056695,0.00056695,0
Bass,1.17E-05,6.79E-06,0,0,0,0,0.0026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831908,0.001915954,0.001915954
Adult Cod 2+,1.17E-05,6.79E-06,0,0.04228359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013284,0.00333462,0,0,0,0,0.05,0,0.018915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1205488,0.06027441,0.06027441
Juvenile Cod Age 1,1.17E-05,6.79E-06,0,0.1310791,0,0,0,0.01520732,0,0,0,0,0.0301158,0,0,0,0,0,0.03334621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03758232,0,0,0,0,0,0,0,0,0,0,0.2187032,0.1093516,0.1093516
Adult Haddock 2+,1.17E-05,6.79E-06,0,0.0211418,0,0,0.014994,0,0,0,0,0,0,0,0,0,0,0.0013284,0.00333462,0,0,0,0,0.0025,0,0.0018915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03451963,0.01725982,0.01725982
Juvenile Haddock Age 1,1.17E-05,6.79E-06,0,0.04646543,0,0,0.005355,0,0,0.0184098,0,0,0.0301158,0,0,0,0,0,0.03334621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03758232,0,0,0,0,0,0,0,0,0,0,0.3460887,0.1730443,0.1730443
Adult Plaice 2+,1.17E-05,6.79E-06,0,0.0211418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08307889,0.04153945,0.04153945
Juvenile Plaice Age 1,1.17E-05,6.79E-06,0,0,0,0,0,0,0,0,0,0.008493012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03758232,0,0,0,0,0,0,0,0,0,0,0.1416524,0.07082622,0.07082622
Whiting,1.17E-05,6.79E-06,0,0.1013791,0,0,0.0315945,0,0,0,0,0,0.0150579,0,0,0,0,0.0013284,0,0,0,0.0254856,0,0.005,0,0.000363168,0,0,0,0,0,0.013184,0,0,0,0,0,0,0,0.003758232,0,0,0,0,0,0,0,0,0,0,0.2078648,0.1039324,0.1039324
Sole,1.17E-05,6.79E-06,0,0.02959851,0,0,0,0,0,0,0,0,0.0150579,0,0,0,0,0,0,0,0,0,0,0.02,0,0.0147537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430972,0.0215486,0.0215486
Seatrout,1.17E-05,6.79E-06,0,0.01268508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008468219,0.00423411,0.00423411
Sandeels,6.88E-05,0.000508982,0.04005255,0.6251713,0,0.01132032,0.012852,0.06082929,0.0098,0,0.01452,0,0.1656369,0,0.0148653,0,0,0.013284,0.09336937,0,0,0,0,0.005,0,0.0170235,0,0,0,0,0.04903319,0.006592,0,0,0,0,0,0,0,0.003758232,0,0,0,0,0,0,0,0,0,0,1.074736,0.5373682,0.5373682
Small Flatfish,1.17E-05,6.79E-06,0,0.01268508,0,0,0.005355,0,0,0,0,0,0.0752895,0,0,0,0,0.0013284,0,0,0,0,0,0.048,0,0.000363168,0,0.01074222,0,0,0.03439641,0.001648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1565049,0.07825243,0.07825243
Medium Flatfish,1.17E-05,6.79E-06,0,0.04228359,0,0,0.005355,0,0,0,0,0,0.0451737,0,0,0,0,0.0013284,0,0,0,0,0,0.0485,0,0.011349,0,0.01611333,0,0,0,0.004944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07814325,0.03907163,0.03907163
Large Flatfish,1.17E-05,6.79E-06,0,0.08456718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03625017,0.01812509,0.01812509
Dragonets,1.17E-05,6.79E-06,0,0.05111198,0,0,0.01071,0,0.00168,0,0.00726,0,0.009034741,0,0,0,0,0.06642,0,0,0,0.04587408,0,0.048,0,0.000363168,0,0.08056665,0,0,0,0.029664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11897,0.05948502,0.05948502
Other Large Demersals,1.17E-05,6.79E-06,0,0.1099373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1219059,0.06095295,0.06095295
Gurnards,1.17E-05,6.79E-06,0,0.270615,0,0,0.002142,0,0,0,0,0,0.0752895,0,5.97E-05,0,0,0.06907681,0,0,0,0,0,0,0,0,0,0,0,0,0.01463677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5227084,0.2613542,0.2613542
Mackerel,6.88E-05,6.79E-06,0.04005255,0.164906,0,0,0.038556,0,0.00084,0,0,0,0.03613896,0,0,0,0,0.003321,0,0,0,0,0.001403947,0.062,0,0.0461526,0,0,0,0,0,0.009888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2210987,0.1105493,0.1105493
Monkfish,1.17E-05,6.79E-06,0,0.00422836,0,0,0,0,0,0,0,0,0.0752895,0,0,0,0,0.06642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05476533,0.02738266,0.02738266
Mullet,1.17E-05,6.79E-06,0,0.04228359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02881746,0.01440873,0.01440873
Other Large Gadoids,1.17E-05,6.79E-06,0,0.04228359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006642,0,0,0,0,0,0.005,0,0.005296201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003758232,0,0,0,0,0,0,0,0,0,0,0.03804815,0.01902408,0.01902408
Other Small Demersal,1.17E-05,6.79E-06,0,0.01691344,0,0,0.002142,0,0,0,0.00726,0,0.009034741,0,0,0,0.058357,0.03321,0.000333462,0,0,0.05351976,0,0.019,0,0.0083226,0,0.1235355,0.2373779,0,0.01244126,0.093936,0,0,0,0,0,0,0.01192333,0.003758232,0,0,0,0,0,0,0,0,0,0,0.3493676,0.1746838,0.1746838
Other Small Gadoids,1.17E-05,6.79E-06,0,0.2367881,0,0,0.038556,0,0,0,0,0,0.1776832,0,0,0,0,0.043173,0.05902278,0,0,0.0254856,0.00197739,0.067,0,0.0506922,0,0.04296888,0,0,0.06366996,0.011536,0,0,0,0,0,0,0.003406667,0.003758232,0,0,0,0,0,0,0,0,0,0,0.9261268,0.4630634,0.4630634
