Prey \ predator,Marine_Mammals,Sharks_coastal,Sharks_offshore,Sharks_demersal,Guitarfishes_n_Rays,Large_pelagics_offshore,Large_Pelagics_inshore,Large_Bentho_Pelagics_shelf,Large_benthopelagic_deep,Medium_Bentho_Pelagics_shelf,Medium_benthopelagic_deep,Small_Bentho_Pelagics_shelf,Small_benthopelagic_deep,Mesopelagics,Tunas_coastal,Tunas_offshore,Ribbonfishes,Large_Benthic_Carnivores_shelf,Large_Benthic_Carnivores_deep,Medium_Benthic_Carnivores_shelf,Medium_Benthic_Carnivores_deep,Small_Benthic_Carnivores_shelf,Small_Benthic_Carnivores_deep,Benthic_omnivores_shelf,Threadfin_breams,Indian_Mackerel,Oil_Sardine,Other_Clupeids_inshore,Anchovies,Crabs_n_Lobsters,Deep_Sea_Shrimps,Coastal_Shrimps,Squids,Cuttlefishes,Octopus,Commercial_molluscs,Benthic_detritivore,Macrozobenthos_(Benthic_carnivore),Benthic_grazers,Shelf_filter_feeders,Deep_filter_feeders,Gelatinous_zooplankton,Large_Zooplankton,Micro_Zooplankton,Phytoplankton,Macroalgae,Detritus
Marine_Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05035
Sharks_coastal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200237
Sharks_offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01650877
Sharks_demersal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02449894
Guitarfishes_n_Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08942005
Large_pelagics_offshore,0,0,0,0,0,0,0.02765004,0,0,0.0329745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529272
Large_Pelagics_inshore,0,0.004208399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1056815
Large_Bentho_Pelagics_shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219808
Large_benthopelagic_deep,0,0,0,0,0,0.001437952,0,0,0,0,0,0,0,0,0,0.1697156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1432337
Medium_Bentho_Pelagics_shelf,0,0.004604474,0.01006367,0,0,0.01918981,0.09599261,0,0,0.1383829,0,0,0,0,0,0,0.3035673,0.008245115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.356657
Medium_benthopelagic_deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3394311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4748805
Small_Bentho_Pelagics_shelf,0,0.02809515,0,0.000396099,0,0,0.05738688,0.008148374,0,0.7473665,0.02056504,0,0,0,0.05454657,0.02206302,0.08409939,0,0,0.01948021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294528,0.09375001,0,0,0,0,0,0,0,0,0,0,0,1.829854
Small_benthopelagic_deep,0,0,0.01003643,0.009207567,0.002347273,0.1081025,0,0,0,0,0.5826761,0,1.1375,0,0.5984001,0,0,0,0,0,0.5439393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.554664
Mesopelagics,0,0,0,0,0,0,0,0,0,0.01352501,0.4798509,0,0,0.1044207,0.1496,0,0,0,0.03136243,0,0.1087879,0,0,0,0,0,0,0,0,0,0,0,0.2648336,0,0,0,0,0,0,0,0,0,0,0,0,0,2.448027
Tunas_coastal,0,0,0,0,0,0,0.000521699,0,0,0.02363835,0,0,0,0,0,0,0,0,0,0.01856597,0,0.04241501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7101825
Tunas_offshore,0,0,0.02170702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3685048
Ribbonfishes,0,0,0,0,0.000338294,0,0.03078024,0,0,0.05015884,0,0,0,0,0,0,0.08742356,0.08876935,0,0.04836991,0,0.01330112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3537845
Large_Benthic_Carnivores_shelf,0.02737425,0,0,0,0.001552565,0.002201787,0.048518,0.0132276,0,0.05410004,0,0,0,0,0.03006858,0,0.0607108,0.08218712,0,0.05487731,0,0,0,0,0.01417347,0,0,0,0,0,0,0,0.03972504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892419
Large_Benthic_Carnivores_deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003359435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02648336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06498537
Medium_Benthic_Carnivores_shelf,0,0.001953056,0,0,0,0.001266767,0.02243306,0,0,0.04278501,0,0,0,0,0,0,0,0.1109617,0.00398807,0.1883087,0,0,0,0,0.009096405,0,0,0,0,0,0,0,0.02648336,0.294528,0,0,0,0,0,0,0,0,0,0,0,0,1.541736
Medium_Benthic_Carnivores_deep,0,0,0.005964664,0.04357093,0,0,0.01356417,0,0,0,0,0,0,0,0,0,0,0,0,0.01948021,0.1087879,0,0,0,0,0,0,0.715135,0,0,0,0,0.582634,0.49088,0,0,0,0,0,0,0,0,0,0,0,0,2.280043
Small_Benthic_Carnivores_shelf,0,0,0.001246043,0,0.02129428,0.01212386,0.00469529,0,0,0.3994444,0,0,0,0,0.001755631,0,0,0.4882315,0.07623853,0.4271834,0,0.01367794,0,0,0.5967776,0,0,0.09906208,0,0.01940217,0,0,0.02648336,0.589056,0.08437501,0,0,0,0,0,0,0,0,0,0,0,3.426435
Small_Benthic_Carnivores_deep,0,0,0,0,0,0,0,0,0,0,0.1256752,0,0.91,0,0,0,0,0,0,0.1298681,1.196666,0,0,0,0,0,0,0,0,0.000388044,0,0,0.02648336,1.47264,0.009375,0,0,0,0,0,0,0,0,0,0,0,4.155269
Benthic_omnivores_shelf,0,0.003916778,0,0.003960994,0.01143146,0,0,0,0,0,0,0,0,0,0,0,0,0.2441157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557023
Threadfin_breams,0.028101,0,0,0,0.07439775,0.02193324,0.0506048,0,0,0.2718006,0.03427507,0,0,0,0,0,0,0.1441189,0.0300203,0.1948021,0,0,0,0,0.04274419,0,0,0,0,0,0,0,0.02648336,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492021
Indian_Mackerel,0.02395852,0,0,0,0,0.01599884,0.01356417,0.000821322,0,0.3651752,0,0,0,0,0,0.3394311,0,0.000333369,0,0.05844064,0,0,0,0,0,0,0,0,0,0,0,0,0.6885675,0,0,0,0,0,0,0,0,0,0,0,0,0,4.100656
Oil_Sardine,0.0847875,0,0,0,0,0.02156928,0.003651893,0.003220445,0,0.4076298,0,0,0,0,0.4719683,0.1697156,0.06087667,0.06231444,0,0.1899239,0,0,0,0,0,0,0,0,0,0,0,0,5.932273,0.49088,0,0,0,0,0,0,0,0,0,0,0,0,21.68582
Other_Clupeids_inshore,0.003626482,0,0.002614647,0,0,0.00339919,0.01408587,0,0,0.1961126,0,0,0,0,0.01823155,0,0.01917267,0,0,0.006643194,0,0,0,0,0,0,0,0,0,0,0,0,1.456585,0.1276288,0,0,0,0,0,0,0,0,0,0,0,0,3.107571
Anchovies,0.002882775,0.007555698,0,0.007736804,0.002858723,0.2002135,0.02086796,0.06635413,0,1.393076,0,0.5173268,0,0,0.6082528,0,0.6074398,0.7346984,0,0.2447705,0,1.163848,0,0,0.1491944,0,0,1.5525,0,0,0,0,0.7945008,0.98176,0,0,0,0,0,0,0,0,0,0,0,0,13.76603
Crabs_n_Lobsters,0.008503096,0.001490191,0,0,0.00402374,0.001799571,0.003651893,0,0,0.03381252,0,0,0,0,0.005614347,0,0,0.02219234,0,0.01788442,0,0.01353547,0,0,0,0,0,0,0,0.001940217,0,0,0,0.0196352,0.0421875,0,0,0,0,0,0,0,0,0,0,0,0.07821993
Deep_Sea_Shrimps,0.02909422,0,0,0,0.04934511,0.002223422,0.000521699,0.00089697,0,0,0.04570009,0,0,0,0.07452507,0,0,0.03307788,0.01531143,0.272723,0.2175757,0,0.01975739,0,0,0,0,0.326025,0,0.02367065,0,0,0.1324168,0,0.09375001,0,0,0,0,0,0,0,0,0,0,0,0.8623468
Coastal_Shrimps,0.02400455,0.000912888,0,0,0.05738302,0.000838333,0.000521699,0.009672143,0,0.8753088,0,0.848625,0,0,0.975392,0,0.2237674,0.3237419,0.057845,0.6493405,0.1087879,0.9144517,0.009878697,0,0.745972,0,0,0.9583906,0,0.0776087,0,0,1.059335,0.687232,0.09375001,0,0,0,0,0,0,0,0,0,0,0,5.094648
Squids,0.009721492,0,0.008218436,0.01434311,0,0.03372923,0.01095568,0.000432275,0.06987008,0.2263278,0.1142502,0.13578,0.2275,0.1044207,0.000270097,0.1697156,0.07364918,0.5770008,0.006272485,0.3246702,0.8703029,0,0,0,0.4923415,0,0,0.2369927,0.516829,0,0,0.2606251,1.271201,0.441792,0,0,0,0,0,0,0,0,0,0,0,0,5.663007
Cuttlefishes,0,0.001366238,0,0,0,0,0.001043398,0,0.06987008,0.001315206,0,0,0,0,0,0.1018293,0,0.1994304,0.006272485,0.3246702,0.1196666,0,0,0,0.07459719,0,0,0,0,0,0,0,0,0.98176,0,0,0,0,0,0,0,0,0,0,0,0,1.968443
Octopus,0,0.01462803,0.002669119,0,0,0.004022842,0,0,0,0.05381222,0,0,0,0,0,0,0,0,0.05952885,0.01298681,0.06527272,0,0,0,0.00745972,0,0,0,0,0,0,0,0,0.0196352,0,0,0,0,0,0,0,0,0,0,0,0,0.1878816
Commercial_molluscs,0,0.008381905,0,0,0,0,0,0,0,0,0.002285005,0,0,0,0.002700971,0,0,0.005513167,0,0.09253881,0.01087879,0.05284268,0,0,0.1491944,0,0,0.0647449,0,0,0,0,0,0,0,0.3575,0,0.187225,0,0,0,0,0,0,0,0,0.5538663
Benthic_detritivore,0,0,0,0,0,0,0.03495383,0,0.006987008,0.4869003,0.04570009,1.272938,1.1375,0,0,0.1697156,0.04793167,0,0,0.272723,2.034333,1.496376,5.927218,0.1939522,0.6042373,0,0,0,5.3456,0.03880435,0.449625,16.96848,1.509552,1.18793,0.0478125,0,14.43894,93.6125,0,0,0,0,0,0,0,0,104.0139
Macrozobenthos_(Benthic_carnivore),0,0.00115414,0,0,0.003656993,0.009205786,0.06573407,0.000732273,0.04541555,0.4733753,0.7083514,4.438309,2.275,0,0,0.2121445,0,0.4249831,0.02342525,0.1868806,2.349818,1.828903,7.902957,0,2.461708,0,0,0.46575,9.642255,0.03880435,0,2.388816,3.23097,0.2552576,0.0478125,0,0,6.552875,0,0,0,0,0,0,0,0,37.88501
Benthic_grazers,0,0,0,0,0,0,0,0,0.01746752,0.4530878,0,0.4243125,0,0,0,0,0,0.6213855,0,0.7142745,0.5765756,0.7980669,0,0,1.417347,0,0,0,0,0.01470685,0.21255,0,0,0.009817599,0.0384375,0,0,0,0,0,0,0,0,0,0,0,4.098622
Shelf_filter_feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2663081,0,0.2986966,0.7941514,0.8645725,0,0,0.1491944,0,0,0,0,0.05820652,0,0,0,0.24544,0.0103125,0,0,0.187225,0,0,0,0,0,0,0,0,7.125893
Deep_filter_feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01940217,0.204375,0,0,0.24544,0,0,0,0.187225,0,0,0,0,0,0,0,0,6.543558
Gelatinous_zooplankton,0,0,0,0,0,0,0,0,0.1397402,0,0.1256752,0,4.55,1.096417,0,0,0,0,0,0,0,0,0,0,0.2312513,0,0,0.139725,3.4952,0,0,0,1.906802,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28144
Large_Zooplankton,0,0.000100123,6.81E-06,0,0,0,0,6.48E-05,0.3493504,0.000372644,0,0.848625,12.5125,8.458076,0,0.003394312,0,0,0,0.1027771,1.773242,0.6650558,5.897582,1.551617,0,3.825065,0,2.437425,28.03013,0.01746196,1.703125,0.493612,5.482056,0.98176,0.3759375,0.22,38.50385,45.87013,0,0,0,12.98312,0,0,0,0,57.69552
Micro_Zooplankton,0.000121004,0,0.000238314,0,0,0,0,0,0,0.00254872,0,0,0,0.5743138,0,0,0,0,0,0.9395223,0,2.981277,0,1.939522,0,4.020701,22.07254,5.396736,19.532,0,1.013653,0.3949652,2.012735,0,0,0.165,62.56875,29.956,0,0,0,12.98312,606.7017,0,0,0,171.7446
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1044207,0,0,0,0,0,0.0123836,0,0.4607568,0,0,0,10.46643,86.33876,1.921132,1.409342,0,0,0.1017703,0,0,0,0.33,0,1.310575,2.291866,24,19.2,25.96625,230.1282,3500,0,0,190.958
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.879043,0,0,0,0,0,0,0,0,0,0,0,0,4.812981,0,11.84131,0,0,0,0,0,0,0,1.080702
Detritus,0,0,0.000238153,0,0,0.002173328,0,0.001258438,0,0.01616238,0,0,0,0,0,0,0.028759,0,0,0.6688207,0,5.320446,0,0.1939522,0.3133082,2.187855,0,1.208045,0.5706316,0.0776087,0.5027155,4.834956,0,0,0,1.6775,360.9736,9.361251,4.96571,6,4.8,0,209.2075,0,0,0,0
