Prey_\_predator,Marine_birds,Dolphins_and_porpoise,Baleen_whales,Seals,Black_seabass,Goosefish,Tilefish,Scup,Spot,Butterfishes,Atlantic_salmon,Striped_bass,Weakfish,Spiny_dogfish,Ocean_pout,Billfishes,Jacks,Coastal_sharks,Tunas,Rays_and_skates,Bluefish,Cods_and_hakes,Redfish,Benthic_piscivores,Flounders,Demersal_piscivores,Demersal_invertebrate_eaters,Demersal_planktivores,Benthic_invertebrate_eaters,Med._pel._pisc_(Mackerel),Atlantic_menhaden,Drum_croaker,Snapper_grouper,Forage_fish,Large_pelagic_planktivores,Stomatopods,Squid,Shrimp,Crabs,Lobsters,Octopods,Echonoderms,Bivalves,Sessile_epibenthos,Euphausiids,Mysids,Polychaetes,Small_crustaceans,Macrozooplankton,Microzooplankton,Jellies,Detritus
Marine_birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536081
Dolphins_and_porpoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43285
Baleen_whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43485
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013005
Black_seabass,0,0,0,0,0,0.0156437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007202628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04562463
Goosefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007202628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3391645
Tilefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298314
Scup,0,0,0,0,0,0.0156437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01543629
Spot,0.01493187,0.021249,0.021255,1.86E-05,0.000790642,0.01407553,0.001435,0.00050944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1697058
Butterfishes,0,0,0,0,0,0,0,0,0,0,0,0,0.005883144,0,0,0,0,0,0,0,0.04190699,0.002837402,0,0.007202628,0.02057463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1569749
Atlantic_salmon,0,0.0021249,0,4.65E-06,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0,0.00043472,0.00027612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006571365
Striped_bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06319429
Weakfish,0,0,0,0,0,0.0156437,0,0,0,0,0,0.006215999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03274557
Spiny_dogfish,0,0,0,0,0,0.007819627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007202628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5645865
Ocean_pout,0,0,0,0,0,0.0156437,0,0,0,0,0,0.006215999,0,0.05950875,0,0,0,0,0,0.01420688,0.01862533,0,0,0.02483151,0,0,0,0,1.844116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607661
Billfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000293644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01529281
