Group,ID
Marine_birds,1
Dolphins_and_porpoise,2
Baleen_whales,3
Seals,4
Black_seabass,5
Goosefish,6
Tilefish,7
Scup,8
Spot,9
Butterfishes,10
Atlantic_salmon,11
Striped_bass,12
Weakfish,13
Spiny_dogfish,14
Ocean_pout,15
Billfishes,16
Jacks,17
Coastal_sharks,18
Tunas,19
Rays_and_skates,20
Bluefish,21
Cods_and_hakes,22
Redfish,23
Benthic_piscivores,24
Flounders,25
Demersal_piscivores,26
Demersal_invertebrate_eaters,27
Demersal_planktivores,28
Benthic_invertebrate_eaters,29
Med._pel._pisc_(Mackerel),30
Atlantic_menhaden,31
Drum_croaker,32
Snapper_grouper,33
Forage_fish,34
Large_pelagic_planktivores,35
Stomatopods,36
Squid,37
Shrimp,38
Crabs,39
Lobsters,40
Octopods,41
Echonoderms,42
Bivalves,43
Sessile_epibenthos,44
Euphausiids,45
Mysids,46
Polychaetes,47
Small_crustaceans,48
Macrozooplankton,49
Microzooplankton,50
Jellies,51
Phytoplankton,52
Macrophytes,53
Microphytobenthos,54
Detritus,55
