Group,ID
Coastal sharks,1
Rays,2
SmTunas,3
ShLethrinids,4
RedEmperor,5
ShLutjanids,6
ShNemipterirds,7
DpNemipterids,8
ShSerranids,9
FryPBream,10
JuvCarangids,11
AdCarangids,12
SmallPelagics,13
ShLizard,14
DpLizard,15
ShMullidae,16
DpMullidae,17
ShTriggerFish,18
ShSweetlip,19
DpPonyfish,20
ShSmFish,21
DpSmFish,22
ShMedFish,23
DpMedFish,24
ShLgFish,25
DpLgFish,26
SessEpibenthos,27
Megabenthos,28
Macrofauna,29
ComPrawns,30
Squid,31
LgZooplankton,32
SmZooplankton,33
PelPhytoplankton,34
BenPhytoplankton,35
Microphytobenthos,36
Detritus,37
