Prey \ predator,Phytoplankton,Zooplankton,Euphausiids,Small_fish,Anchovy,Sardine,Horse_mackerel,Jack_mackerel,Hake,Sea_lions,Marine_birds,Jumbo_squid,Demersal_crustaceans,Sword_fish,Sharks,Detritus,Import
Phytoplankton,0,19457.72,1602.245,371.1028,91.02241,0.7426862,0,0,0,0,0,0,0,0,0,14717.17,0
Zooplankton,0,8647.878,1958.299,61.85046,15.1704,7.946743,139.0778,28.24643,0,0,0,0,0,0,0,8757.56,0
Euphausiids,0,0,0,86.59065,21.23856,6.164296,57.39717,1271.089,2.759327,0,0,0,0,0,0,726.7072,0
Small_fish,0,0,0,0,0,0,6.181235,112.9857,0,0,0,0,0,0,0.004102955,129.9731,0
Anchovy,0,0,0,9.27757,2.27556,0,18.10219,0,7.549101,0.446967,0.88686,12.64371,0,0,0,33.36386,0
Sardine,0,0,0,0,0,0,0,0,0.7549102,0.04325487,0.09854,0.9067714,0,0,0,3.395327,0
Horse_mackerel,0,0,0,0,0,0,0,0,0.4425336,0.1730195,0,0.5427857,0,0,0.005408441,51.77738,0
Jack_mackerel,0,0,0,0,0,0,0,0,0.4425336,0.1730195,0,0.5427857,0,0,0,296.1739,0
Hake,0,0,0,0,0,0,0,0,4.425335,0.5190585,0.3146,6.385714,0,0.1584628,0,14.23008,0
Sea_lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6127774,0
Marine_birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2925,0
Jumbo_squid,0,0,0,0,0,0,0,0,0,0,0,9.578571,0,0,0.005688188,23.16361,0
Demersal_crustaceans,0,0,0,0,0,0,0,0,11.97444,0.2306927,0,4.342286,0,0.08099211,0.00186498,13.22262,0
Sword_fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466245,0.07218862,0
Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003869852,0
Detritus,0,15133.79,0,0,0,0,0,0,0,0,0,0,62.67084,0,0,0,0
Import,0,0,0,89.68317,21.99708,0,0,0,23.71459,1.297646,0,28.91451,0,0.1126847,0.001118988,0,0
