Prey_\_predator,Baleen_whales,Toothed_whales,Beaked_whales,Seabirds,Pelagic_sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg_Plank_fish,Lg_Epi_fish,Md_Epi_fish,Sm_Epi_fish,Lg_Meso_fish,Sm_Meso_fish,Sm_Bathyp_fish,Md_Bathyp.fish,Lg_Bathyp_fish,Sm_Bathyd_slp,Lg_Bathyd_slp,Sm_Bathyd_abs,Lg_Bathyd_abs,Sm_Squids,Lg_Squids,Benth_ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het_bacteria,Sm_Zoop_shlw,Lg_Zoop_shlw,Sm_Zoop_deep,Lg_Zoop_deep,Detritus
Baleen_whales,0,0.000338722,0,0,3.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02177094
Toothed_whales,0,0.000338722,0,0,0.000333087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06877146
Beaked_whales,0,3.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000951432
Seabirds,0,3.42E-06,0,0,6.64E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002983999
Pelagic_sharks,0,0,0,0,0.000598144,0,0,0,0,0,0,2.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01354503
Yellowfin,0,0,0,0,6.65E-07,0,0,0,0,0,0,0,0,6.16E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08E-05
Bluefin,0,0,0,0,0.00019929,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001646934
Skipjack,0,0,0,0,0.00026572,3.77E-05,0,0,5.17E-08,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001915569
Albacore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94E-07
Bigeye,0,0,0,0,0.001618029,0,0,0,0,0,0,0,0,0.000212154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101418
Swordfish,0,0,0,0,6.64E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85E-05
Billfishes,0,0,0,0,6.64E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71E-05
Lg_Plank_fish,0,0,0,0,6.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002990697
Lg_Epi_fish,0,0,0,0,0.006586879,0,0,0,0,0,0,7.63E-05,0,0.001231439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02557795
Md_Epi_fish,0,0,0,0,0.0044203,3.77E-05,0.000631976,0,1.72E-07,0.06935299,5.16E-05,8.20E-05,0,0.01931882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1855118
Sm_Epi_fish,0.01543431,0.01093652,1.84E-05,0.002885589,0.009086978,0,0.005007542,0,2.41E-07,0.02311767,0,1.33E-05,0.000889096,0.05482103,0.2124011,0,0,0,0,0,0,0,0,0,0,0.7644759,0.4888376,0,0,0,0,0,0,0,0,0,2.333031
Lg_Meso_fish,0,0,0,0,0,0,0,0,8.61E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63E-07
Sm_Meso_fish,0.004345727,0.01355426,0.000314687,0,0,7.54E-05,0.000676532,0.005515774,3.45E-07,0.1384426,0,0,0.000889096,0,0.01591009,0,1.23E-06,0.0314698,0,0.001008456,0,0.002623617,0.001180552,0,0,1.606721,0.5868168,0,0,0,0,0,0,0,0,0,7.298655
Sm_Bathyp_fish,0,0,0,0,0,0,0,0,0,0.05281892,0,0,0,0,0,0,6.36E-08,0,0.002295416,0.001857062,0.001892092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05244894
Md_Bathyp_fish,0,0,0,0,0,0,0,0,0,0.01000064,0,0,0,0,0,0,6.36E-08,0,0,0,0.001892092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005355238
Lg_Bathyp_fish,0,0,0,0,0.00496825,0,0,0,0,0,0,0,0,0,0,0,6.36E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002896074
Sm_Bathyd_slp,0,0,0.000124988,0,0,0,0.000383016,0,0,0.000548601,2.49E-05,0,0,0,0,0,0,0,0,1.01E-05,5.68E-06,0.002286458,0.003782694,0,0,0,0,0.002021819,0,0,0,0,0,0,0,0,0.01298608
Lg_Bathyd_slp,0,0.000171051,0.000124988,0,0.000332151,0,0,0,0,1.65E-05,5.83E-05,2.71E-06,0,0,0,0,0,0,0,0,0,0,0.000120252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062728
Sm_Bathyd_abs,0,0.0183837,0.000124988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002021819,0,0,0,0,0,0,0,0,0.04202438
Lg_Bathyd_abs,0,0.0183837,0.000124988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03557911
Sm_Squids,0.002910596,0.087177,0.001624171,0.003925852,0.03460809,3.35E-05,0.000742787,0.001421134,6.03E-07,0.0686892,0.000101733,6.03E-05,0.000986531,0.01291973,0.05608356,0,4.65E-07,0,0.002295416,4.33E-05,0.000113526,0.000549794,0.001314235,0,0,0.1071147,0.832067,0,0,0,0,0,0,0,0,0,2.27729
Lg_Squids,0,0.1845019,0.00164302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1466512,0,0,0,0,0,0,0,0,0,0.6237917
Benth_ceph,0,0.004154777,0.000310196,0,0,0,0,0,0,0.004609308,0,0,0,0,0,0,0,0,0,0,0,8.66E-07,2.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005054548
