Group,ID
Baleen_whales,1
Toothed_whales,2
Beaked_whales,3
Seabirds,4
Pelagic_sharks,5
Yellowfin,6
Bluefin,7
Skipjack,8
Albacore,9
Bigeye,10
Swordfish,11
Billfishes,12
Lg_Plank_fish,13
Lg_Epi_fish,14
Md_Epi_fish,15
Sm_Epi_fish,16
Lg_Meso_fish,17
Sm_Meso_fish,18
Sm_Bathyp_fish,19
Md_Bathyp_fish,20
Lg_Bathyp_fish,21
Sm_Bathyd_slp,22
Lg_Bathyd_slp,23
Sm_Bathyd_abs,24
Lg_Bathyd_abs,25
Sm_Squids,26
Lg_Squids,27
Benth_ceph,28
Meiobenthos,29
Macrobenthos,30
Megabenthos,31
Het_bacteria,32
Sm_Zoop_shlw,33
Lg_Zoop_shlw,34
Sm_Zoop_deep,35
Lg_Zoop_deep,36
Phytoplankton,37
Detritus,38
