Prey \ predator,Toothed whale,Baleen whale,Seal,Seabirds,Penguins,Tuna/billfish,Pelagic sharks,Demersal sharks,Rays,Warehous,Redbait,Redfish,Ling,Dories,Jack mackerel,Jackass morwong,Flathead,Gemfish,ShOceanPerch,Chinaman leatherjacket,Cucumberfish,Whiting,Cardinal,ShSmInvertFeeder,ShSmPredator,ShMedInvertFeeder,ShMedPredator,ShLInvertFeeder,ShLPredator,Blue-eye trevalla,Blue grenadier,SlopeOceanPerch,Deepsea Cod,Oreos,SlopeSmInvertFeeder,SlopeSmPredator,SlopeMInverFeeder,SlopeMPredator,SlopeLInvertFeeder,SlopeLPredator,PelSmInvertFeeder,PelMInvertFeeder,PelMPredator,PelLInvertFeeder,PelLPredator,Mesopelagics,Squid,PelagicPrawns,Macrobenthos,Megabenthos,Polychaeta,Gelatinous nekton,L zooplankton,Sm zooplankton,Primary producers,Detritus
Toothed whale,0.000164722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847382
Baleen whale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339
Seal,0.000410446,0,0,0,0,0,0.000118097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07975794
Seabirds,0.00082361,0,0,0,0,0,4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01253357
Penguins,0.00082361,0,0,0,0,0,4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004033571
Tuna/billfish,0.000410446,0,0,0,0,0,0.000118097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02745018
Pelagic sharks,0.000164178,0,0,0,0,0,0.000210542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001017212
Demersal sharks,0,0,0,0,0,0,0.000631625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01264942,0,0.1022315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5033077
Rays,0,0,0,0,0,0,0.000631625,0.01330784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01264942,0,0.1022315,0,0,0,0,0,0,0,0,0,0,0.0016848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.115517
Warehous,0,0,0.07975139,0,0.008,0,4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204463,0,0,0,0,0,0,0,0,0,0,0.0016848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4612364
Redbait,0,0.000672,0.3899415,0.0048,0,0.06966288,0,0.01764404,0,0,0,0,0,0.1048785,0,0,0,0,0,0,0,0,0,0,0,0,0.06324709,0,0.02075955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04530501,0,0,0,0,0,0,0,0,0,0,0,0,0.6041702
Redfish,0,0,0.02973269,0,0,0,4.21E-05,0.04982563,0,0,0,0,0,0.04209364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002455796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8308411
Ling,0,0,0.01932625,0.0024,0,0,0,0.002205505,0,0,0,0,0,0,0,0,0.01828139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212894
Dories,0,0,0.016113,0,0,0,4.21E-05,0.002202404,0,0,0,0,0,0,0,0,0.01305814,0,0,0,0,0,0,0,0,0,0.03794825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2323368
Jack mackerel,0.01317775,0,0.4903116,0,0,0.1001404,0.000210542,0.4496006,0,0,0,0,0,0.2676386,0,0,0.006963244,0,0,0,0,0,0,0,0,0,0.07559498,0,0.6542815,0,0,0.0179628,0,0,0,0,0,0,0,0.04212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638602
Jackass morwong,0,0,0.0080565,0,0,0,0,0.002205505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02509326,0,0.0204463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4053611
Flathead,0,0,0.06437334,0,0,0,0,0.001106298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01264942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2657273
Gemfish,0,0,0.0231279,0,0,0,3.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006938353,0.01766342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05808304
ShOceanPerch,0,0,0.00797514,0,0,0,0,0.002205505,0,0,0,0,0,0,0,0,0.002611627,0,0,0,0,0,0,0,0,0,0,0,0.004151911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104379
Chinaman leatherjacket,0,0,0,0,0,0,0,0.0002195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004044494
Cucumberfish,0,0,0,0,0,0,0,0.01479729,0,0,0,0.03593099,0.08399994,0.1657639,0,0,0.1676389,0,0.03751207,0,0,0,0,0,0.2606237,0.2083806,0.05059767,0,0.08303821,0,0,0.00269442,0,0,0,0,0,0.04235233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.473218
Whiting,0,0,0.01635298,0,0,0,0,0.005746505,0.08399621,0,0,0,0,0.0060388,0,0,0.07834882,0,0,0,0,0,0,0,0.2342486,0,0.002933065,0,0.171025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.091482
Cardinal,0,0,0.002973269,0,0,0,0,0.08061595,0,0.03879715,0,0.9217494,0.202611,0.1751136,0.115606,0.1873401,0.06529068,0.2772,0.03495856,0,0,0,0,0.005161395,0.2383613,0,0.03136657,0,0.3714581,0,0.006408033,0.00029938,0,0,0,0,0,0.11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.085131
ShSmInvertFeeder,0,0,0.1456902,0,0,0,0,0.06617964,0.09364349,0,0,0.0354519,0.5035011,0.2451298,0.02469168,0.01324098,0.1115909,0,0.03903714,0.001195998,0.1158797,0.03733755,0,0.04962085,0.3575419,0.2525725,0.3162354,0,0.02940013,0,0.004021593,0.006885741,0,0,0,0,0,0.01609001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.411956
ShSmPredator,0,0,0.08161973,0,0,0,0,0,0,0,0,0.03593099,0,0,0,0,0,0,0,0.001195998,0.05793986,0,0,0.01272193,0,0,0.01472993,0,0,0,0,0,0,0,0,0,0,0.07681364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4801289
ShMedInvertFeeder,0,0,0,0.0024,0,0,0,0.02853498,0,0,0,0.002353013,0,0.02098343,0,0.01245438,0.03264534,0,0.03875024,0,0.01158797,0.03733755,0,0.01167448,0.01177128,0.003939142,0.03136657,0,0.0204463,0,0,0,0,0,0,0,0,0.04474996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8635468
ShMedPredator,0,0,0.06380112,0.0024,0,0,0,0.01101202,0,0,0,0,0,0.01867789,0,0,0.006563846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02235586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2833747
ShLInvertFeeder,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04645346
ShLPredator,0,0,0,0,0,0,0,0.01761923,0,0,0,0,0,0,0,0,0.06529068,0,0.003059803,0,0,0,0,0,0,0,0.02529884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4478786
Blue-eye trevalla,0.001666358,0,0,0,0,0,0,0.002205988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01680495
Blue grenadier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000686,0.01771574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08921582
SlopeOceanPerch,0,0,0,0,0,0,0,0,0,0,0,0.003586222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319136,0,0,0.0014969,0,0,0,0,0,0.0112048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06134072
Deepsea Cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004474996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04059821
Oreos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002024964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006415876
SlopeSmInvertFeeder,0,0.001344,0,0,0,0,0,0,0.004199811,0,0,0,0,0,0,0,0,0,0,0.001195998,0,0,0,0,0,0,0,0,0,0.000686,0.007778028,0.00119752,0.007238001,0,0,0,0,0,0,0.0269568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09302006
SlopeSmPredator,0,0.000672,0,0,0,0,0,0.01211322,0.01679925,0,0,0.003586222,0.01066374,0,0,0,0,0,0.006466466,0.001195998,0.01160955,0,0,0,0,0,0,0,0,0.000686,0,0,0.007238001,0,0,0,0,0.004724917,0,0.0033696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2052003
SlopeMInverFeeder,0,0,0,0,0,0,0,0.04895549,0.04242102,0,0,0.01615439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431561,0,0,0.000686,0.05157363,0.06197166,0,0,0,0,0.03486072,0.00903267,0,0.033696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144923
SlopeMPredator,0,0,0,0,0.008,0,0,0.01211322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1198249
SlopeLInvertFeeder,0,0,0,0,0,0,0,0.0115055,0,0,0,0.05235657,0.05883088,0,0,0,0.1377095,0,0.0318069,0,0,0,0,0,0.01230636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4385609
SlopeLPredator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357251
PelSmInvertFeeder,0.01647219,0.002688,0,0.0024,0.036,0.003952824,0,0.003164983,0,0,0,0,0,0,0,0,0.3133953,0,0,0,0,0,0,0,0,0,0,0,0.003768378,0,0,0,0,0,0,0,0,0,0,0,0,0.02227,0.009148817,0,0.004789656,0,0.8115,0,0,0,0,0,0,0,0,3.22463
