Prey \ predator,0-12 Snook,3-12 Snook,12-48 Snook,48-90 Snook,90+ Snook,0-3 Red Drum,3-8 Red Drum,8-18 Red Drum,18-36 Red Drum,36+ Red Drum,0-3 Sea Trout,3-18 Sea Trout,18+ Sea Trout,0-3 Sand Trout,3-12 Sand Trout,12+ Sand Trout,0-6 Mullet,6-18 Mullet,18+ Mullet,Mackrel 0-3,Mackrel 3+,Ladyfish 0-10,Ladyfish 10+,Jacks,Bay Anchovy,Pin Fish,Spot,Silver Perch,Scaled Sardine,Mojarra,Threadfin Herring,Manhaden,Menidia (silverside),Catfish,Bumper,Caridan Shrimp,Shrimp,Stone Crab,Blue Crab,Cyprinodontids,Poecilids,Pigfish,Gobies,Rays,Benthic Invertebrates,Macro Zooplankton,Micro Zoolplankton,Infauna,Attached Microalgae,Sea Grass,Phytoplankton,Detritus
0-12 Snook,0,0.000119168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002089972
3-12 Snook,0,0,0,0.000355236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06239912
12-48 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3374793
48-90 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08180117
90+ Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02435324
0-3 Red Drum,0,0,5.90E-06,1.78E-05,0,0,0,0,0.000170818,0,0,0,3.71E-05,0,0,2.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002891519
3-8 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01959288
8-18 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455871
18-36 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09839997
36+ Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2510142
