Prey \ predator,Transient Orca,Resident Orca,Sharks,Halibut,Porpoise,Pinnipeds,Lingcod,Sablefish,Adult Atooth,Adult Salmon,Pac Cod,Juv Atooth,Avian Predators,Seabirds,Deep demersals,Pollock Ad,Rockfish,Baleen Whales,Salmon Fry,Nshore Demersal,Squid,Eulachon,Sea otters,Deep  Epibent,Capelin,Adult Herring,Pollock Juv,Shal Lg Epibent,Invertiv Bird,Sandlance,Juv  Herring,Jellies,Deep sm infauna,Near Omnizoo,Omnizooplankto,Shal sm Infauna,Meiofauna,Deep Lg Infauna,Shal Sm Epibent,Shal lg infauna,Near Herbizoo,HerbiZooplankt,Near Phytoplktn,Offshore Phyto,Macroalgae,Nekton falls,InshoreDetritus,Offshr Detritus
Transient Orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26E-05,0,0.0006285
Resident Orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026751,0,0.0133755
Sharks,0,0,0.01389836,0,0.0219,0,0.0096558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009429335,0,0.9335042
Halibut,3.02E-05,0.000650025,0.1158197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002635821,0,0.2609463
Porpoise,0.00356065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000876394,0.02629181,0.06047115
Pinnipeds,0.0022933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003679467,0.110384,0.2538832
Lingcod,0,0,0,0,0,0.0018396,0.0012705,0,0,0,0,0,0,0,0.030816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02362156,0.03543234
Sablefish,3.02E-05,0.000650025,0.04632789,0,0.0438,0.018396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413646
Adult Atooth,0,0,0.6949183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.606782
Adult Salmon,9.05E-05,0.0962037,1.496391,0.1557709,0,0.257544,0.0345576,0,0,0,0,0,0.03504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665411,0
