Group,ID
Transient Orca,1
Resident Orca,2
Sharks,3
Halibut,4
Porpoise,5
Pinnipeds,6
Lingcod,7
Sablefish,8
Adult Atooth,9
Adult Salmon,10
Pac Cod,11
Juv Atooth,12
Avian Predators,13
Seabirds,14
Deep demersals,15
Pollock Ad,16
Rockfish,17
Baleen Whales,18
Salmon Fry,19
Nshore Demersal,20
Squid,21
Eulachon,22
Sea otters,23
Deep  Epibent,24
Capelin,25
Adult Herring,26
Pollock Juv,27
Shal Lg Epibent,28
Invertiv Bird,29
Sandlance,30
Juv  Herring,31
Jellies,32
Deep sm infauna,33
Near Omnizoo,34
Omnizooplankto,35
Shal sm Infauna,36
Meiofauna,37
Deep Lg Infauna,38
Shal Sm Epibent,39
Shal lg infauna,40
Near Herbizoo,41
HerbiZooplankt,42
Near Phytoplktn,43
Offshore Phyto,44
Macroalgae,45
Nekton falls,46
InshoreDetritus,47
Offshr Detritus,48
