Group,ID
Primary produce,1
Microzooplankton,2
Mesozooplankton,3
Marozooplankton,4
deposit feeders,5
suspension feed,6
Shrimp and Praw,7
Whelk,8
Echinoderms,9
Bivalves,10
Scallops,11
Crab,12
Commercial crab,13
Lobster,14
Small demersals,15
Small gadoids,16
Mullet,17
Sole Juv,18
Sole Ad,19
Plaice Juv,20
Plaice Ad,21
Dab,22
Lemon Sole,23
Large Flatfish,24
Gurnards,25
Whiting Juv,26
Whiting Ad,27
Cod Juv,28
Cod Ad,29
Hake,30
Dogfish,31
Rays,32
Pollack,33
Monkfishes,34
Large bottom,35
Seabreams,36
John Dory,37
Sandeels,38
Herring,39
Sprat,40
Pilchard,41
Mackerel,42
Scad,43
Bass,44
Sharks,45
Basking shark,46
Cephalopods,47
Seabirds,48
Toothed cetaceans,49
Seals,50
Discarded catch,51
Detritus,52
