Prey \ predator,Transient orca,Toothed whales,Baleen whales,SSL embryo,SSL pups,SSL juveniles,SSL Adults,Small mammals,Sea otters,Birds,Shark mammal eater,Shark and skates,Salmon,Large pelagics,Small pelagics,Atka mackerel,Sandlance,Herring,Juvenile pollock,Adult pollock,POP,Rockfish,Sablefish,Pacific cod,Halibut,Arrowtooth,Flatfish,Dem S M,Large pred demersals,Deep L,Myctophids,Shrimps,Benthic inverts,Epiben carnivores,Cephalopods,Large zooplankton,Small zooplankton,Phytoplankton,Macrophytes,Detritus
Transient orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0.006979063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,0.01,0,0,0,0,0,0,0,0,0,0.0219342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSL embryo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSL pups,0.1,0,0,0,0,0,0,0,0,0,0.001994018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSL juveniles,0.4,0,0,0,0,0,0,0,0,0,0.03489531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSL Adults,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small mammals,0.15,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea otters,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0.01,0,0,0,0,0,0,0,0,0,0.003988036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark mammal eater,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark and skates,0,0.001,0,0,0,0.007,0.007,0,0,0,0.1545364,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon,0,0.159,0.0019,0,0,0.119,0.106,0.01998002,0,0.031,0.0219342,0.044,0,0.01698302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large pelagics,0,0,0,0,0,0,0,0,0,0,0.02592223,0,0,0.002997003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small pelagics,0,0.05,0.1436,0,0,0,0,0.08491508,0,0.215,0.006979063,0.009,0,0.07592407,0,0,0,0,0,0,0,0,0,0.0147929,0.000981354,0.0377907,0,0.01397206,0,0,0,0,0,0,0.1,0,0,0,0,0
Atka mackerel,0,0.015,0.1337,0,0,0.327,0.427,0.1008991,0.04,0.022,0,0.041,0,0,0,0,0,0,0,0.03524673,0,0,0,0.1508876,0.1570167,0.1957365,0.005,0,0.113,0,0,0,0,0,0,0,0,0,0,0
Sandlance,0,0,0.0369,0,0,0,0.005,0.03496503,0.04,0.125,0,0.009,0,0.04495504,0,0,0,0,0,0,0,0.007,0,0.005917159,0.02257115,0,0.009,0,0,0,0,0,0,0,0.025,0,0,0,0,0
Herring,0,0.008,0.0018,0,0,0,0,0.04195804,0,0.033,0.006979063,0.02,0,0.09290709,0,0,0,0,0,0,0,0,0,0,0,0.001937985,0,0.02295409,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile pollock,0,0,0.0018,0,0,0.009,0.007,0.03696303,0,0.038,0.003988036,0.033,0,0.009990009,0,0.01,0,0,0,0.001007049,0,0.007,0,0,0.002944063,0.09593023,0,0.004990019,0.012,0,0,0,0,0,0,0,0,0,0,0
Adult pollock,0,0.011,0.0879,0,0,0.005,0.026,0.07592407,0,0,0.02093719,0.033,0,0.009990009,0,0.051,0,0,0,0.004028197,0,0,0,0.04142012,0.08930323,0.01356589,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0,0,0,0,0,0,0,0,0.001,0.001994018,0,0,0,0,0,0,0,0,0,0,0,0,0.001972387,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockfish,0,0.001,0.0013,0,0,0.017,0.016,0.01398601,0,0.001,0.01794616,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0,0.001,0,0,0,0,0,0.005994006,0,0,0.006979063,0.041,0,0,0,0,0,0,0,0,0,0,0,0.001972387,0.01668302,0.01065892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific cod,0,0.003,0.0022,0,0,0.085,0.063,0.04095904,0,0.035,0.007976072,0.011,0,0,0,0,0,0,0,0,0,0,0,0.001972387,0.00686948,0.001937985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut,0,0,0,0,0,0,0,0,0,0,0.01495513,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth,0,0,0,0,0,0.014,0.01,0,0,0,0.1575274,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flatfish,0,0,0,0,0,0.039,0.027,0.02597403,0,0,0.0109671,0.039,0,0,0,0,0,0,0,0,0,0,0,0.00295858,0.003925417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dem S M,0,0.03,0.0369,0,0,0.246,0.162,0.1218781,0.3,0,0.04885344,0.026,0,0,0,0.001978239,0,0,0.034,0.001007049,0,0.006,0,0.1617357,0.04808636,0.03972869,0.009,0.03592814,0.002,0,0,0,0,0,0,0,0,0,0,0
Large pred demersals,0,0,0,0,0,0.064,0.047,0,0,0,0.02392822,0.034,0,0.007992008,0,0,0,0,0,0,0,0,0,0.0147929,0.01864573,0.03197674,0,0.02295409,0.054,0,0,0,0,0,0,0,0,0,0,0
Deep L,0,0,0,0,0,0,0,0,0,0,0.02592223,0.007,0,0,0,0,0,0,0,0,0.003,0,0,0.01676529,0.01864573,0.03197674,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0
Myctophids,0,0.02,0,0,0,0.01,0.016,0.02997003,0,0.082,0.01495513,0.023,0,0.01898102,0,0.008902077,0,0,0.001,0.2507553,0.025,0.001,0,0.03944773,0.02649656,0.2577519,0.21,0.001996008,0.001,0.006006006,0.002,0,0,0,0.05,0,0,0,0,0
Shrimps,0,0,0,0,0,0,0,0.009990009,0,0,0.001994018,0.176,0,0.03096903,0,0.004945598,0,0,0.099,0.04128902,0.001,0.375,0,0.2790927,0.01864573,0.1802326,0.131,0.05688622,0.033,0.6546547,0,0,0,0.001,0.025,0,0,0,0,0
Benthic inverts,0,0.02,0,0,0,0,0,0.009990009,0.6,0.011,0.005982054,0.138,0,0.1338661,0,0.05341246,0,0,0.11,0.081571,0.024,0.236,0.02,0.07692307,0.01766437,0.0368217,0.411,0.6117764,0.088,0.08308309,0.028,0.4,0.008,0.682,0.25,0,0,0,0,0
Epiben carnivores,0,0,0,0,0,0,0,0.009990009,0.02,0,0.003988036,0.041,0,0,0,0.02274975,0,0,0.004,0.002014099,0,0.057,0,0.06213018,0.1766438,0,0.04,0.1277445,0.25,0,0,0,0,0.045,0.2,0,0,0,0,0
Cephalopods,0,0.66,0.0118,0,0,0.058,0.081,0.3346653,0,0.363,0.220339,0.14,0.1,0.09890109,0,0.1038576,0,0,0,0.02719033,0.005,0.012,0.097,0.07100591,0.3238469,0.004844961,0.082,0.01297405,0.006,0.2562563,0,0,0,0,0,0,0,0,0,0
Large zooplankton,0,0.01,0.3262,0,0,0,0,0.000999001,0,0.026,0,0.06,0.45,0.3296703,0.9,0.3560831,0.9,0.967,0.361,0.3564955,0.177,0.182,0.882,0.003944773,0,0.05329458,0.071,0.08782434,0.417,0,0.861,0.2,0,0.129,0.3,0.006,0,0,0,0
Small zooplankton,0,0.01,0.214,0,0,0,0,0,0,0.016,0,0.004,0.1,0.1258741,0,0.3857566,0,0.032,0.391,0.1903323,0.764,0.115,0,0.000986193,0,0,0.015,0,0,0,0.058,0,0,0.014,0,0.4,0.1,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0.65,0,0,0
Macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.019,0.029,0.05,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0.04087737,0.023,0,0,0,0.00098912,0,0,0,0.009063443,0,0.002,0,0.05128205,0.05103042,0.005813954,0,0,0.024,0,0,0.4,0.973,0.1,0,0,0.25,0,0,0
