Prey \ predator,Spring phytopla,Other phytoplan,Bacteria,Microzooplankto,Mesozooplankton,Mysids/Invert.C,Meiofauna,Macrofauna,Juv. Sprat,Juv. Herring,Juv. Cod,Sprat,Herring,Cod,Salmon,Seals,Detritus
Spring phytopla,0,0,0,0.08421052,0,0.2,0,0.2908587,0,0,0,0,0,0,0,0,0
Other phytoplan,0,0,0,0.1263158,0.75,0.3,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0,0.7894737,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankto,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Mesozooplankton,0,0,0,0,0,0.5,0,0,0.999,0.9,0,0.999,0.87,0,0,0,0
Mysids/Invert.C,0,0,0,0,0,0,0,0,0,0.07,0,0,0.1,0,0,0,0
Meiofauna,0,0,0,0,0,0,0,0.03878116,0,0,0,0,0,0,0,0,0
Macrofauna,0,0,0,0,0,0,0,0,0,0.03,0.4735264,0,0.03,0.219,0,0,0
Juv. Sprat,0,0,0,0,0,0,0,0,0.0009,0,0.1358641,0.0009,0,0.102,0.59,0.1348484,0
Juv. Herring,0,0,0,0,0,0,0,0,0,0,0.2297702,0,0,0.296,0.25,0.222547,0
Juv. Cod,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0.138,0,0.06600972,0
Sprat,0,0,0,0,0,0,0,0,0,0,0.1378621,0,0,0.166,0.13,0.229148,0
Herring,0,0,0,0,0,0,0,0,0,0,0.02297702,0,0,0.079,0.03,0.3126031,0
Cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03441935,0
Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424348,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,1,0,0,0,1,0.6703601,0,0,0,0,0,0,0,0,0
