Prey \ predator,Phytoplankton,Benth.producers,Microzooplank.,Mesozooplank.,Macrozooplank.,Gelatinous zoo.,Anchovy,Sardine,Redeye,Othersmallpel,Chubmackerel,Juv.hmack.,Ad.hmack.,Mesopelagic,Snoek,Otherlargepel,Cephalopods,SmallM.capens,LargeM.capens,SmallM.parad,LargeM.parad,Pelagicdemers,Benthicdemers,Pelagicchond,Benthicchond,Apexchond,Seals,Cetaceans,Seabirds,Meiobenthos,Macrobenthos,Detritus
Phytoplankton,0,0,0.4,0.5,0.4,0,0.05,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benth.producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0
Microzooplank.,0,0,0.05,0.5,0.2,0,0.04,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesozooplank.,0,0,0,0,0.4,0.64,0.57,0.29,0.6,0.81,0.014,0.75,0.39,0.4,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.035,0.009004502,0,0,0
Macrozooplank.,0,0,0,0,0,0.12,0.34,0.07000001,0.4,0.16,0.803,0.25,0.52,0.6,0.171,0.083,0.27,0.72,0.1,0.779,0.21,0.645,0.05,0,0,0,0,0.035,0.09604802,0,0,0
Gelatinous zoo.,0,0,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchovy,0,0,0,0,0,0,0,0,0,0,0.017,0,0.02,0,0.479,0.247,0.01,0.02,0.128,0.02,0.012,0.013,0.005,0.02,0,0,0.2,0.3,0.3651826,0,0,0
Sardine,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.032,0.1,0,0,0,0,0,0.002,0,0.009999999,0,0,0.028,0.07,0.08004002,0,0,0
Redeye,0,0,0,0,0,0,0,0,0,0,0.009,0,0.06500001,0,0.063,0.07800001,0.01,0.04999999,0.087,0.05,0,0.1,0.025,0.04899999,0,0,0.055,0.03,0.024012,0,0,0
Othersmallpel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0.01,0.001,0.02,0,0,0.02,0,0,0.003,0.02,0.06003001,0,0,0
