Prey \ predator,phytoplankton,infauna,amphipods,epibenthic,micro-zoop,copepods,euphausiids,carniv-zoops,small jellies,large jellies,pandalid shp,benthic shp,dungeness,tanner crb,cephalopods,forage fish,mesopelagics,benthic fish,macrourids,sardine,mackerel,salmon,hake,skates,dogfish,sablefish,juv rock,POP,canary,widow,yellowtail,black,shelf rock,slope rock,ssthorny,lsthorny,juv thorny,juv round,lingcod,juv flat,english,petrale,small flat,rex,dover,arrowtooth,halibut,albacore,coastal sharks,shearwaters,murres,gulls,orcas,toothed whales,sperm whales,harbor seals,sea lions,fur seals,grey whales,baleen whales,fishery offal,pelagic detritu,Detritus
phytoplankton,0,0,0.2,0,0.75,0.8,0.9,0.03,0.5,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infauna,0,0,0,0.43,0,0,0,0,0,0,0.25,0.4,0.4,0.792,0,0,0,0.3,0.15,0,0,0,0,0.02,0,0.02,0.009,0,0,0,0,0,0,0,0.05,0.16,0,0,0,0.575,0.34,0,0.15,0.55,0.85,0.001,0.006,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
amphipods,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0.04,0.025,0,0,0.01,0.03,0.18,0.05,0,0.01,0.001,0,0.02,0,0.001,0.006,0.005,0.001,0.035,0.002,0.002,0.005,0.01,0.05,0.03,0,0.011,0,0.21,0.25,0.005,0.1,0.3,0.03,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0
epibenthic,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.2,0.118,0.009,0,0,0.4,0.15,0,0,0,0.0015,0.2,0.05,0.05,0.022,0.005,0,0,0.002,0.05,0.04,0.02,0.03,0.2,0,0,0.05,0.2,0.36,0.15,0.38,0.12,0.1,0,0.05,0,0,0,0,0.01,0,0,0,0.02,0.01,0,0.025,0,0,0,0
micro-zoop,0,0,0,0,0,0.2,0.05,0.03,0.25,0.03,0,0,0,0,0,0.1,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copepods,0,0,0,0,0,0,0.05,0.5,0,0.3,0.1,0,0,0,0.15,0.45,0.32,0,0,0.4,0.05,0.001,0,0,0,0,0.39,0,0,0.002,0,0,0,0,0,0,0.2,0.818,0,0,0.04,0,0.08,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0
euphausiids,0,0,0,0,0,0,0,0.35,0,0.6,0.2,0,0,0,0.38,0.4,0.52,0,0,0.3,0.6,0.1,0.57,0,0.2,0.06,0.44,0.78,0.92,0.3,0.55,0.1,0.35,0.8,0,0,0.5,0.123,0,0,0,0.005,0.1,0,0,0.04,0,0,0,0.03,0.01,0.01,0,0,0,0,0,0,0,0.5,0,0,0
carniv-zoops,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0.15,0.025,0.04,0,0,0,0.07,0.2,0.029,0,0,0.01,0.004,0.07,0.008,0.2,0.025,0.1,0.01,0.05,0.01,0,0.25,0.029,0,0,0,0,0.02,0,0,0.001,0,0.1,0,0.015,0,0.01,0,0,0,0,0,0,0,0.005,0,0,0
small jellies,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0.01,0.045,0,0,0,0,0.002,0,0,0,0.04,0.001,0,0.001,0.32,0.05,0.08,0,0,0.005,0.01,0.05,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large jellies,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.002,0,0,0.05,0.05,0,0,0,0.04,0.01,0.02,0,0.005,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
pandalid shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.01,0.01,0,0,0,0.02,0.02,0.001,0.015,0.03,0.03,0.03,0.001,0.02,0.001,0.12,0.03,0.05,0.01,0,0,0.01,0,0,0.02,0.01,0,0.01,0.04,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
