Prey \ predator,Large Bigeye,Small Bigeye,Large Yellowfin,Small Yellowfin,Large Albacore,Small Albacore,Large Blue Shar,Small Blue Shar,Blue Marlin,Large Sharks,Brown Sharks,Swordfish,Other Billfish,Mahimahi,Small Scombrids,Flying Squid,Skipjack,Lg Leatherback,Small Leatherba,Lg Loggerhead T,Small Loggerhea,Jellyfish,Lance,Squids,Flyingfishes,Meso Fish Nekto,Epi Fish Nekton,Epi Micronekton,Meso Micronekto,Phytoplankton,Detritus
Large Bigeye,0,0,0,0,0,0,0,0,0,0.004568296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Bigeye,0.000102449,0,0.001,0,0.001,0,0,0,0.03501945,0.04659662,0.04495504,0.03103103,0.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Yellowfin,0,0,0,0,0,0,0,0,0.01945525,0.01370489,0.009990009,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Yellowfin,0.00513347,0,0.001,0,0.005,0,0,0,0.1332685,0.1845592,0.01798202,0.1031031,0.1011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Albacore,0,0,0,0,0,0,0,0,0,0.004568296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Albacore,0.001026694,0,0.001,0,0.001,0,0,0,0.01361868,0.01461855,0.007992008,0.001001001,0.008008008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Blue Shar,0,0,0,0,0,0,0,0,0,0.009136592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Blue Shar,0,0,0,0,0,0,0.001003009,0,0,0.08222934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Marlin,0,0,0,0,0,0,0,0,0,0.009136592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Sharks,0,0,0,0,0,0,0,0,0,0.009136592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Sharks,0,0,0,0,0,0,0,0,0,0.01735952,0.009990009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swordfish,0,0,0,0,0,0,0,0,0.009727626,0.009136592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Billfish,0,0,0,0,0,0,0,0,0.009727626,0.01827318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahimahi,0.00513347,0,0.011,0,0.005,0,0,0,0.09727626,0.04568296,0.01898102,0.009009008,0.04604604,0.002000617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Scombrids,0.04517454,0.004995005,0.358,0.1561562,0.106,0.05,0,0,0.2821012,0.2192782,0.1608392,0.05905906,0.1661662,0.1860018,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flying Squid,0.1447639,0.05094905,0,0,0.139,0.15,0.3510531,0.1,0,0.01827318,0.04795204,0.3273273,0,0.05001543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skipjack,0.05954826,0.02197802,0.011,0.01001001,0.04300001,0,0,0,0.1809339,0.09227959,0.1068931,0,0.1441441,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Leatherback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Leatherba,0,0,0,0,0,0,0,0,0,0.00045683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Loggerhead T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Loggerhea,0,0,0,0,0,0,0,0,0,0.000913659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Lance,0.04209446,0.05094905,0,0,0.053,0.03,0,0,0,0.02101416,0.02897103,0.02802803,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Squids,0.2053388,0.2047952,0.106,0.1561562,0.212,0.25,0.2006018,0.45,0.04863813,0.04568296,0.2847153,0.1751752,0.2802803,0.05001543,0.2,0.2,0.102,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Flyingfishes,0,0,0.103,0.1561562,0,0,0,0,0,0,0,0,0,0.408938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meso Fish Nekto,0.2566735,0.2917083,0.111,0.1591592,0.171,0.1,0.2467402,0.25,0,0.03837369,0.06993007,0.1881882,0,0.004999241,0.1,0.04,0.051,0,0,0,0,0,0.5,0.06,0,0.05,0.001,0,0,0,0
Epi Fish Nekton,0.09137578,0.07192808,0.191,0.1541542,0.136,0.25,0.1003009,0.1,0.1702335,0.07674737,0.1618382,0.07807808,0.2262262,0.1480457,0.2,0.06,0.268,0,0,0.5,0.5,0,0.05,0.04,0,0,0,0,0,0,0
Epi Micronekton,0.04825462,0.1488512,0.053,0.1041041,0.053,0.07,0.05015045,0.05,0,0.009136592,0.01898102,0,0,0.1000309,0.35,0.3,0.205,0,0,0,0,1,0,0.4,1,0.95,0.999,0,0,0,0
