Prey \ predator,Piscivorous birds,Non-piscivorous seabirds,Spot,Striped bass YOY,Striped bass resident,Striped bass migratory,reef assoc. fish,Bluefish YOY,Bluefish adult,Weakfish YOY,Weakfish Adult,Summer flounder,Atl. croaker,Menhaden YOY,Menhaden adult,black drum,Littoral forage fish,Alewife and herring,American eel,American shad,bay anchovy,Channel and other catfish,Other flatfish,White perch YOY,White perch adult,other elasmobranchs,gizzard shad,blue catfish,non reef assoc. fish,sandbar shark,Hard clam,other suspension feeders,Other in/epi fauna,Mesozooplankton,Microzooplankton,ctenophores,sea nettles,Blue crab YOY,Blue crab adult,Oyster YOY,Oyster 1+,soft clam,Phytoplankton,SAV,benthic algae,Detritus,Import
Piscivorous birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-piscivorous seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spot,0,0,0,0,0.07907908,0.009995403,0,0.014,0.2454775,0,0.03006012,0.06106106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03441965,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striped bass YOY,0.002002002,0,0,0,0,0.000459789,0,0,0,0,0.001002004,0,0.00099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striped bass resident,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striped bass migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reef assoc. fish,0,0,0,0,0.009009008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01601602,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Bluefish YOY,0,0,0,0,0,0,0,0,0,0,0,0.02202202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefish adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weakfish YOY,0.005005005,0,0,0,0.001001001,0,0,0.001,0,0,0,0.1601602,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weakfish Adult,0,0,0,0,0.008008008,0.007996323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer flounder,0,0,0,0,0,0,0,0,0,0,0.04909819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atl. croaker,0,0,0,0,0.01101101,0.09095816,0,0,0.08386916,0.131,0.03406814,0.04704705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01074989,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menhaden YOY,0.02602603,0,0,0,0.02102102,0,0,0.14,0.5239947,0,0.4448898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menhaden adult,0.04004004,0,0,0,0.06206206,0.1439338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littoral forage fish,0.03103103,0,0,0.3053053,0.06906907,0,0.07,0.286,0.03051969,0,0,0,0.0349693,0,0,0,0.01477985,0,0.1,0,0,0,0,0.022,0.1461461,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0
Alewife and herring,0.05005005,0,0,0,0,0.01199448,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American eel,0.01001001,0,0,0,0.01501501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American shad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bay anchovy,0.1321321,0,0,0.1001001,0.004004004,0.00099954,0.101,0.545,0.09198908,0.768,0.4108216,0.1301301,0.049949,0,0,0,0,0,0,0,0,0,0,0,0.1671672,0.07308927,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel and other catfish,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other flatfish,0.004004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White perch YOY,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109878,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White perch adult,0,0,0,0,0,0.004997701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other elasmobranchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
