Prey \ predator,Killers Whales,Toothed Whales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N Fur Seal,Steller Sea Lion juv,Resident seals,Wintering seals,Mobile Seabirds,Inshore Seabirds,Sleeper shark,W Pollock ,P cod ,Herring ,Arrowtooth ,Kamchatka fl ,Gr Turbot ,P Halibut ,YF Sole ,FH Sole ,N Rock sole ,Flatfish,Skates,Sablefish ,Eelpouts,Deepwater Fish,POP,Rockfish,Shortspine Thorns,Other Sebastes,Atka mackerel ,Greenlings,Sculpins,Misc fish shallow,Octopi,Squids,Salmon,Bathylagidae,Myctophid,Forage fish,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc crabs,Misc Crustacean,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Polychaetes,Misc worms,Scyphozoid,Fish Larve,Chaetognaths,Euphasids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes
Killers Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed Whales,0.01009579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porpoises,0.002981736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Whales,0.026916425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,0.418519839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Otters,0.000618239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walrus Bd Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Fur Seal,0.028470183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steller Sea Lion juv,0.001334102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident seals,0.01108162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wintering seals,0,0,0,0,0,0,0.001017812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobile Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0.000269109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inshore Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeper shark,0,0.000624281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Pollock ,0.25059842,0.1136952,0.1139171,0,0.087700288,0.16682282,0,0.3051882,0.330321305,0.16213149,0.48889991,0.133818037,0.089355909,0.2,0.069489898,0.147315657,0,0.4412209,0.60814895,0.19441664,0.2700263,0.004988932,0.08407913,0.000464477,0.0079431,0.427569322,0.22958055,0.00395613,0,0,0,0,0,0,0.04730774,0.06490933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
P cod ,0.03100175,0.033857146,0.004967099,0,0,0.00078059,0,0.007121057,0.07028113,0.04535147,0.0049334,0.043419678,0.003896168,0,0.000488812,0.002886057,0,1.86E-06,0,0.000624042,0.023694275,0.00000995,0.000054093,0,0.000079002,0.005129105,0,0,0,0,0,0,0,0,0,0.020597786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring ,0.007545383,0.000612086,0.00061328,0,0.00047214,0.005022965,0,0.06103763,0.03012048,0.02834467,0.0444006,0.0007015,0.0254022,0,0.000447802,0.001071256,0,0.006714985,0,0.006115645,0.001313379,0,0,0.000882889,0,0.000956369,0.000182859,0.000741705,0,0,0,0,0,0,0,0.003353747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Arrowtooth ,0.012570471,0,0,0,0,0,0,0,0,0,0,0,0,0.1201747,0.00041925,0.000360901,0,0.001711792,0.0000062,0,0.000447656,0.00000065,0,0,0,0.013147045,8.61E-05,0,0,0,0,0,0,0,0,0.00004195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamchatka fl ,0.0007464,0,0,0,0,0,0,0,0,0,0,0,0,0.007135619,8.45E-08,0.00003235,0,0.000003055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gr Turbot ,0.004649718,0,0,0,0,0,0,0,0,0,0,0,0,0.04445163,0.000274792,0.0000476,0,0,0,0,0,0.000022,0.00000219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Halibut ,0.002953748,0,0,0,0,0.000178755,0,0,0,0,0,0,0,0.02823806,0.000002265,0.000501468,0,0.000299833,0,0,0.000021365,7.57E-05,0,0,1.69E-05,0.000668029,0,0,0,0,0,0,0,0,0,0.000000845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YF Sole ,0.0643379,0,0,0,0,0,0,0.01798606,0.02662697,0.02004569,0.008722399,0,0,0,1.94E-07,0.003860623,0,0.00014334,0,0,0.01656793,0,0,0,0,0.024709558,0,0,0,0,0,0,0,0,0,0.017894845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH Sole ,0.015891706,0,0,0,0,0,0,0.004442625,0.006576958,0.00495136,0.002154465,0,0,0,0.000113191,0.001723093,0,0.006432023,0.000462009,0.00000378,0.005654959,2.23E-07,0.000808151,0,0,0.0000063,0,0.00000738,0,0,0,0,0,0,0,0.000997389,0.007394266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
