Prey \ predator,Baleen whales,Toothed whales,Sperm whales,Beaked whales,Walrus&Bearded seals,Seals,Steller sea lions,Pisc. birds,Adult pollock2+,Juv. pollock0-1,O.Dem.Fish,Large Flatfish,Small Flatfish,Shallow Pelagics,Deep Pelagics,Deepwater fish,Jellyfish,Cephalopods,Benth.P.Feeders,Infauna,Epifauna,Large Zoops,Herb. Zoops.,Phytoplankton,Discards,Detritus
Baleen whales,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed whales,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sperm whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaked whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walrus&Bearded seals,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steller sea lions,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pisc. birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult pollock2+,0.002,0.008,0.002,0.002,0.002,0.002,0.002,0,0,0,0.02,0.025,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
Juv. pollock0-1,0.007,0.013,0.002,0.006,0.002,0.018,0.029,0.095,0.1,0,0.008000001,0.084,0.003,0.001,0,0.014,0.002,0,0,0,0,0,0,0,0,0
O.Dem.Fish,0,0.056,0.05,0,0.016,0.052,0.031,0.106,0.007,0,0.04300001,0.009,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0,0
Large Flatfish,0,0.053,0,0,0.013,0.046,0.003,0,0.001,0,0,0,0.001,0,0,0.018,0,0,0,0,0,0,0,0,0,0
Small Flatfish,0,0.05,0,0,0.01,0.04,0.003,0,0,0,0.12,0.01,0.01,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Shallow Pelagics,0.182,0.319,0.056,0.172,0.044,0.288,0.862,0.572,0.131,0,0.076,0.103,0.021,0,0,0.356,0.008,0.21,0,0,0,0,0,0,0,0
Deep Pelagics,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater fish,0,0.053,0.05,0.333,0.013,0.046,0,0,0,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0
Cephalopods,0.15,0.23,0.84,0.32,0,0.009,0.07,0.04,0,0,0.01,0.004,0,0,0,0.11,0,0.19,0,0,0,0,0,0,0,0
Benth.P.Feeders,0.009,0.165,0,0.167,0.24,0.269,0,0,0.031,0,0.173,0.047,0.054,0,0,0.146,0.128,0,0,0,0.14,0,0,0,0,0
Infauna,0,0,0,0,0.4,0,0,0.001,0.01,0,0.2,0.002,0.6,0.005,0,0.102,0,0,0.3,0,0.3,0,0,0,0,0
Epifauna,0.015,0,0,0,0.25,0,0,0,0.001,0,0.072,0.009,0.084,0,0,0.02,0,0,0.037,0,0.008,0,0,0,0,0
Large Zoops,0.336,0.046,0,0,0,0.23,0,0.186,0.362922,0.33,0.06400001,0.105,0.191,0.904,0.4,0.109,0.139,0.6,0.344,0,0.044,0.003,0,0,0,0
Herb. Zoops.,0.299,0,0,0,0.01,0,0,0,0.356,0.67,0.014,0,0.033,0.09,0.6,0,0.715,0,0.017,0,0.008,0.271,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676,1,0,0,0
Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,1,0.5,0.05,0,0,0,0
