Prey \ predator,Pursuit Birds,Grazing Birds,Baleen Whales,Toothed Whales,Spotted Dolphin,Meso Dolphin,Sea Turtles,Lg Yellowfin,Lg Bigeye,Lg Marlins,Lg Sailfish,Lg Swordfish,Lg Dorado,Lg Wahoo,Lg Sharks,Rays,Skipjack,Albacore,Auxis,Bluefin,Sm Yellowfin,Sm Bigeye,Sm Marlins,Sm Sailfish,Sm Swordfish,Sm Dorado,Sm Wahoo,Sm Sharks,Misc. Pisc,Flying fish,Misc Epi Fish,Misc Meso Fish,Cephalopods,Crabs,Mesozooplankton,Microzooplankton,Lg Phytoplankton,Sm Producers,Detritus
Pursuit Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
Grazing Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted Dolphin,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
Meso Dolphin,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0.007999999,0,0,0,0,0,0,0,0,0,0,0
Sea Turtles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Yellowfin,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Bigeye,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Marlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Sailfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Swordfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Wahoo,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skipjack,0,0,0,0.04,0.001,0,0,0.005,0,0.218,0.01,0,0,0.044,0.139,0,0.001,0.002,0.001,0.003,0.002,0,0.05,0.006,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0
Albacore,0,0,0,0.005,0,0,0,0.001,0.001,0.005,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auxis,0,0,0,0.06,0.058,0.01,0,0.542,0.02,0.22,0.105,0.001,0.035,0.228,0.051,0,0.077,0.1,0.05,0.003,0.1,0,0.203,0.071,0,0.053,0.119,0.046,0.08,0,0,0,0,0,0,0,0,0,0
Bluefin,0,0,0,0.001,0,0,0,0.001,0,0.006000001,0,0.001,0.001,0.003,0.002,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0.008999999,0.001,0,0,0,0,0,0,0,0,0,0
Sm Yellowfin,0,0,0,0.005,0,0,0,0.001,0,0.251,0,0.021,0.014,0.113,0.096,0,0.001,0,0.001,0,0.001,0,0.059,0,0,0,0,0.397,0.009,0,0,0,0,0,0,0,0,0,0
Sm Bigeye,0,0,0,0.02,0,0,0,0,0,0,0,0.022,0,0.007,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0.008999999,0,0,0,0,0,0,0,0,0,0,0
Sm Marlins,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0.003,0,0,0,0,0,0,0,0.01,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Sm Sailfish,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0.003,0,0,0,0,0,0,0,0.01,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Sm Swordfish,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Sm Dorado,0,0,0,0.01,0.011,0,0,0.004,0,0.024,0.046,0,0.018,0.022,0.019,0,0,0,0,0,0,0,0.1,0.031,0,0.027,0.027,0.018,0,0,0,0,0,0,0,0,0,0,0
Sm Wahoo,0,0,0,0.015,0,0,0,0,0,0.024,0.031,0,0,0.001,0.04,0,0,0,0,0,0,0,0.05,0.021,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0
Sm Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. Pisc,0,0,0,0.05,0.01,0,0,0.017,0.063,0.025,0.25,0.002,0.049,0.056,0.04,0,0,0.026,0,0.017,0.007,0.02,0.15,0.1,0,0.07400001,0.074,0.03599999,0.01,0,0,0,0,0,0,0,0,0,0
Flying fish,0.55,0,0,0.02,0.07,0,0,0.05,0,0.006000001,0,0,0.551,0.152,0.011,0,0.012,0.05,0.03,0,0.072,0.035,0,0,0,0.439,0.15,0.009999999,0.05,0,0,0,0.03,0,0,0,0,0,0
Misc Epi Fish,0.05,0.05,0.114,0.09,0.088,0.176,0.05,0.285,0.093,0.06000001,0.073,0.273,0.064,0.13,0.392,0.15,0.312,0.537,0.25,0.2,0.372,0.218,0.13,0.2,0.66,0.118,0.48,0.184,0.43,0,0.04000001,0,0.25,0.1,0,0,0,0,0
Misc Meso Fish,0.05,0.3,0,0.038,0.158,0.541,0,0.048,0.09,0,0.369,0.005,0.146,0.073,0.011,0,0.176,0.01,0.01,0,0.252,0.575,0,0.419,0,0.121,0.03,0,0.07,0,0,0,0.42,0.07,0,0,0,0,0
Cephalopods,0.35,0,0.02,0.646,0.597,0.253,0.05,0.036,0.713,0.09500001,0.09,0.604,0.107,0.125,0.115,0.05,0.303,0.25,0.03,0.006999999,0.18,0.132,0.1,0.102,0.234,0.146,0.12,0.09699999,0.06,0,0,0,0.15,0.01,0,0,0,0,0
Crabs,0,0,0.026,0,0,0.02,0.1,0.008,0.02,0,0,0,0.015,0.046,0.014,0.05,0.003,0.016,0,0.09999999,0.01,0.02,0,0,0,0.022,0,0.012,0.18,0,0.005000001,0,0.03,0,0,0,0,0,0
Mesozooplankton,0,0.39,0.84,0,0.006,0,0.469,0.001,0,0,0.006,0.06600001,0,0,0,0.45,0.069,0.009,0.482,0.003,0.002,0,0,0.03,0.106,0,0,0,0.066,0.602,0.475,0.64,0.072,0.456,0,0,0,0,0
Microzooplankton,0,0.26,0,0,0.001,0,0.301,0.001,0,0,0.004,0,0,0,0,0.3,0.046,0,0.146,0,0.001,0,0,0.02,0,0,0,0,0.044,0.398,0.28,0.36,0.048,0.264,0.696,0,0,0,0
Lg Phytoplankton,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.304,0,0,0,0
Sm Producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
