Prey \ predator,Phytoplankton,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Mesopelagics,Macrobenthos polychaetes,Macrobenthos crustaceans,Macrobenthos molluscs,Macrobenthos other,Megabenthos filter,Megabenthos oither,Shrimp,Larval fish,Small pelagics commercial,Small pelagics other,Small pelagic squid,Small pelaglics anadromous,Medium pelagics,Demersal benthivores,Demersal omnivores,Demersal piscivores,Sharks pelagic,Highly migratory tuna etc,Baleen whales,Odontocetes,Seabirds,Discards,Detritus
Phytoplankton,0,0.15,0.15,0.61,0.46,0.091,0.114,0.02,0.108,0.178,0.379,0.24,0.6,0,0.054,0.052,0.011,0.157,0,0.011,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0.4,0,0,0.02,0,0.02,0.26,0.113,0.175,0.181,0.2,0.122,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0.05,0.15,0.05,0.05,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small copepods,0,0,0,0.08,0.28,0.33,0.513,0.5,0,0.012,0,0,0,0,0,0.38,0.147,0.115,0,0.079,0,0,0,0,0,0,0.058,0,0,0,0
Large copepods,0,0,0,0,0.103,0.36,0.229,0.37,0,0.022,0,0,0,0,0,0.22,0.426,0.571,0.16,0.874,0,0,0,0,0.03,0,0.462,0,0.036,0,0
Gelatinous zooplankton,0,0,0,0,0.05,0.021,0,0,0,0,0,0,0,0,0,0,0.08,0.102,0,0,0.001,0.005,0.005,0.061,0.01,0.072,0.001,0.017,0,0,0
Micronekton,0,0,0,0,0,0,0.029,0.01,0,0,0,0,0,0,0.108,0.06,0.161,0.042,0.42,0.019,0,0.001,0.025,0.021,0,0,0.289,0.037,0.102,0,0
Mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.005,0.01,0,0,0,0,0,0
Macrobenthos polychaetes,0,0,0,0,0,0,0,0,0.094,0.106,0,0.05,0,0.067,0,0.04,0.011,0,0,0.001,0,0.102,0.12,0.015,0,0,0,0,0,0,0
Macrobenthos crustaceans,0,0,0,0,0.003,0,0,0,0.017,0.044,0,0.03,0,0.067,0.054,0.05,0.027,0.002,0.085,0.006,0.012,0.12,0.06,0.015,0.01,0,0.058,0,0,0,0
Macrobenthos molluscs,0,0,0,0,0,0,0,0,0.009,0.101,0.067,0.079,0,0.206,0,0.04,0.011,0.002,0,0,0,0.102,0.06,0.015,0,0,0.012,0,0,0,0
Macrobenthos other,0,0,0,0,0.004,0,0,0,0.051,0.111,0.052,0.06,0,0.211,0.075,0.04,0.011,0.001,0.015,0,0.01,0.123,0.06,0.089,0.01,0,0.023,0,0,0,0
Megabenthos filter,0,0,0,0,0,0,0,0,0.003,0.012,0.011,0.004,0,0.043,0,0,0,0,0,0,0.003,0.096,0.065,0.186,0,0,0,0,0,0,0
Megabenthos oither,0,0,0,0,0,0,0,0,0.003,0.011,0.011,0.02,0,0.093,0,0,0,0,0,0,0.017,0.123,0.26,0.014,0,0,0.007,0,0,0,0
Shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0.068,0,0.014,0.07,0.09,0.116,0,0,0,0,0.068,0,0
Larval fish,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.066,0.106,0.007,0.15,0.008,0.002,0,0.012,0.01,0,0,0,0,0,0,0
Small pelagics commercial,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.535,0.101,0.12,0.253,0.21,0.144,0.058,0.352,0.3,0,0
Small pelagics other,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.041,0.001,0.002,0.026,0.08,0.721,0.006,0.19,0.255,0,0
Small pelagic squid,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0.106,0.01,0.022,0.016,0.16,0.063,0.011,0.23,0.069,0,0
Small pelaglics anadromous,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.047,0,0,0.017,0.02,0,0.003,0.046,0.05,0,0
Medium pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.002,0.12,0,0,0.001,0.003,0,0
Demersal benthivores,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0.004,0,0,0.001,0,0,0,0.091,0.07,0.044,0.029,0.05,0,0,0,0,0,0
