Prey \ predator,Transient Orcas,Dolphins (Res. Orca),Seals Sealions,Halibut,Lingcod,Dogfish Shark,A. Hake,J. Hake,A. Res. Coho,J. Res. Coho,A. Res. Chinook,J. Res. Chinook,Demersal Fishes,Sea Birds,Small Pelagics,Eulachon,A. Herring,J. Herring,Jellyfish,Predatory Invertebrates,Shellfish,Grazing Invertebrates,C. Zoolplankton,H. Zoolplankton,Kelp/Sea Grass,Phytoplankton,Detritus,Import
Transient Orcas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolphins (Res. Orca),0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals Sealions,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut,0,0.001002521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lingcod,0,0.01002521,0.0217057,0,0.003111234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogfish Shark,0,0.001002521,0,0,0.003111234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Hake,0,0.1999028,0.2529253,0,0.1285655,0.04522152,0,0,0,0,0,0,0.02698972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Hake,0,0,0.06562187,0,0.000999997,0.0510039,0.05,0,0,0,0.001219692,0,0.01099581,0,0,0,0.000998002,0,0,0,0,0,0,0,0,0,0,0
A. Res. Coho,0,0.04611598,0.02784486,0,0.000996632,0.000955048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Res. Coho,0,0,0.06997932,0,0.009970032,0.004000306,0.01,0,0.001998403,0,0.003998778,0,0,0,0,0,0.001998,0,0,0,0,0,0,0,0,0,0,0
A. Res. Chinook,0,0.04611598,0.04016031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Res. Chinook,0,0,0.1104409,0,0,0.08995413,0,0,0.0012,0,0.001219692,0,0,0,0,0,0.000998002,0,0,0,0,0,0,0,0,0,0,0
Demersal Fishes,0,0.1589227,0.260038,0.1791098,0.3388548,0.1610123,0,0,0.0012,0,0.007318149,0,0.009996192,0.07492508,0,0,0.000998002,0,0.000909091,0,0,0,0,0,0,0,0,0
Sea Birds,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Pelagics,0.01,0.1914816,0.08270182,0.4975273,0.02281571,0,0.01,0.025,0.259896,0,0.09989274,0,0.09520184,0.07692308,0,0,0.00499001,0.001001001,0,0,0,0,0,0,0,0,0,0
Eulachon,0,0.002005043,0.009077028,0.004975273,0.02074156,0.004775239,0.005,0,0.0179928,0,0.01698177,0,0.04760092,0.003996004,0,0,0.00998002,0.001001001,0.005454545,0,0,0,0,0,0,0,0,0
A. Herring,0,0.05012607,0.05748785,0.1940058,0.3007526,0.004775239,0.001,0,0.059976,0,0.109882,0,0,0.01898102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Herring,0,0,0,0.004975273,0.0093337,0,0.001,0.005,0.19992,0.000999001,0.3596139,0.005128205,0,0.00999001,0,0,0.00998002,0,0.005454545,0,0,0,0,0,0,0,0,0
Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05272727,0,0,0,0,0,0,0,0,0
Predatory Invertebrates,0,0.145929,0,0,0.04148311,0.009550478,0,0,0,0.01198801,0,0.05128205,0.1437548,0,0,0,0,0,0,0.03375,0,0,0,0,0,0,0,0
Shellfish,0,0,0.001008559,0,0,0.04870744,0,0,0,0,0,0,0.1428027,0.1578422,0,0,0,0.05305305,0,0.27625,0,0.006055248,0,0,0,0,0,0
Grazing Invertebrates,0,0.1473706,0.001008559,0,0,0,0.133,0,0,0.01198801,0,0.02051282,0.2846535,0.5364636,0.1,0,0,0,0,0.315,0,0.07871823,0,0,0,0,0,0
C. Zoolplankton,0,0,0,0.1194066,0.079855,0.5800444,0.74,0.12,0.379848,0.7312688,0.3938797,0.6153846,0.1904037,0,0.5,0.45,0.1916164,0.2122122,0.1054545,0,0,0,0,0,0,0,0,0
H. Zoolplankton,0,0,0,0,0.03940896,0,0.05,0.85,0.0779688,0.2437562,0.005993564,0.3076923,0.04760092,0.02997003,0.4,0.5,0.3822348,0.6366367,0.7390909,0,0.09471096,0,0.4,0,0,0,0,0
Kelp/Sea Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002460025,0.00121105,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004995005,0,0.05,0,0.0960961,0.09090909,0,0.6568266,0.3088177,0.15,0.9,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08491509,0,0,0,0,0,0.375,0.2460025,0.6051978,0.45,0.1,0,0,0,0
Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3962068,0,0,0,0,0,0,0,0,0,0,0
