Prey \ predator,Whales,Harp Seals,Hooded Seals,Seabirds,Cod > 35cm,Cod <= 35 cm,G.halibut>40cm,G.halibut<=40cm,Aplaice>35cm,Aplaice<=35cm,Flounders,Skates,Redfish,L.Dem.Feeders,S.Dem.Feeders,Capelin,Sand lance,Arctic cod,L.Pel.Feeders,Pisc. SPF,Plankt. SPF,Shrimp,Large Crustacea,Echinoderms,Molluscs,Polychaetes,O.Benthic Inver,L.Zooplankton,S.Zooplankton,Phytoplankton,Detritus
Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harp Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod > 35cm,0,0.01301301,0.0929071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod <= 35 cm,0.01201201,0.03403404,0,0.005,0.018,0.006993008,0.07592407,0.009,0,0.003996004,0,0.05,0.002,0.01098901,0,0,0,0,0.001998002,0.019,0,0,0,0,0,0,0,0,0,0,0
G.halibut>40cm,0,0.004004004,0.03596404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.halibut<=40cm,0,0.04504505,0.2897103,0,0.006,0.001998002,0.1268731,0.005,0.000999001,0.001998002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplaice>35cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplaice<=35cm,0,0.01001001,0,0,0.017,0,0.000999001,0,0.000999001,0.02097902,0,0.001,0,0.01698302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounders,0,0.05005005,0.2157842,0,0.001,0,0.001998002,0,0,0.007992009,0,0.007,0,0.01098901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redfish,0,0.005005005,0.04895105,0,0.009,0,0.2557442,0,0,0.000999001,0,0.086,0.007,0.01598402,0,0,0,0,0.001998002,0,0,0,0,0,0,0,0,0,0,0,0
L.Dem.Feeders,0.03303304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Dem.Feeders,0.03303304,0.04704705,0.1198801,0.016,0.04,0.02397603,0.08591408,0.008,0.008991009,0.02297702,0.007,0.111,0.001,0.04195805,0.01,0,0,0,0.03496503,0,0,0,0,0,0,0,0,0,0,0,0
