Prey \ predator,0-12 Snook,3-12 Snook,12-48 Snook,48-90 Snook,90+ Snook,0-3 Red Drum,3-8 Red Drum,8-18 Red Drum,18-36 Red Drum,36+ Red Drum,0-3 Sea Trout,3-18 Sea Trout,18+ Sea Trout,0-3 Sand Trout,3-12 Sand Trout,12+ Sand Trout,0-6 Mullet,6-18 Mullet,18+ Mullet,Mackrel 0-3,Mackrel 3+,Ladyfish 0-10,Ladyfish 10+,Grouper 0,Grouper 1-3,Grouper 3+,Jacks,Bay Anchovy,Pin Fish,Spot,Silver Perch,Scaled Sardine,Mojarra,Threadfin Herring,juv Menhaden,Menhaden,Menidia (silverside),Catfish,Bumper,Caridan Shrimp,Shrimp,Stone Crab,Blue Crab,Cyprinodontids,Poecilids,Pigfish,Gobies,Rays,Pompano,Lobster,red snapper 0-6,red snapper 6-24,red snapper older,Atlantic croaker,LCsharks,Benthic Invertebrates,Macro Zooplankton,Micro Zoolplankton,Infauna,Attached Microalgae,Sea Grass,Phytoplankton,Detritus,Import
0-12 Snook,0,0.00080008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-12 Snook,0,0,0,0.0020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-48 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48-90 Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90+ Snook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-3 Red Drum,0,0,1.00E-05,0.00010001,0,0,0,0,0.00020004,0,0,0,0.00010001,0,0,1.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-8 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-18 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-36 Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36+ Red Drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-3 Sea Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-18 Sea Trout,0,0,0,0.02480248,0.00180018,0,0,0,0,0,0,0,0.0030003,0,0,0,0,0,0,0,6.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18+ Sea Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-3 Sand Trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-12 Sand Trout,0,0,0,0,0.00830083,0,0,0,0,0,0,0,0,0,0,0.0039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12+ Sand Trout,0,0,0,0,0.00370037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-6 Mullet,0,0.0050005,0.00099989,0.0020002,0.04620462,0,0,0.006000001,0.00470094,0.0030003,0,0,0.120012,0,0,0,0,0,0,0.0010001,0,0,0.001019888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-18 Mullet,0,0,0,0,0.00830083,0,0,0.013,0.00870174,0.04180418,0,0,0.0010001,0,0,0,0,0,0,0,4.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001800133,0,0,0,0,0,0,0,0,0
18+ Mullet,0,0,0,0,0.0380038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01790132,0,0,0,0,0,0,0,0,0
Mackrel 0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackrel 3+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladyfish 0-10,0,0,0.00099989,0,0.02910291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladyfish 10+,0,0,0,0,0.00370037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grouper 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grouper 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grouper 3+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003699797,0,0,0,0,0,0.00409996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Anchovy,0,0,0.00099989,0.09910991,0.1925192,0,0,0.019,0.045009,0.03670367,0,0.04980001,0.1562156,0,0.4264427,0.430357,0,0,0,0.1668167,0.1718906,0.10001,0.2489546,0,0,0,0.3859962,0,0,0,0.05309469,0,0,0,0,0,0,0.09900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01790132,0,0,0,0,0,0,0,0,0
Pin Fish,0,0.0050005,0.05009449,0.2280228,0.01940194,0,0,0.006000001,0.02220444,0.02120212,0,0,0.1011101,0,0,0.0019998,0,0,0,0.0010001,1.10E-05,0,0,0,0.009019945,0.003550043,0.1954981,0,0,0,0.0179982,0,0,0,0,0,0,0.000566378,0,0,0,0,0,0,0,0.1227123,0,0,0,0,0,0,0.509814,0,0.0054004,0,0,0,0,0,0,0,0,0
Spot,0,0,0.0199978,0.03070307,0.00370037,0,0,0.03200001,0.02220444,0.01450145,0,0,0.0080008,0,0.010001,0.049995,0,0,0,0.0020002,0.01069941,0,0.002039776,0,0,0,0.07819922,0,0,0,0.0019998,0,0,0,0,0,0,0.00101948,0,0,0,0,0,0,0,0.1227123,0,0,0,0,0,0,0,0,0.005700422,0,0,0,0,0,0,0,0,0
Silver Perch,0,0,0.00499945,0.03070307,0.04440444,0,0,0.1289,0.00470094,0.0050005,0,0.04980001,0.030003,0,0.0050005,0.1288871,0,0,0,0.0020002,0.00109994,0,0.001019888,0,0,0.07680092,0.03899961,0,0,0,0.0019998,0,0,0,0,0,0,0.00101948,0,0,0,0,0,0,0,0.07210721,0,0,0,0,0,0,0,0,0.01790132,0,0,0,0,0,0,0,0,0
Scaled Sardine,0,0,0.00099989,0.09910991,0.00370037,0,0,0,0,0,0,0.04980001,0,0,0.0050005,0.08689132,0,0,0,0.0020002,0.7371596,0,0.002957674,0,0,0.2551031,0.03899961,0,0,0,0.0179982,0,0,0,0,0,0,0.008382392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411165,0,0.3596266,0,0,0,0,0,0,0,0,0
Mojarra,0,0.010001,0.1030887,0.03070307,0.00370037,0,0.013,0.06490001,0.02220444,0.00160016,0,0,0.0010001,0,0.0050005,0.0239976,0,0,0,0.0020002,6.80E-05,0.0010001,0.01397246,0,0.09029945,0,0.03899961,0,0,0,0.0179982,0,0,0,0,0,0,0.000566378,0,0,0,0,0,0,0,0.1227123,0,0,0,0,0,0,0,0,0.03610267,0,0,0,0,0,0,0,0,0
Threadfin Herring,0,0,0.00099989,0.0020002,0.1925192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0.000699962,0,0,0,0.000885995,0.000338004,0.03079969,0,0,0,0,0,0,0,0,0,0,0.00101948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50E-05,0,0,0,0,0,0,0,0,0
juv Menhaden,0,0,0,0,0,0,0,0,0.09091818,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2678984,0.2698032,0,0,0,0,0,0,0,0,0,0,0,0.2685764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01718163,0,0,0.04810356,0,0,0,0,0,0,0,0,0
