Prey \ predator,Rastrelliger spp.,Scomberomorus,Carangidae,Pomfret,Small pelagics,False trevally,L. piscivores,Scianidae,Saurida spp.,Lutianidae,Plectorhynchidae,Priacanthus spp.,Sillago,Nemipterus spp.,Ariidae,Rays,Sharks,Cephalopod,Shrimps,"Crab, Lobster",Trashfish,Small demersal,Dem.piscivore,Dem.benthivore,Shellfish,Jellyfish,Sea cucumber,Seaweeds,Coastal tuna,Sergestid shrimp,Mammals,Pony fishes,Benthos,Zooplankton,Juv pelagic,Juv caranx,Juv saurida,Juv Nemipterus,Phytoplankton,Detritus
Rastrelliger spp.,0,0.2,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.12,0,0.09999999,0,0,0,0,0,0,0,0,0
Scomberomorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carangidae,0,0.2,0,0,0,0,0.09999999,0,0,0.04999999,0,0,0,0,0,0,0.09999999,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.02,0,0,0,0,0,0,0,0,0
Pomfret,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
Small pelagics,0,0.1,0.2,0.1,0,0.2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.35,0,0,0,0,0,0,0,0,0
False trevally,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
L. piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Scianidae,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurida spp.,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutianidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectorhynchidae,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Priacanthus spp.,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sillago,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0
Nemipterus spp.,0,0,0,0.04,0,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.07000001,0,0,0,0,0,0,0,0,0,0,0
