Prey \ predator,Diatoms,Dino and silicoflagellates,Microzooplankton,mesozooplankton,macrozooplankton,gelatinous zooplankton,macrobenthos,sardine,anchovy,mesopelagics,jumbo squid,other cephalopods,other small pelagics,horse mackerels,mackerels,other large pelagics,small hake,medium hake,large hake,flatfishes,small demersals,benthic elasmobranchs,butter fishes,conger,medium demersal fish,medium sciaenids,sea robin,catfish,chondrichtlyans,seabirds,pinnipeds,cetaceans,Detritus,Import
Diatoms,0,0,0.3,0.85,0.5,0,0,0.042,0.69181,0,0,0,0.3,0,0.002,0,0,0,0,0,0.6,0,0.423,0,0,0,0,0,0,0,0,0,0,0
Dino and silicoflagellates,0,0,0.1,0.05,0.1,0,0,0.003,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0.2,0.1,0.4,0,0,0.037,0.00019,0,0,0,0,0,9.80E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mesozooplankton,0,0,0,0,0,0.64,0,0.704,0.281,0.021,0.075,0,0.65,0,0.029,0,0,0,0,0,0.4,0,0.186,0,0,0,0,0.004,0,0,0,0,0,0
macrozooplankton,0,0,0,0,0,0.12,0,0.214,0.023,0.979,0.222,0.85,0,0.56,0.861914,0,0.07,0.003,0.132,0,0,0.019,0.028,0,0.256,0.00062,0.975,0.108,0,0,0,0.3,0,0
gelatinous zooplankton,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
macrobenthos,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.03,0,0,0.09,0.00051,0.00062,0.2,0,0.56455,0.179,0.114,0.383,0.64086,0.025,0.572,0,0,0,0,0,0
sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.031,0,0,0,0.013,0,0,0,0,0,0,0,0
anchovy,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0.2,0,0.699,0.358,0.64549,0.005,0.5,0,0.078,0,0,0.1,0.184,0,0.198,0.213,0.877,0.539,0.1,0,0
mesopelagics,0,0,0,0,0,0,0,0,0,0,0.387,0,0,0,0.005,0,0,0,0.011,0,0,0,0,0,0,0.00097,0,0,0,0,0.004,0,0,0
jumbo squid,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.071,0.112,0,0,0,0,0.022,0,0,0,0.005,0,0,0.66711,0,0,0.2,0,0
