Prey \ predator,Toothed Whales,Baleen Whales,Seals,Seabirds,Basking Sharks,Bass,Adult Cod 2+,Juvenile Cod Age 1,Adult Haddock 2+,Juvenile Haddock Age 1,Adult Plaice 2+,Juvenile Plaice Age 1,Whiting,Sole,Seatrout,Sandeels,Small Flatfish,Medium Flatfish,Large Flatfish,Dragonets,Other Large Demersals,Gurnards,Mackerel,Monkfish,Mullet,Other Large Gadoids,Other Small Demersal,Other Small Gadoids,Small Pelagic Planktivorous Fish,Small Sharks,Large Sharks,Skates and Rays,Epifaunal Macrobenthos,Epifaunal Mesobenthos,Infauna (Polycheate),Infaunal Macrobenthos,Infaunal Mesobenthos,Lobster and Large Crabs,Nephrops,Cephalopods,Prawns and Shrimp,Sessile Epifauna,Meiofauna,Gelatinous Zooplankton,Carnivorous Zooplankton,Omnivorous Zooplankton,Herbivorous Zooplankton,Seaweed,Microflora,Phytoplankton,Particulate Organic Matter,Dissolved Organic Matter,Discards
Toothed Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basking Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bass,0.01686508,0.001996008,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Cod 2+,0.01686508,0.001996008,0,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile Cod Age 1,0.01686508,0.001996008,0,0.03103103,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Haddock 2+,0.01686508,0.001996008,0,0.005005005,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile Haddock Age 1,0.01686508,0.001996008,0,0.011,0,0,0.005,0,0,0.01,0,0,0.02,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Plaice 2+,0.01686508,0.001996008,0,0.005005005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile Plaice Age 1,0.01686508,0.001996008,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiting,0.01686508,0.001996008,0,0.024,0,0,0.0295,0,0,0,0,0,0.01,0,0,0,0,0.002,0,0,0,0.01,0,0.01,0,0.00096,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0
Sole,0.01686508,0.001996008,0,0.007007007,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seatrout,0.01686508,0.001996008,0,0.003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandeels,0.09920635,0.1497006,0.2502502,0.148,0,0.33,0.012,0.04,0.035,0,0.02,0,0.11,0,0.249,0,0,0.02,0.28,0,0,0,0,0.01,0,0.045,0,0,0,0,0.134,0.004,0,0,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Flatfish,0.01686508,0.001996008,0,0.003003003,0,0,0.005,0,0,0,0,0,0.05,0,0,0,0,0.002,0,0,0,0,0,0.096,0,0.00096,0,0.002,0,0,0.094,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Flatfish,0.01686508,0.001996008,0,0.01001001,0,0,0.005,0,0,0,0,0,0.03,0,0,0,0,0.002,0,0,0,0,0,0.097,0,0.03,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Flatfish,0.01686508,0.001996008,0,0.02002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonets,0.01686508,0.001996008,0,0.0121,0,0,0.01,0,0.006,0,0.01,0,0.006,0,0,0,0,0.1,0,0,0,0.018,0,0.096,0,0.00096,0,0.015,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Large Demersals,0.01686508,0.001996008,0,0.02602603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
