Prey \ predator,Marine birds,Dolphins and porpoise,Baleen whales,Seals,Black seabass,Goosefish,Tilefish,Scup,Spot,Butterfishes,Atlantic salmon,Striped bass,Weakfish,Spiny dogfish,Ocean pout,Billfishes,Jacks,Coastal sharks,Tunas,Rays and skates,Bluefish,Cods and hakes,Redfish,Benthic piscivores,Flounders,Demersal piscivores,Demersal invertebrate eaters,Demersal planktivores,Benthic invertebrate eaters,Med. pel. pisc (Mackerel),Atlantic menhaden,Drum / croaker,Snapper / grouper,Forage fish,Large pelagic planktivores,Stomatopods,Squid,Shrimp,Crabs,Lobsters,Octopods,Echonoderms,Bivalves,Sessile epibenthos,Euphausiids,Mysids,Polychaetes,Small crustaceans,Macrozooplankton,Microzooplankton,Jellies,Phytoplankton,Macrophytes,Microphytobenthos,Detritus
Marine birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolphins and porpoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black seabass,0,0,0,0,0,0.01000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goosefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scup,0,0,0,0,0,0.01000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spot,0.007,0.01,0.01,0.004,0.004000174,0.009002954,0.01,0.006996583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butterfishes,0,0,0,0,0,0,0,0,0,0,0,0,0.03844773,0,0,0,0,0,0,0,0.1097616,0.001999578,0,0.01000975,0.005018203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic salmon,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striped bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weakfish,0,0,0,0,0,0.01000598,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,0,0,0,0,0,0.00500157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean pout,0,0,0,0,0,0.01000598,0,0,0,0,0,0.02,0,0.02127935,0,0,0,0,0,0.003786996,0.04878296,0,0,0.03450925,0,0,0,0,0.1732677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0.01,0.02,0,0,0,0,0,0,0.002001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0.05,0.03,0,0,0,0,0.004003902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays and skates,0,0,0,0,0,0.07939108,0,0,0,0,0,0.02,0,0,0,0,0,0.15,0.01,0,0,0,0,0.02001951,0.00345152,0,0,0,0.01332828,0,0,0,0,0,0,0,0,0,0,0.002,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cods and hakes,0,0.01,0,0.185,0,0.02000137,0,0,0,0,0,0.01,0.009996411,0.009999952,0,0,0,0,0,0.005000042,0.05000253,0.009999161,0,0.01000099,0.000999696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redfish,0,0,0,0.004,0,0.02001196,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.009999161,0,0,0,0.00200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic piscivores,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.01,0.018,0,0.01000294,0.004999998,0,0,0.000999696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounders,0,0,0,0.014,0,0.06351286,0,0,0,0,0,0.04999999,0,0.04965181,0,0,0,0.05,0.001,0.01597639,0.01000051,0,0,0.02300617,0,0,0,0,0.000999824,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
