Prey \ predator,Coastal sharks,Rays,SmTunas,ShLethrinids,RedEmperor,ShLutjanids,ShNemipterirds,DpNemipterids,ShSerranids,FryPBream,JuvCarangids,AdCarangids,SmallPelagics,ShLizard,DpLizard,ShMullidae,DpMullidae,ShTriggerFish,ShSweetlip,DpPonyfish,ShSmFish,DpSmFish,ShMedFish,DpMedFish,ShLgFish,DpLgFish,SessEpibenthos,Megabenthos,Macrofauna,ComPrawns,Squid,LgZooplankton,SmZooplankton,PelPhytoplankton,BenPhytoplankton,Microphytobenthos,Detritus
Coastal sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmTunas,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShLethrinids,0.01703398,0,0,0,0,0,0,0,0.06393596,0.00204812,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.002090264,0,0,0,0,0,0,0,0,0,0,0,0
RedEmperor,0,0,0,0,0,0,0,0,0.02697303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0
ShLutjanids,0,0,0,0,0,0,0,0,0.04495505,0,0,0,0,0.01838974,0.02328041,0,0,0,0,0,0,0,0,0,0.002090274,0,0,0,0,0,0,0,0,0,0,0,0
ShNemipterirds,0,0,0,0.07686775,0,0.08281889,0.01,0.0230436,0.08491509,0.8880594,0.06055671,0.04968427,0,0.132,0.1164021,0,0,0,0,0,0,0,0.09714458,0,0.02194788,0.048,0,0,0,0,0,0,0,0,0,0,0
DpNemipterids,0,0,0,0,0,0.045,0.007308508,0.007013271,0.01098901,0,0.00201252,0,0,0.02145469,0.02328041,0,0,0,0,0,0,0.004,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0
ShSerranids,0,0,0,0,0,0.001,0,0,0.006993008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
FryPBream,0,0,0,0,0,0,0,0,0.01098901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
JuvCarangids,0,0,0.005014195,0.01579474,0,0.01449331,0,0.006119524,0.04695305,0,0,0.01470879,0,0.04992523,0.05116311,0,0,0,0,0,0.000701403,0,0.01342079,0.006,0.001045137,0,0,0,0,0,0,0,0,0,0,0,0
AdCarangids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmallPelagics,0.006,0.01613827,0.94,0.004211932,0,0.107,0.028,0.01202275,0,0.0102406,0.247,0.708,0.04024233,0.259,0.302,0,0,0,0,0,0.03107352,0,0,0.013,0.23,0,0,0,0,0,0.36,0,0,0,0,0,0
ShLizard,0,0,0.005014195,0,0,0,0,0,0.05794206,0.00409624,0,0,0,0.01,0.028,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
DpLizard,0,0,0,0,0,0.003105709,0,0,0.02397602,0,0,0,0,0.009985046,0.02,0,0,0,0,0,0,0,0,0.011,0.005225684,0.059,0,0,0,0,0,0,0,0,0,0,0
ShMullidae,0,0,0,0.01368878,0,0.027,0.01983738,0.01903602,0.01298701,0.01126466,0.0140176,0.09514009,0,0.068,0.04877801,0,0,0,0,0,0,0,0.0138778,0,0.022,0.1668331,0,0,0,0,0,0,0,0,0,0,0
DpMullidae,0,0,0,0,0,0.1035236,0.0229696,0.0230436,0.02797203,0,0.005031299,0,0,0.04188773,0.04877801,0,0,0,0,0,0,0.012,0,0.043,0,0.017,0,0,0,0,0,0,0,0,0,0,0
ShTriggerFish,0.001,0,0.005014195,0,0,0.02,0,0,0.03996004,0,0,0.01054998,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
ShSweetlip,0,0,0,0,0,0,0,0,0.02597403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001045137,0.04095904,0,0,0,0,0,0,0,0,0,0,0
DpPonyfish,0,0.007060494,0,0.01895369,0.6899998,0.1180169,0.009396653,0.009017061,0.007992009,0,0.1201508,0.007399785,0,0.04801765,0.05875533,0,0,0,0.303,0,0,0.003,0,0.022,0.01881246,0,0,0,0,0,0,0,0,0,0,0,0
ShSmFish,0.005010022,0.0196,0.004509018,0.1649846,0.04900004,0.1449331,0.06659919,0,0.1318681,0.02387162,0.11,0,0.004,0.16,0.09312166,0.04,0,0.0251004,0.192,0,0.01,0,0.1005352,0.008,0.1567705,0.1188811,0.002,0,0,0.002,0,0,0,0,0,0,0
DpSmFish,0,0,0,0.04738423,0,0.06418464,0.01,0.1,0.03896104,0,0.1501885,0,0,0.06,0.093,0,0.04992964,0,0,0.015,0,0.009,0.0138778,0.031,0,0.065,0,0,0,0,0,0,0,0,0,0,0
ShMedFish,0,0,0.005,0,0,0.01,0,0,0.08091909,0.00204812,0.005,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.03496503,0,0,0,0,0,0,0,0,0,0,0
DpMedFish,0,0,0,0,0,0.001035236,0,0,0.004995005,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ShLgFish,0.001,0,0,0,0,0.001035236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002090274,0,0,0,0,0,0,0,0,0,0,0,0
DpLgFish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SessEpibenthos,0,0.006051852,0,0,0,0,0.02401367,0.0240455,0,0,0.005031299,0,0.01696725,0,0,0,0,0.1442769,0.156,0,0.01657255,0,0,0.043,0.08256582,0,0.01008081,0,0,0,0,0,0,0,0,0,0
Megabenthos,0.94,0.4145519,0,0.1790071,0.03200003,0.03416279,0.2265637,0.2174114,0.1498502,0.04710676,0.009056337,0.0169138,0.01996147,0,0,0,0.05991557,0.3709977,0.063,0,0.2682681,0.057,0.1601284,0.184,0.2142531,0.04995005,0,0,0,0,0,0,0,0,0,0,0
Macrofauna,0.01402806,0.287463,0,0.06002003,0.2260002,0.1521797,0.3967476,0.3907394,0.07992008,0.00204812,0.03521909,0.08245473,0.0988093,0.02860625,0.05321238,0.1131965,0.06853194,0.3091648,0.247,0.404,0.2392661,0.377,0.2252473,0.552,0.08465609,0,0.3528282,0.01,0.1,0.2721818,0.13,0,0,0,0,0,0
ComPrawns,0.005010022,0.2440914,0.01905394,0.01895369,0.003000002,0.04451516,0.07726137,0.0691308,0.01998002,0,0.03119405,0.00528556,0,0.005,0,0.8377478,0.8131882,0,0.02,0,0.001035784,0,0.2060319,0.021,0.0198576,0.0999001,0,0,0,0.01713737,0,0,0,0,0,0,0
Squid,0.001002005,0.00504321,0.01604543,0.4001335,0,0.0258809,0.025,0.03,0,0.00921654,0.05506913,0,0,0.07764554,0,0.009055718,0.008434701,0,0.009,0,0.045,0,0.009607704,0.036,0.112,0.0999001,0,0,0,0,0.01,0,0,0,0,0,0
LgZooplankton,0,0,0,0,0,0,0.007308508,0,0,0,0.09386291,0,0.05988442,0,0,0,0,0.05152746,0,0.006,0.3,0.539,0.1547908,0,0,0,0,0.05,0,0.1945596,0.25,0,0,0,0,0,0
SmZooplankton,0,0,0,0,0,0,0.06890879,0.0691308,0,0,0.05635055,0,0.5289791,0,0,0,0,0.02679428,0,0,0,0,0,0,0,0,0.05040404,0.05,0.05,0.037299,0.25,0.1,0.1,0,0,0,0
PelPhytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.02894414,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0.2016162,0.23,0.2,0,0,0.5,0.7,0,0,0,0
BenPhytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.08982664,0,0,0,0,0.05152746,0,0,0.08804163,0,0.005337614,0,0,0,0,0,0.3,0.1008081,0,0,0,0,0,0,0
Microphytobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0.001996148,0,0,0,0,0.01030549,0,0,0,0,0,0,0,0,0.05040404,0.22,0.15,0.03326667,0,0,0.1,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0.1107862,0,0,0,0,0.01030549,0,0.518,0,0,0,0,0,0,0.3326667,0.44,0.2,0.3427474,0,0.4,0.1,0,0,0,0
