Prey \ predator,Phytoplankton,Zooplankton,Euphausiids,Small_fish,Anchovy,Sardine,Horse_mackerel,Jack_mackerel,Hake,Sea_lions,Marine_birds,Jumbo_squid,Demersal_crustaceans,Sword_fish,Sharks,Detritus,Import
Phytoplankton,0,0.45,0.45,0.6,0.6,0.05,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0.2,0.55,0.1,0.1,0.535,0.63,0.02,0,0,0,0,0,0,0,0,0
Euphausiids,0,0,0,0.14,0.14,0.415,0.26,0.9,0.053,0,0,0,0,0,0,0,0
Small_fish,0,0,0,0,0,0,0.028,0.08,0,0,0,0,0,0,0.22,0,0
Anchovy,0,0,0,0.015,0.015,0,0.082,0,0.145,0.155,0.6822,0.198,0,0,0,0,0
Sardine,0,0,0,0,0,0,0,0,0.0145,0.015,0.0758,0.0142,0,0,0,0,0
Horse_mackerel,0,0,0,0,0,0,0,0,0.0085,0.06,0,0.0085,0,0,0.29,0,0
Jack_mackerel,0,0,0,0,0,0,0,0,0.0085,0.06,0,0.0085,0,0,0,0,0
Hake,0,0,0,0,0,0,0,0,0.085,0.18,0.242,0.1,0,0.45,0,0,0
Sea_lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine_birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumbo_squid,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.305,0,0
Demersal_crustaceans,0,0,0,0,0,0,0,0,0.23,0.08,0,0.068,0,0.23,0.1,0,0
Sword_fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0
Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Import,0,0,0,0.145,0.145,0,0,0,0.4555,0.45,0,0.4528,0,0.32,0.06,0,0
