Prey \ predator,Baleen whales,Toothed whales,Beaked whales,Seabirds,Pelagic sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg. Plank. fish,Lg. Epi. fish,Md. Epi. fish,Sm. Epi. fish,Lg. Meso fish,Sm. Meso fish,Sm. Bathyp. fish,Md. Bathyp.fish,Lg. Bathyp. fish,Sm. Bathyd. slp,Lg. Bathyd. slp,Sm. Bathyd. abs,Lg. Bathyd. abs,Sm Squids,Lg Squids,Benth. ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het. bacteria,Sm. Zoop. shlw,Lg. Zoop. shlw,Sm. Zoop. deep,Lg. Zoop. deep,Phytoplankton,Detritus
Baleen whales,0,0.000990119,0,0,0.000500005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed whales,0,0.000990119,0,0,0.005014116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaked whales,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,1.00E-05,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic sharks,0,0,0,0,0.009004156,0,0,0,0,0,0,0.01141474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowfin,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefin,0,0,0,0,0.003000015,0,0,0,0,0,0,0,0,0.000500231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skipjack,0,0,0,0,0.00400002,0.160387,0,0,0.03030303,0,0,0,0,0.00050003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albacore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigeye,0,0,0,0,0.02435699,0,0,0,0,0,0,0,0,0.001722917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
