Prey \ predator,Phytoplankton,Small zooplankton,Large zooplankton,Deposit Feeders,Scallops and mussels,Filter Feeders,Inf. Predators,Epi. Predators,Sth Rock Lobster,Abalone,Other Grazers,Scavengers,Microphytobenthos,Seagrass,Macroalgae,Clupeoids,Juvenile Snapper,Snapper,Juvenile Flatfish,Flatfish,Juvenile KG Whiting,KG Whiting,Juvenile Piscivores,Piscivores,Juvenile Mullet,Mullet and Garfish,Other demersals,Southern calamari,Other cepahalopods,Rays,Sharks,Birds,Marine mammals,Detritus
Phytoplankton,0,0.9,0.62,0,0.4928131,0.7347399,0,0,0,0,0,0,0,0,0,0.05314931,0,0,0,0,0,0,0,0,0.02905812,0.02413431,0,0,0,0,0,0,0,0
Small zooplankton,0,0.1,0.2,0,0.3427272,0.02806647,0,0,0,0,0,0,0,0,0,0.1060286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large zooplankton,0,0,0.08000001,0,0,0.03501292,0,0.002003609,0,0,0,0,0,0,0,0.840822,0.7752249,0,0,0,0,0,0.117,0,0.2284569,0.02413431,0.000997047,0.0150041,0,0,0,0.01503006,0.05408407,0
Deposit Feeders,0,0,0,0,0,0,0.4549735,0.2785017,0.2801401,0,0,0.1018981,0,0,0,0,0.04995006,0.3339666,0.3822795,0.4199107,0.3653654,0.5624333,0,0,0,0,0.3778803,0.251024,0.2448468,0.5548529,0,0.1372745,0,0
Scallops and mussels,0,0,0,0,0,0,0,0.07112812,0.07503752,0,0,0,0,0,0,0,0,0,0.006000229,0.03499256,0,0,0,0,0,0,0.0200059,0.000299934,0.07000243,0.0300101,0,0,0.01999964,0
Filter Feeders,0,0,0,0,0,0,0.363351,0.3195756,0.3151576,0,0,0,0,0,0,0,0.00799201,0.0329967,0.07846791,0.08012667,0,0,0,0,0,0,0.2133678,0,0.03136467,0.06910622,0,0.1703407,0,0
Inf. Predators,0,0,0,0,0,0,0,0.07413354,0.07603801,0,0,0.08191809,0,0,0,0,0.0979021,0.2349765,0.08047991,0.1241963,0.6146146,0.3842049,0,0,0.1633267,0.03672613,0.1500443,0,0.07891757,0.09201639,0,0.1022044,0,0
Epi. Predators,0,0,0,0,0,0,0,0.00901624,0.007003502,0,0,0,0,0,0,0,0.009990011,0.0309969,0.01207199,0.01001583,0.02002002,0.0533618,0,0,0,0,0.01794684,0.08006371,0.2359572,0.05508467,0.459954,0.06913827,0.01768133,0
Sth Rock Lobster,0,0,0,0,0,0,0,0.000200161,0,0,0,0,0,0,0,0,0,0.00010009,0,0.000100058,0,0,0,0,0,0,9.98E-05,5.00E-05,0,0.000400215,0.00010009,0,0,0
Abalone,0,0,0,0,0,0,0,0.001000803,0.00050025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003992174,0,0.005048701,0,0,0,0,0
Other Grazers,0,0,0,0,0,0,0,0.00901624,0.006003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008973418,0,0.005058819,0.01702617,0,0,0,0
Scavengers,0,0,0,0,0,0,0,0.2334205,0.2401201,0,0,0,0,0,0,0,0.01998002,0.1139886,0.340013,0.2073278,0,0,0,0,0,0,0.193057,0.3470224,0.06370372,0.03500624,0,0.03306613,0.1719969,0
Microphytobenthos,0,0,0,0.01076426,0.09848481,0.05312581,0,0,0,0.1,0.25,0.1088911,0,0,0,0,0,0,0,0,0,0,0,0,0.1713427,0.2444911,0,0,0,0,0,0,0,0
Seagrass,0,0,0,0,0,0,0,0.001001804,0,0.15,0.1,0,0,0,0,0,0,0,9.94E-05,7.00E-06,0,0,0,0,0.1372745,0.293809,0.000997047,0,0,0.00100154,0,0,0,0
Macroalgae,0,0,0,0.01076426,0,0,0.1816755,0.001001804,0,0.75,0.6,0,0,0,0,0,0,0,0.001005999,0.001001584,0,0,0,0,0.257515,0.366212,0,0,0.005058819,0.00100154,0,0,0,0
Clupeoids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03096903,0.029997,0.01710198,0.02804433,0,0,0.405,0.1899733,0,0,0,0.01699625,0.08090378,0.09401675,0.0429957,0.1703407,0.1248094,0
Juvenile Snapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.0229977,0.002000076,0.001001584,0,0,0.011,0.05999155,0,0,0.000500148,0.004001095,0.007081717,0.00100154,0.0209979,0,0.04160313,0
Snapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229977,0,0.005007917,0,0,0,0.000999212,0,0,0.000500148,0.000499889,0.000505585,0.00100154,0.0429957,0,0.05997178,0
Juvenile Flatfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.0229977,0.01810798,0.04507126,0,0,0.014,0.01999718,0,0,0.000997047,0.1160234,0.07891757,0.00100154,0.0209979,0,0.01799797,0
Flatfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229977,0,0.009997873,0,0,0,0.000999212,0,0,0.000500148,0.02000673,0.01618822,0.01602463,0.1529847,0,0.01976149,0
Juvenile KG Whiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.0009999,0,0.000200116,0,0,0.001,0.002020428,0,0,4.99E-05,0.001999559,0.001011297,0.000200108,0.0009999,0.001002004,0.001040078,0
KG Whiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0,0,0,0,0.002020428,0,0,9.98E-05,0.005999636,0.001011297,0,0.0429957,0.001002004,0.000999515,0
Juvenile Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.009999,0,0,0,0,0.065,0.05298449,0,0,0,0,0,0.00100154,0.0209979,0.03306613,0.08995435,0
Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999,0,0,0,0,0,0.06099141,0,0,0,0,0,0.00100154,0.0429957,0,0.06599881,0
